,site,metric,param_index,run_index,indexes,accuracies,false_negatives
0,npp_c_cali,0.8316831683168316,3,3,"['ensemble_avg', 'ensemble_or', 'ensemble_uniq_avg', 'ensemble_uniq_or']","[0.9594272076372315, 0.9594272076372315, 0.9594272076372315, 0.9594272076372315]","[12, 12, 12, 12]"
1,npp_c_grav,0.8549618320610687,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9546539379474941, 0.9546539379474941]","[18, 18]"
2,npp_c_sand,0.8592592592592593,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9546539379474941, 0.9546539379474941]","[19, 19]"
3,npp_g_basn,0.7562189054726368,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8830548926014321, 0.8830548926014321]","[43, 43]"
4,npp_g_ibpe,0.6792452830188679,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8377088305489259, 0.8377088305489259]","[68, 68]"
5,npp_g_summ,0.8000000000000002,1,2,"['ensemble_avg', 'ensemble_or', 'ensemble_uniq_avg', 'ensemble_uniq_or']","[0.9665871121718376, 0.9665871121718376, 0.9665871121718376, 0.9665871121718376]","[9, 9, 9, 9]"
6,npp_m_nort,0.6767676767676768,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8472553699284008, 0.8472553699284008]","[58, 58]"
7,npp_m_rabb,0.7499999999999999,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8711217183770883, 0.8711217183770883]","[54, 54]"
8,npp_m_well,0.6461538461538462,1,3,"['ensemble_avg', 'ensemble_or', 'ensemble_uniq_avg', 'ensemble_uniq_or']","[0.8353221957040573, 0.8353221957040573, 0.8353221957040573, 0.8353221957040573]","[67, 67, 67, 67]"
9,npp_p_coll,0.5819672131147541,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.7565632458233891, 0.7565632458233891]","[85, 85]"
10,npp_p_smal,0.6050724637681161,1,3,"['ensemble_avg', 'ensemble_or', 'ensemble_uniq_avg', 'ensemble_uniq_or']","[0.4797136038186158, 0.4797136038186158, 0.4797136038186158, 0.4797136038186158]","[2, 2, 2, 2]"
11,npp_p_tobo,0.7228915662650602,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8353221957040573, 0.8353221957040573]","[69, 69]"
12,npp_t_east,0.7042253521126759,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8496420047732697, 0.8496420047732697]","[53, 53]"
13,npp_t_tayl,0.6278026905829597,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8019093078758951, 0.8019093078758951]","[80, 80]"
14,npp_t_west,0.7040816326530612,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8615751789976134, 0.8615751789976134]","[55, 55]"
