,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,2_avg_f1,3_avg_f1,4_avg_f1
0,npp_c_cali,1.0,1,1,['0'],[1.0],[0],0.8640815287609245,0.993939393939394,0.9797101449275362,0.6972167144011162,0.7854598617756512
1,npp_c_grav,0.9863013698630138,1,1,['0'],[0.9952267303102624],[2],0.832095626318413,0.972849561890658,0.9367653654322549,0.6239917658818522,0.7947758120688871
2,npp_c_sand,1.0,1,3,['0'],[1.0],[0],0.8326380092777049,0.9591509317536714,0.9576733780760627,0.6773753749287325,0.7363523523523523
3,npp_g_basn,0.99581589958159,1,3,['0'],[0.9976133651551312],[0],0.7755056943652644,0.9730052817125331,0.9388901375213807,0.6252778620115987,0.5648494962155439
4,npp_g_ibpe,1.0,1,1,['0'],[1.0],[0],0.8080716779893881,0.9749852779271322,0.9721645577962303,0.6259989352445247,0.6591379409896645
5,npp_g_summ,1.0,1,1,['0'],[1.0],[0],0.848454073276093,0.9817317317317317,0.9954337899543378,0.6727156364837524,0.7439351349345505
6,npp_m_nort,0.9800796812749004,1,2,['0'],[0.9880668257756564],[2],0.7503050223288624,0.9425440429424493,0.9210243572326277,0.6233708325193583,0.5142808566210141
7,npp_m_rabb,0.9888475836431226,1,1,['0'],[0.9928400954653938],[2],0.788678431690999,0.9629965766846419,0.964373897707231,0.5612447451445837,0.6660985072275395
8,npp_m_well,0.996138996138996,1,1,['0'],[0.9976133651551312],[1],0.8041080360394579,0.9923174785243751,0.9527457568015237,0.6574035973935998,0.6139653114383333
9,npp_p_coll,1.0,1,1,['0'],[1.0],[0],0.7805583124054993,0.9841602561493481,0.9750337823914522,0.5812133290400096,0.5818258820411871
10,npp_p_smal,1.0,1,3,['0'],[1.0],[0],0.7954653253387085,0.9642794927439952,0.9783010849457527,0.6229145624440249,0.6163661612210614
11,npp_p_tobo,0.9936708860759492,1,1,['0'],[0.9952267303102624],[2],0.7734764691739852,0.9895305907172994,0.9138231946706762,0.5962332824879621,0.5943188088200034
12,npp_t_east,1.0,1,2,['0'],[1.0],[0],0.7815160462280427,0.9948320413436692,0.983122902439865,0.5649492664626948,0.5831599746659419
13,npp_t_tayl,1.0,1,1,['0'],[1.0],[0],0.7819939729943909,1.0,0.983277591973244,0.5810175740816296,0.5636807259226897
14,npp_t_west,0.9959514170040484,1,1,['0'],[0.9976133651551312],[1],0.8030852678555017,0.981746511948836,0.970885850329743,0.6208304277080428,0.6388782814353848
