,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.7051282051282051,2,3,['0'],[0.9307228915662652],[11],0.25371440077301394,0.0,0.0,0.698810850984764,0.7051282051282051,0.0,0.0,0.3160467521072917,0.577319587628866
1,npp_c_grav,0.7236180904522613,2,1,['0'],[0.9183976261127595],[16],0.3163604552270358,0.014492753623188406,0.021739130434782608,0.7205072983967457,0.7236180904522613,0.014492753623188406,0.021739130434782608,0.5159490152650208,0.6470588235294118
2,npp_c_sand,0.7764705882352941,2,2,['5'],[0.9425113464447806],[25],0.3023680728926605,0.007246376811594203,0.021739130434782608,0.7596848661110589,0.7764705882352941,0.0,0.0,0.44254104864798877,0.4833333333333333
3,npp_g_basn,0.7803468208092486,2,2,['3'],[0.8888888888888888],[26],0.5014800729366864,0.3913373629377639,0.3935242839352428,0.7611614971907152,0.7803468208092486,0.3980864835513332,0.3989431968295905,0.45533494806693336,0.4918032786885246
4,npp_g_ibpe,0.8018648018648019,2,1,['0'],[0.875366568914956],[12],0.5602095015415043,0.5552545385480947,0.8018018018018018,0.8000196442634366,0.8018648018648019,0.43900626572559037,0.4398447606727038,0.4465575576288958,0.4628099173553719
5,npp_g_summ,0.6521739130434782,2,2,['0'],[0.953216374269006],[15],0.19032015441222602,0.0,0.0,0.6156597026162243,0.6521739130434782,0.0,0.0,0.14562091503267974,0.15999999999999998
6,npp_m_nort,0.8148148148148149,2,1,['3'],[0.9051094890510948],[25],0.5624636086305388,0.5287993636533783,0.7883211678832116,0.8028767152750893,0.8148148148148149,0.39781329426949225,0.4015544041450777,0.5203650613241955,0.5849802371541503
7,npp_m_rabb,0.8239700374531835,2,3,['4'],[0.9116541353383458],[25],0.589167701416225,0.5513147566718996,0.8125,0.8208652712835663,0.8239700374531835,0.4355747770478571,0.44006568144499175,0.5489160006615769,0.6146341463414634
8,npp_m_well,0.8137254901960784,2,3,['0'],[0.887905604719764],[8],0.5400643297882147,0.5130383383507223,0.7118644067796609,0.8012138188608778,0.8137254901960784,0.4140755338256656,0.4163473818646233,0.4319296281155935,0.4424778761061947
9,npp_p_coll,0.8263736263736264,2,3,['2'],[0.8845029239766082],[19],0.5684393286440421,0.47515885284825116,0.4760793465577596,0.8250317160596934,0.8263736263736264,0.4870674821191618,0.4882280049566294,0.48649926354906237,0.4882280049566294
10,npp_p_smal,0.8723404255319148,1,3,['0'],[0.8854415274463007],[5],0.6850038083070311,0.6861052991538491,0.8723404255319148,0.8679952498954892,0.8723404255319148,0.5935457543496042,0.5955882352941176,0.5923689298291824,0.5927272727272728
11,npp_p_tobo,0.8503937007874016,2,2,['1'],[0.9092356687898088],[11],0.5564398307562032,0.44101386422149713,0.4412903225806452,0.8425589884157455,0.8503937007874016,0.4535225027762341,0.4587412587412586,0.488663967611336,0.5344129554655871
12,npp_t_east,0.8020304568527921,2,3,['0'],[0.8857979502196194],[13],0.5150637341224562,0.4105174255602691,0.4149068322981367,0.7990026209246954,0.8020304568527921,0.4161645952762112,0.41645244215938304,0.434570294728649,0.46351931330472107
13,npp_t_tayl,0.8421052631578948,1,3,['0'],[0.9032258064516128],[21],0.6114058571201909,0.6897220607628798,0.8421052631578948,0.8149885177122239,0.8185840707964602,0.46071173282529276,0.4617314930991217,0.48020111718036723,0.5163636363636364
14,npp_t_west,0.7794871794871794,2,3,['0'],[0.8740849194729137],[14],0.5446024161631446,0.5162895730037516,0.7488372093023256,0.7741114186040002,0.7794871794871794,0.4054341812598086,0.40686922060766173,0.4825744917850181,0.5583333333333333
