,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.796116504854369,2,1,['3'],[0.9498806682577564],[13],0.2919771364598603,0.0,0.0,0.7889855915740213,0.796116504854369,0.0,0.0,0.37892295426542,0.4444444444444444
1,npp_c_grav,0.7971014492753623,2,1,['3'],[0.9331742243436754],[19],0.3397543362942474,0.025974025974025972,0.07792207792207792,0.7872583435758225,0.7971014492753623,0.0,0.0,0.5457849756271412,0.734375
2,npp_c_sand,0.7891156462585034,2,3,['2'],[0.9260143198090692],[19],0.3962038664918972,0.3407407407407408,0.4444444444444445,0.7828852920478536,0.7891156462585034,0.08272125852997865,0.09876543209876544,0.3784681746490158,0.4123711340206185
3,npp_g_basn,0.8142292490118578,2,1,['1'],[0.8878281622911695],[16],0.6676971676604655,0.7645104553449288,0.7794117647058824,0.7859582415151299,0.8142292490118578,0.4705682059159939,0.472,0.6497517678658097,0.7639484978540773
4,npp_g_ibpe,0.8403908794788273,1,2,['1'],[0.8830548926014321],[11],0.658394537507231,0.7314111886595716,0.8403908794788273,0.8317483959393538,0.8348909657320872,0.5262164641033783,0.5303643724696356,0.54420210132662,0.5656565656565657
5,npp_g_summ,0.4,2,1,['0'],[0.928400954653938],[27],0.11051587301587301,0.0,0.0,0.2920634920634921,0.4,0.0,0.0,0.15,0.15
6,npp_m_nort,0.8321678321678321,2,2,['2'],[0.8854415274463007],[6],0.6416454158563828,0.6776399062441621,0.7845659163987139,0.8094068212489264,0.8321678321678321,0.4853488492779958,0.4901185770750988,0.5941860866544469,0.6282722513089004
7,npp_m_rabb,0.8269230769230769,2,3,['0'],[0.8711217183770883],[6],0.6177666338838276,0.507308739538237,0.5110663983903421,0.8226388378118384,0.8269230769230769,0.5153022902451186,0.5226337448559671,0.6258166679401164,0.6968325791855204
8,npp_m_well,0.8135593220338984,2,3,['2'],[0.8687350835322196],[10],0.6393805697839864,0.6848414220429125,0.7852760736196319,0.808445936595609,0.8135593220338984,0.5009029125643304,0.508695652173913,0.5633320079330936,0.5786802030456852
9,npp_p_coll,0.8474576271186441,2,1,['0'],[0.8711217183770883],[6],0.6872860311786263,0.7563301948306379,0.8441926345609065,0.8417492547693713,0.8474576271186441,0.5743884615579122,0.5748031496062992,0.5766762135565836,0.5767790262172284
10,npp_p_smal,0.8700265251989389,2,1,['0'],[0.8830548926014321],[5],0.7378754440701875,0.865835430073241,0.8670212765957447,0.8652256450543026,0.8700265251989389,0.6062193057957787,0.6145038167938931,0.6142213953574275,0.615678776290631
11,npp_p_tobo,0.8713450292397661,2,3,['0'],[0.8949880668257757],[10],0.6899731696304036,0.7344130928425506,0.8328767123287673,0.8624093695654441,0.8713450292397661,0.5828863446198159,0.5841035120147874,0.5801838714938029,0.5831702544031311
12,npp_t_east,0.8175675675675674,1,3,['1'],[0.8711217183770883],[7],0.6416833949286066,0.7001924599514191,0.8175675675675674,0.813518303120357,0.8153310104529615,0.4888320619680893,0.4906444906444907,0.5641907546745611,0.6536585365853659
13,npp_t_tayl,0.8452380952380953,2,1,['0'],[0.8758949880668258],[8],0.6793971970820248,0.7353450756679187,0.8381502890173411,0.8358180357481708,0.8452380952380953,0.5554820721615897,0.5590551181102362,0.5909436047504198,0.6546762589928058
14,npp_t_west,0.793103448275862,2,3,['0'],[0.8568019093078759],[9],0.6248640573669249,0.680821172076253,0.7876712328767123,0.7869417652357007,0.793103448275862,0.48245685959654877,0.4854771784232365,0.5492364325591973,0.6602870813397129
