,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.6666666666666666,3,1,['1'],[0.9442771084337348],[29],0.26758106175571994,0.4425220169901021,0.5319148936170213,0.04916593503072872,0.05882352941176471,0.4838650531719839,0.6666666666666666,0.09477124183006537,0.16666666666666669
1,npp_c_grav,0.6666666666666666,4,3,['0'],[0.9317507418397626],[42],0.47937032655116546,0.5665750074533015,0.6046511627906976,0.3064128550632083,0.38260869565217387,0.5111601103548185,0.5481481481481482,0.5333333333333332,0.6666666666666666
2,npp_c_sand,0.6428571428571429,3,3,['1'],[0.9243570347957641],[46],0.4135973871603351,0.568955253013224,0.6370370370370371,0.3172210709443037,0.5736434108527132,0.5330617095322978,0.6428571428571429,0.2351515151515151,0.3454545454545455
3,npp_g_basn,0.5638766519823789,3,1,['1'],[0.8552631578947368],[97],0.4456160137886543,0.41687261265930525,0.4497607655502392,0.442850864099247,0.4999999999999999,0.4985115895559615,0.5638766519823789,0.4242289888401031,0.4814814814814814
4,npp_g_ibpe,0.5579710144927537,4,3,['1'],[0.8211143695014663],[107],0.46739122879016876,0.47566757589434644,0.5419847328244275,0.43839686123036636,0.4390862944162437,0.46651863713629016,0.4836065573770491,0.488981840899672,0.5579710144927537
5,npp_g_summ,0.19607843137254904,3,2,['0'],[0.9400584795321636],[40],0.10510552046905718,0.1341496598639456,0.15999999999999998,0.07004830917874397,0.08333333333333334,0.14617580365479527,0.19607843137254904,0.07004830917874397,0.08333333333333334
6,npp_m_nort,0.5849802371541503,3,3,['1'],[0.8467153284671532],[94],0.44057234125859024,0.4456346375214508,0.5301204819277108,0.4090105574338032,0.4299065420560748,0.505236619742468,0.5849802371541503,0.40240755033663905,0.4074074074074074
7,npp_m_rabb,0.6280193236714976,3,1,['1'],[0.8552631578947368],[70],0.5299031655420509,0.49740424520910104,0.5245901639344263,0.5153639027480795,0.532608695652174,0.5867279254377175,0.6280193236714976,0.5201165887733051,0.6169154228855722
8,npp_m_well,0.6569343065693432,3,3,['1'],[0.8613569321533924],[84],0.48052572157668877,0.452362444118458,0.4576271186440678,0.4537214944201844,0.4716157205240175,0.5385089105560897,0.6569343065693432,0.47751003721202295,0.5102880658436215
9,npp_p_coll,0.5534591194968553,2,1,['1'],[0.7923976608187134],[119],0.49092486500856375,0.4860969330958637,0.4870848708487085,0.5084641583980162,0.5534591194968553,0.4840398270001159,0.4848484848484849,0.4850985415402594,0.4858895705521473
10,npp_p_smal,0.5942028985507246,1,1,['0'],[0.4653937947494034],[5],0.5929717062943874,0.5930839754351399,0.5942028985507246,0.592948802868523,0.5942028985507246,0.5923689298291823,0.5927272727272728,0.5934851170447041,0.5942028985507246
11,npp_p_tobo,0.5363984674329502,1,3,['1'],[0.8073248407643312],[103],0.4903442287361412,0.4896144052223906,0.5363984674329502,0.4607730002528538,0.4686192468619247,0.5039180107526882,0.5161290322580646,0.5070714987166323,0.5349794238683128
12,npp_t_east,0.5849802371541503,1,1,['1'],[0.8462664714494875],[97],0.4744310259804736,0.5371183958544553,0.5849802371541503,0.4540515104918102,0.5327868852459017,0.45682467271089294,0.4827586206896551,0.4497295248647357,0.4894514767932489
13,npp_t_tayl,0.627831715210356,1,2,['1'],[0.8313782991202346],[100],0.48818687257889465,0.521917894833318,0.627831715210356,0.5070564077823144,0.55,0.46147491997734646,0.4617314930991217,0.4622982677225996,0.4649446494464945
14,npp_t_west,0.578125,1,3,['2'],[0.8418740849194729],[92],0.4632265011801708,0.4903327545800313,0.578125,0.41085886895864476,0.4304932735426009,0.47335299901671596,0.5333333333333334,0.478361382165291,0.5660377358490566
