,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.4935064935064936,1,3,['3'],[0.9069212410501192],[35],0.290092186903207,0.4607984607984608,0.4935064935064936,0.178976918875933,0.2295081967213115,0.362341806832279,0.4507042253521126,0.1582515611061552,0.2
1,npp_c_grav,0.4086021505376344,1,2,['6'],[0.8687350835322196],[55],0.31086209254992414,0.3506862313313926,0.4086021505376344,0.31687724040665216,0.3736263736263736,0.3181700564094602,0.32456140350877194,0.2577148420521915,0.3181818181818182
2,npp_c_sand,0.6434782608695653,3,1,['0'],[0.9021479713603818],[40],0.356250726481391,0.4762922315104478,0.5945945945945946,0.2351851851851852,0.2888888888888889,0.43395299477540356,0.6434782608695653,0.2795724944545271,0.3789473684210526
3,npp_g_basn,0.6421052631578947,1,3,['5'],[0.8377088305489259],[58],0.5251543065485464,0.5689288334759882,0.6421052631578947,0.5172396636297051,0.6171428571428571,0.46736091864604207,0.471057884231537,0.5470878104424507,0.6011560693641618
4,npp_g_ibpe,0.7241379310344828,4,1,['0'],[0.8472553699284008],[56],0.5849003923293172,0.6265194398388906,0.7105263157894737,0.5637692880479612,0.6278026905829597,0.5310647759206882,0.5328185328185329,0.6182480655097288,0.7241379310344828
5,npp_g_summ,0.15,1,1,"['3', '4']","[0.918854415274463, 0.918854415274463]","[34, 34]",0.1460470085470085,0.15,0.15,0.13418803418803418,0.15,0.15,0.15,0.15,0.15
6,npp_m_nort,0.6282722513089004,1,2,['5'],[0.8305489260143198],[65],0.5138424782733049,0.57672291587078,0.6282722513089004,0.49867923586623303,0.5257142857142857,0.4881614817384079,0.489065606361829,0.4918062796177982,0.5
7,npp_m_rabb,0.6960352422907489,1,3,['7'],[0.8353221957040573],[56],0.5931186638756866,0.6129309443773211,0.6960352422907489,0.62350338872078,0.6476190476190475,0.5322821066872386,0.5654450261780105,0.6037582157174067,0.6697674418604651
8,npp_m_well,0.7078189300411523,1,1,['6'],[0.8305489260143198],[44],0.5533529260198239,0.6482048629145015,0.7078189300411523,0.5668672993365583,0.5925925925925927,0.5000028818149292,0.5029239766081871,0.49833666001330673,0.5
9,npp_p_coll,0.5772811918063315,2,3,['5'],[0.4582338902147972],[1],0.5724575872998715,0.5728921672922782,0.5753424657534246,0.5730454651420803,0.5772811918063315,0.5726735200304444,0.5751391465677179,0.5712191967346832,0.5740740740740741
10,npp_p_smal,0.6147859922178989,2,1,['5'],[0.7637231503579952],[90],0.6117014920923836,0.6122221384066876,0.6130268199233716,0.6137881435346082,0.6147859922178989,0.6107078039927406,0.6134301270417424,0.6100878824354975,0.6134301270417424
11,npp_p_tobo,0.6716417910447762,1,3,['9'],[0.7899761336515513],[69],0.5954791987402767,0.6131806756086444,0.6716417910447762,0.604824568376315,0.6473029045643154,0.5827997511119041,0.5851851851851853,0.5811117998642429,0.5830258302583026
12,npp_t_east,0.7027027027027027,1,1,['7'],[0.8424821002386634],[50],0.5416708623326508,0.5790130890932446,0.7027027027027027,0.549225607452338,0.6568627450980392,0.494008678695214,0.4990176817288801,0.5444360740898069,0.59375
13,npp_t_tayl,0.5779816513761468,4,2,['0'],[0.7804295942720764],[87],0.5582754655223998,0.5527053004605152,0.5590551181102362,0.5564969306843913,0.5601503759398496,0.55711829465042,0.5612052730696798,0.5667813362942722,0.5779816513761468
14,npp_t_west,0.6530612244897959,2,1,['0'],[0.8377088305489259],[60],0.5274760397669858,0.5717216117216117,0.5934065934065935,0.5395250508550657,0.6530612244897959,0.5128111243572677,0.5310734463276836,0.4858463721339976,0.4861660079051384
