,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.19212598425196853,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.2274096385542169, 0.2274096385542169]","[5, 5]",0.13804858194628328,0.19049804461096134,0.19212598425196853,0.1899280575539569,0.18992805755395686,0.06684885431994955,0.14084507042253522,0.10491937130026537,0.14084507042253522
1,npp_c_grav,0.6923076923076923,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9050445103857568, 0.9050445103857568]","[16, 16]",0.33204321567161027,0.24076110095597358,0.2458270106221548,0.2434341959618779,0.2447844228094576,0.15744442106739606,0.18367346938775514,0.6865331447011936,0.6923076923076923
2,npp_c_sand,0.78125,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.9364599092284418, 0.9364599092284418]","[16, 16]",0.34582518742806273,0.2545612294308753,0.2555720653789005,0.25827860760580307,0.25852272727272724,0.14133986928104578,0.21568627450980396,0.7291210433945268,0.78125
3,npp_g_basn,0.4174624829467941,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3757309941520468, 0.3757309941520468]","[8, 8]",0.3940600698039751,0.40084903414404466,0.4031007751937985,0.38181865940193555,0.3824228028503563,0.40599534771873946,0.4174624829467941,0.3875772379511808,0.3960639606396064
4,npp_g_ibpe,0.5746268656716418,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8328445747800587, 0.8328445747800587]","[107, 107]",0.4458318529072886,0.44547286129981783,0.4467005076142132,0.42527341311840217,0.4295774647887324,0.489459749927698,0.5746268656716418,0.42312138728323706,0.42312138728323706
5,npp_g_summ,0.6153846153846153,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9561403508771931, 0.9561403508771931]","[21, 21]",0.24788427550507386,0.1472875816993464,0.15999999999999998,0.6009615384615383,0.6153846153846153,0.1083219954648526,0.15999999999999998,0.1349659863945578,0.15999999999999998
6,npp_m_nort,0.4184852374839538,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3386861313868613, 0.3386861313868613]","[5, 5]",0.40815325673995445,0.412719852818634,0.4184852374839538,0.4032254327223857,0.4077669902912621,0.40674446669649783,0.4085750315258512,0.40992327472230033,0.41025641025641024
7,npp_m_rabb,0.4444444444444444,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3703007518796992, 0.3703007518796992]","[1, 1]",0.42633654370933116,0.4404553256307384,0.4429752066115703,0.41228230260832605,0.4160246533127889,0.44033073685999663,0.4444444444444444,0.4122778097382636,0.4186046511627907
8,npp_m_well,0.5659050966608085,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.6356932153392331, 0.6356932153392331]","[13, 13]",0.4420269680892733,0.4240497526241473,0.4316185696361354,0.41463716270821926,0.4172661870503597,0.46260686702013637,0.5123966942148761,0.46681409000459045,0.5659050966608085
9,npp_p_coll,0.7624309392265194,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8114035087719298, 0.8114035087719298]","[0, 0]",0.5101852896534324,0.49539841544925894,0.5030978934324659,0.4773286664109449,0.4791666666666667,0.49553132999866495,0.4987654320987654,0.5724827467548605,0.7624309392265194
10,npp_p_smal,0.6036363636363636,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4797136038186158, 0.4797136038186158]","[3, 3]",0.5932801988869368,0.6020529398553277,0.6036363636363636,0.582831876540309,0.5919439579684763,0.5983140853523021,0.6018348623853211,0.5899218937998087,0.5940246045694201
11,npp_p_tobo,0.4656796769851951,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3678343949044586, 0.3678343949044586]","[0, 0]",0.44649645512235847,0.45640824803441626,0.4592790387182911,0.431960049937578,0.431960049937578,0.4627227121556574,0.4656796769851951,0.4348948103617823,0.4407643312101911
12,npp_t_east,0.4294954721862872,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3543191800878477, 0.3543191800878477]","[5, 5]",0.41328643653301844,0.4253789301034983,0.4294954721862872,0.40078137226101024,0.40093786635404455,0.4200787311495598,0.4247104247104247,0.40690671261800526,0.4150485436893203
13,npp_t_tayl,0.4813895781637717,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3870967741935484, 0.3870967741935484]","[3, 3]",0.46233682548583016,0.4749086672180792,0.4784217016029593,0.44891810214174316,0.4492588369441277,0.47660204103207165,0.4813895781637717,0.4489184915514269,0.4497716894977169
14,npp_t_west,0.4193971166448231,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3513909224011713, 0.3513909224011713]","[6, 6]",0.40566729619222897,0.4125955772881002,0.4174135723431498,0.3910482921083627,0.3910482921083628,0.4124651541283681,0.4193971166448231,0.40656016124408473,0.4114002478314746
