,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.6956521739130435,2,1,['0'],[0.9262048192771084],[10],0.28432997407119515,0.3461810554755684,0.4912280701754386,0.692806970747755,0.6956521739130435,0.03950834064969272,0.05882352941176471,0.05882352941176471,0.05882352941176471
1,npp_c_grav,0.7594936708860759,4,1,['1'],[0.9436201780415432],[28],0.5006143617139993,0.4531031843600468,0.5528455284552846,0.7111114646245555,0.7236180904522613,0.07932569222891804,0.08602150537634409,0.7589171056424772,0.7594936708860759
2,npp_c_sand,0.7441860465116279,2,1,['0'],[0.9167927382753404],[11],0.5130878309040573,0.5074647503199315,0.6174496644295302,0.7430376112546654,0.7441860465116279,0.10321882505533121,0.16161616161616166,0.6986301369863014,0.6986301369863014
3,npp_g_basn,0.7900552486187845,4,3,['1'],[0.8888888888888888],[18],0.6080764022353069,0.4789508161647504,0.602510460251046,0.7666565345739224,0.7752808988764044,0.39848571233401975,0.4027586206896552,0.7882125458685353,0.7900552486187845
4,npp_g_ibpe,0.8215962441314555,4,3,['1'],[0.8885630498533724],[9],0.6241302220224091,0.4473225810300388,0.4658634538152611,0.800973311995327,0.8100686498855836,0.42847722741260935,0.4404145077720208,0.8197477676516615,0.8215962441314555
5,npp_g_summ,0.5974025974025974,2,2,['0'],[0.9546783625730996],[22],0.20298778802243658,0.08367787448004178,0.12244897959183675,0.587585642703753,0.5974025974025974,0.05676328502415459,0.08333333333333334,0.0839243498817967,0.0851063829787234
6,npp_m_nort,0.8291316526610644,4,3,['1'],[0.910948905109489],[20],0.633968664074478,0.485109332416849,0.5498007968127491,0.7964643075935705,0.7990314769975786,0.4272390572390572,0.4711111111111112,0.8270619590484358,0.8291316526610644
7,npp_m_rabb,0.8424908424908426,2,3,['4'],[0.9191729323308272],[20],0.6559454511408254,0.49340763634523205,0.497560975609756,0.8276055582811127,0.8424908424908426,0.47353086670541344,0.5360824742268041,0.8292377432315433,0.8417266187050358
8,npp_m_well,0.8324324324324324,4,2,['0'],[0.9085545722713864],[20],0.6314976151700807,0.46258643349004064,0.5063291139240507,0.7929942175881851,0.8058968058968058,0.4394691915647053,0.5147679324894515,0.8309406180373923,0.8324324324324324
9,npp_p_coll,0.8496732026143791,2,3,['3'],[0.8991228070175439],[12],0.6650476029099234,0.5043072823638407,0.5337620578778135,0.8361978536270476,0.8496732026143791,0.48809304703476486,0.4925,0.8315922286140407,0.8366890380313199
10,npp_p_smal,0.8723404255319148,2,1,['0'],[0.8854415274463007],[5],0.7304965355822275,0.5944994085385525,0.5955882352941176,0.8715691254209229,0.8723404255319148,0.5945114842511835,0.5988909426987061,0.8614061241182512,0.8707865168539326
11,npp_p_tobo,0.8579545454545454,4,1,['1'],[0.9203821656050956],[22],0.6695955111623172,0.4670869311947555,0.4855967078189301,0.8350000000000001,0.8350000000000001,0.5242019771222473,0.6594202898550724,0.8520931363322667,0.8579545454545454
12,npp_t_east,0.8020304568527921,4,3,['0'],[0.8857979502196194],[13],0.619423941269092,0.42758856276654233,0.4526748971193416,0.7959459228494761,0.7979797979797979,0.45669685657895726,0.484375,0.7974644228813919,0.8020304568527921
13,npp_t_tayl,0.8348623853211009,4,3,['0'],[0.8944281524926686],[15],0.6768897850511943,0.484596301230437,0.5285714285714286,0.8174812681169877,0.8195991091314031,0.5710965481080423,0.6428571428571429,0.83438502274931,0.8348623853211009
14,npp_t_west,0.7999999999999999,4,2,['0'],[0.8945827232796486],[22],0.612534732596192,0.5099262802506237,0.5679012345679012,0.7494190563958005,0.7505827505827505,0.4019438690395621,0.40686922060766173,0.7888497246987812,0.7999999999999999
