,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.7479674796747967,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9260143198090692, 0.9260143198090692]","[8, 8]",0.3204276177345395,0.4225845926178889,0.6415094339622641,0.40938802572782235,0.7479674796747967,0.1868229896775838,0.2857142857142857,0.2629148629148629,0.303030303030303
1,npp_c_grav,0.8142857142857143,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9379474940334128, 0.9379474940334128]","[17, 17]",0.41129696501918755,0.30967582672437594,0.3136363636363637,0.4012255884330183,0.5843621399176955,0.22761977825268964,0.3181818181818182,0.7066666666666667,0.8142857142857143
2,npp_c_sand,0.7164179104477613,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8639618138424822, 0.8639618138424822]","[5, 5]",0.4219085589445037,0.3206511932783451,0.33035714285714285,0.454706643587115,0.7164179104477613,0.38834477498093056,0.46,0.523931623931624,0.5333333333333333
3,npp_g_basn,0.7746478873239436,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8472553699284008, 0.8472553699284008]","[9, 9]",0.5301671459745684,0.4599347269457916,0.4736842105263158,0.4537647365509023,0.46484375,0.4535837398768778,0.4547206165703275,0.7533853805247023,0.7746478873239436
4,npp_g_ibpe,0.5440313111545988,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4439140811455847, 0.4439140811455847]","[1, 1]",0.519490920013637,0.5236062985434753,0.528957528957529,0.5081903431883047,0.5118829981718465,0.5272498315195328,0.5440313111545988,0.5189172068032354,0.525328330206379
5,npp_g_summ,0.5357142857142857,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9379474940334128, 0.9379474940334128]","[22, 22]",0.29257362290308025,0.24779355011913154,0.2727272727272728,0.41843033509700184,0.5357142857142857,0.23624953857512,0.2380952380952381,0.26782106782106785,0.3272727272727273
6,npp_m_nort,0.7823343848580442,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8353221957040573, 0.8353221957040573]","[1, 1]",0.49759742362129256,0.47388429403489934,0.4835589941972921,0.4649724593235631,0.4655493482309124,0.46767973920962963,0.4731610337972167,0.583853201917078,0.7823343848580442
7,npp_m_rabb,0.7815126050420168,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8758949880668258, 0.8758949880668258]","[42, 42]",0.5308036159485015,0.6058082754172464,0.7815126050420168,0.4942327534563738,0.4981549815498155,0.5140040726841085,0.5214007782101168,0.5091693622362766,0.5142857142857142
8,npp_m_well,0.7650602409638554,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8138424821002387, 0.8138424821002387]","[3, 3]",0.5119134932978099,0.4864785326161123,0.4896421845574388,0.4869502813278304,0.4924242424242425,0.49486649904214564,0.4960937500000001,0.5793586602051515,0.7650602409638554
9,npp_p_coll,0.6893939393939393,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8042959427207638, 0.8042959427207638]","[65, 65]",0.5699318261086501,0.6012355543897357,0.6893939393939393,0.5591843563871509,0.5662431941923776,0.5624849180954486,0.5667276051188299,0.5568224755622654,0.5601436265709155
10,npp_p_smal,0.6165137614678898,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.5011933174224343, 0.5011933174224343]","[1, 1]",0.5969616397457279,0.6060087630243691,0.6165137614678898,0.5892166217635462,0.5940246045694201,0.5982652322711268,0.6046511627906976,0.5943559419238692,0.6134301270417424
11,npp_p_tobo,0.8289473684210527,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8758949880668258, 0.8758949880668258]","[33, 33]",0.5898265487559274,0.5747975037118378,0.5841035120147874,0.5536880413213258,0.5549738219895288,0.663617805920682,0.8289473684210527,0.5672028440698641,0.5719424460431655
12,npp_t_east,0.7645259938837922,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8162291169451074, 0.8162291169451074]","[3, 3]",0.5076409969182102,0.49480037497913215,0.502970297029703,0.47527423091663024,0.4803001876172608,0.4839151544470408,0.4891518737672584,0.5765742273300379,0.7645259938837922
13,npp_t_tayl,0.8530259365994236,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8782816229116945, 0.8782816229116945]","[2, 2]",0.5900185364180223,0.5478487866255627,0.5565862708719851,0.5338258578242304,0.5376344086021506,0.5519521601821678,0.5687022900763359,0.7264473410401279,0.8530259365994236
14,npp_t_west,0.7176470588235293,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.7708830548926014, 0.7708830548926014]","[2, 2]",0.49372061984918064,0.47152413145279953,0.4758220502901354,0.46326420332792967,0.4644194756554307,0.4763826156529181,0.4870259481037925,0.5637115289630754,0.7176470588235293
