,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.7809523809523811,2,1,['7'],[0.9451073985680192],[13],0.3899229347425539,0.4483176087211412,0.594059405940594,0.7780606632091782,0.7809523809523811,0.1161524500907441,0.13793103448275862,0.21716101694915255,0.3125
1,npp_c_grav,0.7971014492753623,2,2,['1'],[0.9331742243436754],[19],0.5686669029098864,0.6421594559177929,0.7058823529411765,0.7916749387863146,0.7971014492753623,0.1703797557456094,0.2380952380952381,0.6704534611898287,0.7883211678832117
2,npp_c_sand,0.7862068965517242,2,2,['1'],[0.9260143198090692],[20],0.4738542869413416,0.3658835523037789,0.3958333333333333,0.7780849815332574,0.7862068965517242,0.27131789497408154,0.3958333333333333,0.4801307189542483,0.4901960784313725
3,npp_g_basn,0.8110236220472441,2,2,['2'],[0.8854415274463007],[16],0.6624704742247498,0.6070491544175755,0.6702702702702703,0.7827461573416891,0.8110236220472441,0.46639348750575055,0.472,0.7936930976339843,0.7969348659003833
4,npp_g_ibpe,0.8456790123456791,2,1,"['1', '2']","[0.8806682577565632, 0.8806682577565632]","[3, 3]",0.7116738616941153,0.5882549836910892,0.6334841628959277,0.8367680141626502,0.8456790123456791,0.5806839938223511,0.6936936936936937,0.8409884551003707,0.8442906574394465
5,npp_g_summ,0.4814814814814816,2,2,['0'],[0.9331742243436754],[24],0.22091635042816213,0.17936507936507937,0.2380952380952381,0.37647787379341296,0.4814814814814816,0.13341671878257244,0.1951219512195122,0.19440572977158344,0.2380952380952381
6,npp_m_nort,0.8394160583941606,4,1,['3'],[0.8949880668257757],[10],0.6748266001813672,0.5682687039732183,0.6310160427807486,0.8059930333120658,0.8297872340425532,0.4903064007078201,0.5029940119760479,0.8347382627323644,0.8394160583941606
7,npp_m_rabb,0.8435374149659864,4,3,['2'],[0.8902147971360382],[11],0.6886483842930818,0.5629848015046002,0.6,0.8187843397560571,0.825082508250825,0.5351539615891582,0.5929648241206029,0.8376704343225118,0.8435374149659864
8,npp_m_well,0.8549618320610687,4,1,['0'],[0.909307875894988],[18],0.6947349229192669,0.5821293936971643,0.6368159203980099,0.8099878058682428,0.8116883116883116,0.5434096305021286,0.5882352941176471,0.843412861609532,0.8549618320610687
9,npp_p_coll,0.8444444444444443,2,2,"['4', '5']","[0.8663484486873508, 0.8663484486873508]","[4, 4]",0.7078009035067266,0.5822804580937379,0.6083333333333333,0.8426827555600496,0.8444444444444443,0.5706247419869067,0.5772811918063315,0.8356156583862129,0.8421052631578947
10,npp_p_smal,0.8693333333333333,2,1,['0'],[0.8830548926014321],[6],0.7384790629514174,0.6095644730518114,0.6230769230769231,0.8668794992175274,0.8693333333333333,0.6143989999340468,0.6367041198501873,0.8630732796022841,0.867605633802817
11,npp_p_tobo,0.8856304985337242,4,2,['0'],[0.9069212410501192],[8],0.7225850315024438,0.5803108738286289,0.5831702544031311,0.862740044041586,0.8731563421828908,0.568363570840351,0.5921568627450979,0.8789256372992096,0.8856304985337242
12,npp_t_east,0.8301886792452831,4,3,['0'],[0.8926014319809069],[18],0.674856405693787,0.512690226245063,0.5405405405405405,0.8149724883237698,0.8231292517006802,0.5479069116762786,0.594059405940594,0.8238559965300368,0.8301886792452831
13,npp_t_tayl,0.8745980707395499,4,1,['1'],[0.9069212410501192],[14],0.7073769368532478,0.5571874980637482,0.5601503759398496,0.8519599596868913,0.8606060606060606,0.5573990279872633,0.5610859728506787,0.8629612616750881,0.8745980707395499
14,npp_t_west,0.801470588235294,4,2,['0'],[0.8711217183770883],[15],0.685987923066361,0.5848545237146273,0.6,0.7953816498396296,0.8013698630136986,0.572324280025981,0.6395939086294415,0.7913912386852061,0.801470588235294
