,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.7301587301587302,3,1,['7'],[0.9487951807228916],[20],0.610163154465246,0.46550382897900633,0.6481481481481481,0.701132093885717,0.725925925925926,0.7208532208532209,0.7301587301587302,0.5531634741430401,0.6551724137931034
1,npp_c_grav,0.7444444444444445,3,1,['9'],[0.9317507418397626],[21],0.6531821392791864,0.6050668118672003,0.656934306569343,0.7148340205602558,0.7292817679558009,0.6911680911680912,0.7444444444444445,0.6016596335211987,0.6470588235294118
2,npp_c_sand,0.7807486631016043,3,1,['8'],[0.9379727685325264],[18],0.6531482610590804,0.505197783505602,0.6214689265536724,0.7441860465116279,0.7441860465116279,0.7639438550539834,0.7807486631016043,0.5992653591651086,0.6370370370370371
3,npp_g_basn,0.7921348314606743,2,3,['2'],[0.8918128654970761],[20],0.6067868023128813,0.43187755485764895,0.4956521739130435,0.7650656984995162,0.7921348314606743,0.7452153972284061,0.7816711590296497,0.48498855866595414,0.5019607843137255
4,npp_g_ibpe,0.8158508158508159,3,1,['6'],[0.8841642228739003],[9],0.627024206737984,0.4541763225260511,0.4649446494464945,0.7988385237443842,0.8045454545454546,0.7962133827780494,0.8158508158508159,0.45886859790345086,0.4628099173553719
5,npp_g_summ,0.6521739130434782,3,2,['6'],[0.953216374269006],[15],0.38148344964436354,0.15743589743589745,0.19230769230769232,0.5924941200531751,0.5974025974025974,0.6310848904552052,0.6521739130434782,0.14491889063317634,0.19230769230769232
6,npp_m_nort,0.8291316526610644,3,3,['5'],[0.910948905109489],[20],0.6449027387633887,0.4740892491683377,0.6062992125984252,0.7965653074397444,0.8052631578947368,0.7947132274091558,0.8291316526610644,0.5142431710363167,0.5873015873015873
7,npp_m_rabb,0.8129032258064516,2,1,['1'],[0.8909774436090225],[9],0.6498770157684203,0.5738251453272544,0.6197183098591549,0.8113558285780832,0.8129032258064516,0.6815527187217824,0.8125,0.5327743704465611,0.5911330049261083
8,npp_m_well,0.8324324324324324,3,1,['8'],[0.9085545722713864],[20],0.6382642636221258,0.48319433527487216,0.5906040268456376,0.7933277663656094,0.8078817733990148,0.8105402990121489,0.8324324324324324,0.4659946538358728,0.4913793103448276
9,npp_p_coll,0.8259109311740891,2,1,['0'],[0.8742690058479532],[3],0.6545584645416613,0.4866690486869747,0.4882280049566294,0.825910931174089,0.8259109311740891,0.8044562514942631,0.8259109311740891,0.5011976268113183,0.5111821086261982
10,npp_p_smal,0.8723404255319148,2,1,['1'],[0.8854415274463007],[5],0.7312495722303797,0.5923689298291823,0.5927272727272728,0.868545909403582,0.8723404255319148,0.8677765058585911,0.8723404255319148,0.5963069438301636,0.5977443609022556
11,npp_p_tobo,0.8350000000000001,2,1,['0'],[0.8949044585987261],[6],0.6558271016716543,0.4824561200701308,0.5199999999999999,0.8350000000000001,0.8350000000000001,0.8217135845062793,0.8350000000000001,0.4841387021102072,0.5185185185185185
12,npp_t_east,0.8021978021978022,2,3,['3'],[0.8945827232796486],[25],0.6296637828391515,0.45334694240807094,0.528735632183908,0.7993806892445416,0.8021978021978022,0.7661710535933407,0.7949367088607595,0.4997564461106528,0.5590551181102362
13,npp_t_tayl,0.832116788321168,3,3,['8'],[0.8988269794721407],[26],0.6387970875846095,0.4613588687541775,0.4632911392405063,0.8171131754000388,0.8277404921700224,0.8132581486596085,0.832116788321168,0.4634581575246131,0.4635416666666666
14,npp_t_west,0.797752808988764,3,1,['9'],[0.8945827232796486],[24],0.625500772063592,0.465552540962377,0.5163934426229508,0.7731220636898554,0.7795698924731183,0.7902755085413697,0.797752808988764,0.47305297506076643,0.5361702127659574
