,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.22541966426858515,1,1,[0],[0.22911694510739855],[7],0.2254196642685851,0.22541966426858515,0.22541966426858515,0.22541966426858515,0.22541966426858515,0.22541966426858515,0.22541966426858515,0.22541966426858515,0.22541966426858515
1,npp_c_grav,0.3038548752834467,2,1,[0],[0.26730310262529833],[7],0.302657956139486,0.3020594965675057,0.3020594965675057,0.302657956139486,0.3038548752834467,0.30325641571146633,0.3038548752834467,0.302657956139486,0.3038548752834467
2,npp_c_sand,0.3248259860788863,1,1,[0],[0.3054892601431981],[7],0.31806580098343434,0.3216557624910293,0.3248259860788863,0.3179258883435217,0.3248259860788863,0.31848553890317227,0.3248259860788863,0.3141960141960142,0.3153153153153153
3,npp_g_basn,0.4713375796178344,1,1,[0],[0.40572792362768495],[8],0.4684537089173986,0.4700089324589398,0.4713375796178344,0.4706732560383871,0.4713375796178344,0.46378803829277554,0.4693446088794926,0.4693446088794926,0.4693446088794926
4,npp_g_ibpe,0.5303643724696356,1,2,[0],[0.4463007159904535],[9],0.525875784429724,0.5258757844297239,0.5303643724696356,0.5213871963898122,0.5303643724696356,0.5258757844297239,0.5303643724696356,0.5303643724696356,0.5303643724696356
5,npp_g_summ,0.0,1,1,[0],[0.909307875894988],[37],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,npp_m_nort,0.4843423799582463,1,1,[0],[0.4105011933174224],[9],0.47341989323500483,0.4731005765172474,0.4843423799582463,0.47437784338827677,0.4843423799582463,0.4731005765172474,0.4843423799582463,0.4731005765172474,0.4843423799582463
7,npp_m_rabb,0.5174537987679672,2,1,[0],[0.4391408114558473],[9],0.5088688523070006,0.5108942929180937,0.5153374233128835,0.5167483402829393,0.5174537987679672,0.4980079681274901,0.4980079681274901,0.5098248078994794,0.5161290322580645
8,npp_m_well,0.5020746887966805,3,1,[0],[0.4272076372315036],[9],0.4960701275425723,0.49429912810194515,0.5000000000000001,0.49429912810194515,0.5000000000000001,0.5006915629322268,0.5020746887966805,0.4949906910341719,0.5020746887966805
9,npp_p_coll,0.5764705882352941,1,1,[0],[0.4844868735083532],[9],0.5732420603153948,0.5759147753589625,0.5764705882352941,0.5705693452718275,0.5764705882352941,0.5705693452718275,0.5764705882352941,0.5759147753589625,0.5764705882352941
10,npp_p_smal,0.615678776290631,1,1,[0],[0.5202863961813843],[8],0.6095169080840626,0.6094574926514654,0.615678776290631,0.6092088640291068,0.615678776290631,0.6097006378278391,0.615678776290631,0.6097006378278391,0.615678776290631
11,npp_p_tobo,0.5847953216374269,1,3,[0],[0.4916467780429594],[9],0.5786360066359099,0.5755192579149021,0.5847953216374269,0.5801572897761645,0.5847953216374269,0.5740721572151465,0.5847953216374269,0.5847953216374269,0.5847953216374269
12,npp_t_east,0.4806517311608962,1,1,[0],[0.3914081145584726],[10],0.4806517311608962,0.4806517311608962,0.4806517311608962,0.4806517311608962,0.4806517311608962,0.4806517311608962,0.4806517311608962,0.4806517311608962,0.4806517311608962
13,npp_t_tayl,0.5555555555555556,1,1,[0],[0.4653937947494034],[10],0.5513340643274853,0.5555555555555556,0.5555555555555556,0.5464587394411956,0.5555555555555556,0.5523148148148148,0.5555555555555556,0.5510071474983756,0.5555555555555556
14,npp_t_west,0.4831932773109243,3,1,[0],[0.4128878281622912],[9],0.4772222842661667,0.4811715481171548,0.4811715481171548,0.48083976922935134,0.4811715481171548,0.4769150022534472,0.4831932773109243,0.46996281746471347,0.4811715481171548
