,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.3291139240506329,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9201807228915664, 0.9201807228915664]","[53, 53]",0.20025628364243553,0.1907188694078286,0.19119878603945373,0.1984298646158776,0.2368421052631579,0.1918216830923242,0.19364599092284415,0.22005471745371175,0.3291139240506329
1,npp_c_grav,0.6423357664233577,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.9272997032640948, 0.9272997032640948]","[44, 44]",0.37006877484755835,0.23860505743529992,0.2425106990014265,0.4814903846153846,0.5538461538461539,0.24109925169824406,0.246065808297568,0.5190804056413046,0.6423357664233577
2,npp_c_sand,0.4705882352941176,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.9046898638426626, 0.9046898638426626]","[63, 63]",0.27222049389279707,0.25512774068898897,0.2573099415204679,0.2828693457581052,0.4705882352941176,0.2601077877493763,0.2620087336244541,0.2907771013747178,0.3302752293577982
3,npp_g_basn,0.4083224967490247,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3347953216374269, 0.3347953216374269]","[4, 4]",0.4019154340768328,0.398648670056384,0.4005134788189988,0.4022573697173752,0.4083224967490247,0.40138668866582367,0.4076923076923077,0.40536900786774827,0.4083224967490247
4,npp_g_ibpe,0.4532650448143406,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.373900293255132, 0.373900293255132]","[7, 7]",0.44860357033182635,0.44453855317158936,0.4452830188679246,0.4522732664791836,0.4532650448143406,0.44742700041794786,0.4492385786802031,0.4501754612585847,0.4512820512820513
5,npp_g_summ,0.4545454545454545,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.9473684210526316, 0.9473684210526316]","[30, 30]",0.15238510458986945,0.14562091503267974,0.15999999999999998,0.0688896125826217,0.12244897959183675,0.2986580086580086,0.4545454545454545,0.09637188208616781,0.12244897959183675
6,npp_m_nort,0.4142312579415503,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.327007299270073, 0.327007299270073]","[5, 5]",0.40889267454042394,0.4111152966196441,0.4142312579415503,0.4103426022296106,0.41116751269035534,0.40738168581441,0.4095477386934673,0.40673111349803076,0.4081632653061225
7,npp_m_rabb,0.4470198675496688,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3721804511278196, 0.3721804511278196]","[0, 0]",0.4389482506781375,0.4393480859311904,0.4470198675496688,0.4398299429727896,0.44151565074135096,0.4388099832530756,0.4426229508196721,0.4378049905554941,0.4390243902439024
8,npp_m_well,0.43181818181818177,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.33628318584070804, 0.33628318584070804]","[3, 3]",0.4248306773979853,0.4249060679669203,0.4273072060682681,0.4240207511596446,0.425531914893617,0.42145813454937486,0.425531914893617,0.4289377559160012,0.43181818181818177
9,npp_p_coll,0.4993909866017053,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3991228070175439, 0.3991228070175439]","[2, 2]",0.49279219006041775,0.489144900770967,0.4963503649635037,0.49635373944358685,0.4993909866017053,0.49133429298867143,0.4921968787515005,0.49433582703844564,0.4969249692496925
10,npp_p_smal,0.6028880866425993,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4749403341288783, 0.4749403341288783]","[2, 2]",0.5969690784128815,0.5991586986352417,0.6007194244604317,0.5937615205906757,0.5952813067150635,0.5993989634171372,0.6028880866425993,0.595557131008472,0.5989304812834224
11,npp_p_tobo,0.4592790387182911,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.35509554140127386, 0.35509554140127386]","[1, 1]",0.4553040575844551,0.45301631644625046,0.4547872340425532,0.4566758228222863,0.4590604026845637,0.45560208771796074,0.4592790387182911,0.4559220033513227,0.4572192513368984
12,npp_t_east,0.4267676767676768,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3352855051244509, 0.3352855051244509]","[2, 2]",0.42094088559637877,0.4220770851174027,0.4233206590621039,0.4215689468947305,0.4252577319587628,0.41938013218497633,0.4210526315789474,0.4207373781884057,0.4267676767676768
13,npp_t_tayl,0.4743276283618582,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.36950146627565983, 0.36950146627565983]","[3, 3]",0.46796764398612223,0.4707934622123882,0.4730392156862746,0.46783024998176775,0.473358116480793,0.4649523236136331,0.4743276283618582,0.46829454013669936,0.469437652811736
14,npp_t_west,0.4121365360303414,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3191800878477306, 0.3191800878477306]","[3, 3]",0.40787701246788394,0.40756407251121796,0.4121365360303414,0.4100840036188557,0.4113110539845759,0.40418943462365536,0.4065656565656566,0.4096705391178072,0.4107142857142857
