,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.58,3,2,['2'],[0.9367469879518072],[37],0.29024957491411163,0.45006087304021336,0.5161290322580644,0.07757885763000853,0.08695652173913045,0.5471945259042034,0.58,0.08616404308202154,0.14084507042253522
1,npp_c_grav,0.6986301369863014,3,2,['0'],[0.9347181008902076],[37],0.4780590630101926,0.5686896981014629,0.6013071895424837,0.3962722540477595,0.4462809917355373,0.5044440604511392,0.6986301369863014,0.44283023944040895,0.5714285714285715
2,npp_c_sand,0.7066666666666668,3,1,['1'],[0.9334341906202724],[38],0.3635233063095635,0.47630903375584227,0.5034965034965035,0.15573363342752497,0.3603603603603603,0.6489180198162235,0.7066666666666668,0.17313253823866315,0.21568627450980396
3,npp_g_basn,0.5714285714285714,3,2,['1'],[0.8552631578947368],[95],0.47455598716839115,0.43123509082895745,0.4497607655502392,0.46691162170131517,0.5045871559633027,0.5065599353237601,0.5714285714285714,0.493517300819532,0.5517241379310345
4,npp_g_ibpe,0.5703703703703704,3,2,['1'],[0.8299120234604106],[107],0.4904490093548472,0.471139796622604,0.501930501930502,0.502135925108112,0.5475285171102662,0.5195808211312087,0.5703703703703704,0.46893949455746403,0.5223880597014925
5,npp_g_summ,0.4545454545454545,3,1,['0'],[0.9473684210526316],[30],0.12313117869018486,0.1341496598639456,0.15999999999999998,0.043478260869565216,0.043478260869565216,0.2448484848484848,0.4545454545454545,0.07004830917874397,0.08333333333333334
6,npp_m_nort,0.5606694560669456,1,3,['1'],[0.8467153284671532],[101],0.4762466414576545,0.5264335816777209,0.5606694560669456,0.4765956328622125,0.5213675213675214,0.4866936026936026,0.5519999999999999,0.415263748597082,0.4444444444444445
7,npp_m_rabb,0.6666666666666666,3,1,['1'],[0.8609022556390977],[61],0.5240930824551427,0.5052336131788093,0.5157894736842106,0.5031531853121058,0.5911330049261083,0.5820350396621583,0.6666666666666666,0.505950491667498,0.5714285714285714
8,npp_m_well,0.5394190871369294,4,1,['1'],[0.8362831858407079],[109],0.46958663140232443,0.4477575841677703,0.4721030042918455,0.4254290393085187,0.4472573839662447,0.48781009650574864,0.5042735042735041,0.51734980562726,0.5394190871369294
9,npp_p_coll,0.5830721003134796,1,1,['1'],[0.8055555555555556],[114],0.5014454785031486,0.5169512043227361,0.5830721003134796,0.49631912319808563,0.514851485148515,0.5072017853867855,0.5503355704697986,0.4853098011049874,0.4882280049566294
10,npp_p_smal,0.5955882352941176,1,3,['0'],[0.4749403341288783],[7],0.5928533969323069,0.5936809269162211,0.5955882352941176,0.5920137865057367,0.5923217550274222,0.5930839754351399,0.5942028985507246,0.5926348988721298,0.5935251798561151
11,npp_p_tobo,0.5669291338582677,2,1,['1'],[0.8248407643312102],[101],0.48081360195325257,0.47843155438092144,0.5232067510548524,0.5047841334156838,0.5669291338582677,0.45447306617324007,0.4581497797356829,0.4855656538431649,0.5126050420168067
12,npp_t_east,0.5333333333333333,4,3,['1'],[0.83601756954612],[107],0.45998016702982686,0.4525869754442898,0.5147679324894515,0.45546183149040836,0.4841269841269841,0.4774476237058775,0.5057471264367815,0.4544242374787319,0.5333333333333333
13,npp_t_tayl,0.5454545454545455,3,3,['1'],[0.8020527859237536],[116],0.4828845242486693,0.4747221310063286,0.5018181818181818,0.47568502830725407,0.5017921146953405,0.5155995438253503,0.5454545454545455,0.4655313938557443,0.4761904761904762
14,npp_t_west,0.5527272727272727,3,1,['1'],[0.8199121522693997],[90],0.4497569905215459,0.4352637483364313,0.4933920704845815,0.4238271604938271,0.4537037037037037,0.484285391266746,0.5527272727272727,0.45565166198917906,0.4913793103448276
