,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.6888888888888889,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9331742243436754, 0.9331742243436754]","[23, 23]",0.3564553796786331,0.47752519286086637,0.627906976744186,0.17760639981583262,0.25806451612903225,0.5363598311281867,0.6888888888888889,0.23433009490964654,0.30769230769230765
1,npp_c_grav,0.39130434782608703,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8663484486873508, 0.8663484486873508]","[56, 56]",0.3067720727396956,0.30377023089769856,0.30897703549060546,0.270172754510104,0.3555555555555556,0.30457514618621784,0.3096234309623431,0.3485701593647621,0.39130434782608703
2,npp_c_sand,0.4123711340206185,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8639618138424822, 0.8639618138424822]","[57, 57]",0.31559002314031387,0.3129572332656074,0.3153347732181425,0.3424489931437488,0.4123711340206185,0.31849232769036057,0.32150313152400833,0.2884615384615385,0.3076923076923077
3,npp_g_basn,0.4600389863547759,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3389021479713604, 0.3389021479713604]","[1, 1]",0.4517660781238384,0.4534726975247489,0.4600389863547759,0.45126265904293233,0.4549019607843138,0.45028108640574294,0.4512428298279159,0.4520478695219296,0.4557956777996071
4,npp_g_ibpe,0.5259117082533589,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.4105011933174224, 0.4105011933174224]","[3, 3]",0.5110264776956216,0.5132475576585303,0.5185185185185185,0.5129343508788052,0.5259117082533589,0.5101837774631358,0.516728624535316,0.507740224782015,0.5119705340699815
5,npp_g_summ,0.3181818181818182,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.928400954653938, 0.928400954653938]","[30, 30]",0.21754624889196642,0.2223883351790329,0.2790697674418605,0.2029245947850599,0.2727272727272728,0.19440572977158344,0.2380952380952381,0.25046633583218947,0.3181818181818182
6,npp_m_nort,0.475095785440613,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3460620525059666, 0.3460620525059666]","[1, 1]",0.46752814165856593,0.4694763729246488,0.475095785440613,0.4671864110328207,0.4719535783365571,0.46822160416659936,0.4696969696969697,0.465228178510195,0.4679245283018868
7,npp_m_rabb,0.5056603773584906,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3747016706443914, 0.3747016706443914]","[1, 1]",0.4993897730288106,0.50406387831205,0.5056179775280898,0.49907717627696463,0.5056603773584906,0.4978377883139788,0.5,0.4965802492122493,0.504708097928437
8,npp_m_well,0.4904942965779467,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.36038186157517893, 0.36038186157517893]","[1, 1]",0.48178232762604156,0.4854958413070379,0.4904942965779467,0.48121328886231624,0.4877126654064272,0.48018523417304243,0.4877126654064272,0.4802349461617694,0.4904942965779467
9,npp_p_coll,0.5621621621621622,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4200477326968974, 0.4200477326968974]","[0, 0]",0.5526066906067592,0.5568935713489838,0.5621621621621622,0.5545609821010999,0.5595667870036102,0.5443998430854559,0.5490909090909091,0.5545723658914973,0.5575539568345325
10,npp_p_smal,0.6,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.4653937947494034, 0.4653937947494034]","[1, 1]",0.5907848045002244,0.59280229800317,0.5982300884955752,0.5913298183948448,0.6,0.5896681639795626,0.5940246045694201,0.5893389376233205,0.5961199294532628
11,npp_p_tobo,0.5771324863883848,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4439140811455847, 0.4439140811455847]","[0, 0]",0.5612476219092745,0.5657915948437154,0.5683453237410072,0.5661832838019318,0.5771324863883848,0.5583883229427705,0.5632798573975044,0.5546272860486802,0.5622775800711743
12,npp_t_east,0.4894837476099427,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3627684964200477, 0.3627684964200477]","[0, 0]",0.4743408461106236,0.48603217160164686,0.4894837476099427,0.47534141431600596,0.4774436090225563,0.4687381905306433,0.4723809523809524,0.4672516079941982,0.4716981132075472
13,npp_t_tayl,0.5454545454545454,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.4033412887828162, 0.4033412887828162]","[0, 0]",0.5362360106703338,0.5413458110516934,0.5454545454545454,0.5348452951636083,0.5451197053406998,0.5346951010620076,0.5359712230215827,0.5340578354040263,0.5398550724637681
14,npp_t_west,0.4712643678160921,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3412887828162291, 0.3412887828162291]","[1, 1]",0.4645002020034332,0.4632059133699049,0.4694656488549618,0.4652061585438449,0.4712643678160921,0.46620378356621234,0.4667931688804554,0.4633849525337708,0.4667931688804554
