,site,metric,param_index,run_index,indexes,accuracies,false_negatives
0,npp_c_cali,0.8316831683168316,3,3,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']","[0.9594272076372315, 0.9594272076372315, 0.9594272076372315, 0.9594272076372315, 0.9594272076372315, 0.9594272076372315, 0.9594272076372315, 0.9594272076372315, 0.9594272076372315, 0.9594272076372315]","[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
1,npp_c_grav,0.8188976377952756,1,2,"['0', '1', '2', '3', '4', '5']","[0.9451073985680192, 0.9451073985680192, 0.9451073985680192, 0.9451073985680192, 0.9451073985680192, 0.9451073985680192]","[22, 22, 22, 22, 22, 22]"
2,npp_c_sand,0.8421052631578948,2,3,['8'],[0.9498806682577564],[21]
3,npp_g_basn,0.6810810810810811,1,3,['0'],[0.8591885441527446],[56]
4,npp_g_ibpe,0.6481481481481481,2,1,"['0', '2', '3', '5']","[0.8186157517899761, 0.8186157517899761, 0.8186157517899761, 0.8186157517899761]","[70, 70, 70, 70]"
5,npp_g_summ,0.8000000000000002,1,2,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']","[0.9665871121718376, 0.9665871121718376, 0.9665871121718376, 0.9665871121718376, 0.9665871121718376, 0.9665871121718376, 0.9665871121718376, 0.9665871121718376, 0.9665871121718376, 0.9665871121718376]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
6,npp_m_nort,0.6767676767676768,2,3,"['0', '1', '2']","[0.8472553699284008, 0.8472553699284008, 0.8472553699284008]","[58, 58, 58]"
7,npp_m_rabb,0.63,4,2,"['0', '1', '2', '3', '4', '5', '6', '7']","[0.8233890214797136, 0.8233890214797136, 0.8233890214797136, 0.8233890214797136, 0.8233890214797136, 0.8233890214797136, 0.8233890214797136, 0.8233890214797136]","[72, 72, 72, 72, 72, 72, 72, 72]"
8,npp_m_well,0.6461538461538462,1,3,"['0', '1', '2', '3', '4', '5', '6', '7', '8']","[0.8353221957040573, 0.8353221957040573, 0.8353221957040573, 0.8353221957040573, 0.8353221957040573, 0.8353221957040573, 0.8353221957040573, 0.8353221957040573, 0.8353221957040573]","[67, 67, 67, 67, 67, 67, 67, 67, 67]"
9,npp_p_coll,0.5714285714285714,3,1,['9'],[0.4558472553699284],[4]
10,npp_p_smal,0.6066176470588235,4,2,['9'],[0.4892601431980907],[4]
11,npp_p_tobo,0.6233766233766235,2,2,"['0', '1', '2', '3', '4', '5']","[0.7923627684964201, 0.7923627684964201, 0.7923627684964201, 0.7923627684964201, 0.7923627684964201, 0.7923627684964201]","[87, 87, 87, 87, 87, 87]"
12,npp_t_east,0.6700507614213198,1,1,"['0', '5']","[0.8448687350835322, 0.8448687350835322]","[62, 62]"
13,npp_t_tayl,0.6118721461187215,2,1,['9'],[0.7971360381861575],[83]
14,npp_t_west,0.6769230769230768,1,3,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']","[0.8496420047732697, 0.8496420047732697, 0.8496420047732697, 0.8496420047732697, 0.8496420047732697, 0.8496420047732697, 0.8496420047732697, 0.8496420047732697, 0.8496420047732697, 0.8496420047732697]","[58, 58, 58, 58, 58, 58, 58, 58, 58, 58]"
