,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,2_avg_f1,3_avg_f1,4_avg_f1
0,npp_c_cali,0.9454545454545454,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9856801909307876, 0.9856801909307876]","[2, 2]",0.8042821222683606,0.8577193298504774,0.8141425684525773,0.8965740862456418,0.6486925045247457
1,npp_c_grav,0.9285714285714284,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9761336515513126, 0.9761336515513126]","[9, 9]",0.6864842732743792,0.7782058408244367,0.7590669078837448,0.8877734443962958,0.32089089999303977
2,npp_c_sand,0.8811188811188809,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9594272076372315, 0.9594272076372315]","[14, 14]",0.6902679571637171,0.7981560547598615,0.7822996563372295,0.8507679619614384,0.32984815559633934
3,npp_g_basn,0.8409893992932862,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8926014319809069, 0.8926014319809069]","[0, 0]",0.5414517905115165,0.6927898737658834,0.559807848600952,0.45600041684285486,0.45720902283637566
4,npp_g_ibpe,0.8588957055214724,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8902147971360382, 0.8902147971360382]","[0, 0]",0.5434008247383947,0.6254180985711796,0.5109636888120648,0.5167161902364396,0.5205053213338945
5,npp_g_summ,0.9610389610389609,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.9928400954653938, 0.9928400954653938]","[0, 0]",0.8730473398581925,0.9442779442779442,0.8039518651592723,0.8269613583138172,0.9169981916817361
6,npp_m_nort,0.4844961240310077,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3651551312649165, 0.3651551312649165]","[0, 0]",0.4766148908995537,0.4795517584534927,0.4793104665000605,0.47206682206682204,0.47553051657783946
7,npp_m_rabb,0.8823529411764706,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9140811455847256, 0.9140811455847256]","[0, 0]",0.532534058686457,0.6325065540089415,0.4960388777771844,0.5006480078523304,0.5009427951073718
8,npp_m_well,0.8125000000000001,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8568019093078759, 0.8568019093078759]","[0, 0]",0.514599076763833,0.5948254000696432,0.49091504048180545,0.48741037389889014,0.4852454926049931
9,npp_p_coll,0.8232189973614776,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8400954653937948, 0.8400954653937948]","[0, 0]",0.5805666688192316,0.560503583498528,0.6497097680278642,0.5534932387736519,0.5585600849768823
10,npp_p_smal,0.8871391076115485,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8973747016706444, 0.8973747016706444]","[0, 0]",0.6160746139284594,0.5882549628973561,0.6825653429159301,0.5955754537979049,0.5979026961026467
11,npp_p_tobo,0.5750452079566003,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.4391408114558473, 0.4391408114558473]","[0, 0]",0.5632622449043969,0.5569394154870109,0.5642720801821574,0.5690461972209624,0.5627912867274569
12,npp_t_east,0.8050314465408805,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8520286396181385, 0.8520286396181385]","[0, 0]",0.5331246411121372,0.590993937975054,0.5708515953160945,0.48333354521199023,0.4873194859454102
13,npp_t_tayl,0.8547008547008548,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8782816229116945, 0.8782816229116945]","[0, 0]",0.566097870794016,0.6404628639141913,0.5392922196200884,0.5446890692792331,0.5399473303625512
14,npp_t_west,0.8104575163398693,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8615751789976134, 0.8615751789976134]","[0, 0]",0.49938148075991234,0.5809832619916654,0.471538177898583,0.47216678216678226,0.47283770098261896
