,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,2_avg_f1,3_avg_f1,4_avg_f1
0,npp_c_cali,0.923076923076923,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9809069212410502, 0.9809069212410502]","[6, 6]",0.8241837289041835,0.8508460266647906,0.6453959833270179,0.9101888402859277,0.8903040653389978
1,npp_c_grav,0.9051094890510948,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9689737470167064, 0.9689737470167064]","[12, 12]",0.6426094015347915,0.7739536523041678,0.607572257758825,0.8716332329471016,0.31727846312907193
2,npp_c_sand,0.9733333333333332,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9904534606205252, 0.9904534606205252]","[4, 4]",0.7078872536629656,0.8122429935400545,0.7718253385184531,0.9229464647460114,0.32453421784734243
3,npp_g_basn,0.7628205128205128,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8233890214797136, 0.8233890214797136]","[0, 0]",0.5328366035419126,0.5667586006517994,0.6545048794650746,0.45437715210454094,0.45570578194623607
4,npp_g_ibpe,0.8459214501510574,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8782816229116945, 0.8782816229116945]","[0, 0]",0.5956131306965653,0.7369034047151942,0.613155208490396,0.5179689806384994,0.5144249289421721
5,npp_g_summ,0.9487179487179488,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9904534606205252, 0.9904534606205252]","[0, 0]",0.8673576118454088,0.920142269825814,0.838049337552865,0.8280281809693575,0.8832106590335992
6,npp_m_nort,0.8591065292096222,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9021479713603818, 0.9021479713603818]","[0, 0]",0.555436380646039,0.7106694006933084,0.5603246456301894,0.4786498825516168,0.4721015937090409
7,npp_m_rabb,0.5094339622641509,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3794749403341289, 0.3794749403341289]","[0, 0]",0.5003517430536019,0.5031457972103975,0.4985485350309235,0.49906542056074765,0.5006472194123387
8,npp_m_well,0.5058365758754864,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3937947494033413, 0.3937947494033413]","[0, 0]",0.4908038611981229,0.49658708246247546,0.48241772803947175,0.4930303030303031,0.49118033126024124
9,npp_p_coll,0.5724770642201835,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.4439140811455847, 0.4439140811455847]","[0, 0]",0.5577536850611912,0.5585449497578597,0.558655870262288,0.5579746835443038,0.5558392366803129
10,npp_p_smal,0.5961199294532628,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.4534606205250597, 0.4534606205250597]","[0, 0]",0.588009748627511,0.589929213684003,0.5824658589645116,0.5894115543265305,0.5902323675349991
11,npp_p_tobo,0.8641304347826088,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8806682577565632, 0.8806682577565632]","[0, 0]",0.587544571688064,0.6619516529529189,0.5622584743207573,0.5636148769436516,0.5623532825349279
12,npp_t_east,0.8561872909698997,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8973747016706444, 0.8973747016706444]","[0, 0]",0.5431338200598629,0.6080216732635354,0.5957089543161773,0.48320750631911996,0.48559714634061857
13,npp_t_tayl,0.8823529411764706,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9045346062052506, 0.9045346062052506]","[0, 0]",0.5682753091727997,0.6509444666846169,0.5360842782569262,0.5419185163706016,0.5441539753790542
14,npp_t_west,0.6985915492957747,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.7446300715990454, 0.7446300715990454]","[0, 0]",0.4901542197741986,0.47153895566314263,0.5463147811089137,0.47103469414563665,0.47172844817910126
