,site,metric,param_index,run_index,indexes,accuracies,false_negatives
0,npp_c_cali,0.2086677367576244,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.25303030303030305, 0.25303030303030305]","[1, 1]"
1,npp_c_grav,0.27804107424960506,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.31689088191330345, 0.31689088191330345]","[0, 0]"
2,npp_c_sand,0.294017094017094,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3713850837138508, 0.3713850837138508]","[2, 2]"
3,npp_g_basn,0.4772036474164133,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4941176470588236, 0.4941176470588236]","[1, 1]"
4,npp_g_ibpe,0.4433374844333749,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3407079646017699, 0.3407079646017699]","[2, 2]"
5,npp_g_summ,0.14705882352941174,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.2323529411764706, 0.2323529411764706]","[0, 0]"
6,npp_m_nort,0.3947681331747919,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.2514705882352941, 0.2514705882352941]","[0, 0]"
7,npp_m_rabb,0.4084720121028744,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.25806451612903225, 0.25806451612903225]","[0, 0]"
8,npp_m_well,0.4375,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3590504451038576, 0.3590504451038576]","[2, 2]"
9,npp_p_coll,0.4631101021566402,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3044117647058823, 0.3044117647058823]","[0, 0]"
10,npp_p_smal,0.5724137931034483,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4024096385542169, 0.4024096385542169]","[0, 0]"
11,npp_p_tobo,0.5745062836624776,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.6201923076923077, 0.6201923076923077]","[10, 10]"
12,npp_t_east,0.4729927007299271,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4691176470588235, 0.4691176470588235]","[6, 6]"
13,npp_t_tayl,0.4747847478474785,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3702064896755162, 0.3702064896755162]","[0, 0]"
14,npp_t_west,0.4885496183206106,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.5073529411764706, 0.5073529411764706]","[3, 3]"
