,site,metric,param_index,run_index,indexes,accuracies,false_negatives
0,npp_c_cali,0.6666666666666667,1,1,['0'],[0.912121212121212],[8]
1,npp_c_grav,0.6540284360189573,1,1,"['1', '2']","[0.890881913303438, 0.890881913303438]","[19, 19]"
2,npp_c_sand,0.7065217391304347,1,1,['1'],[0.9176829268292684],[22]
3,npp_g_basn,0.7337278106508875,1,1,['0'],[0.8676470588235294],[34]
4,npp_g_ibpe,0.7071823204419889,1,1,['0'],[0.843426883308715],[51]
5,npp_g_summ,0.5,1,1,['0'],[0.9294117647058824],[21]
6,npp_m_nort,0.7405247813411079,1,1,['0'],[0.8691176470588236],[39]
7,npp_m_rabb,0.7258064516129031,1,1,['0'],[0.8709677419354839],[45]
8,npp_m_well,0.7298050139275766,1,1,['1'],[0.8558692421991084],[38]
9,npp_p_coll,0.7541766109785204,1,1,['0'],[0.8483063328424153],[45]
10,npp_p_smal,0.8023598820058998,1,1,['0'],[0.8381642512077294],[30]
11,npp_p_tobo,0.7103448275862069,1,1,['3'],[0.8653846153846154],[67]
12,npp_t_east,0.6458333333333333,1,1,['3'],[0.85],[75]
13,npp_t_tayl,0.7493796526054591,1,1,['0'],[0.8508124076809453],[41]
14,npp_t_west,0.6853146853146853,1,1,['0'],[0.8674521354933726],[64]
