,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,2_avg_f1,3_avg_f1,4_avg_f1
0,npp_c_cali,1.0,1,1,['0'],[1.0],[0],0.7979363970596866,0.6724488487535032,0.9523809523809524,0.7244934746557069,0.8424223124485842
1,npp_c_grav,1.0,1,1,['0'],[1.0],[0],0.7773393097681095,0.5630502142130048,0.7555819002472224,0.8721969860840724,0.9185281385281385
2,npp_c_sand,1.0,3,3,['0'],[1.0],[0],0.7244660701189365,0.6457939008260651,0.7708009071908214,0.6390147267698288,0.8422547456890305
3,npp_g_basn,1.0,1,3,['0'],[1.0],[0],0.7841036959218237,0.8164921748515921,0.7331484512335577,0.8246540234881694,0.7621201341139751
4,npp_g_ibpe,1.0,1,2,['0'],[1.0],[0],0.7934943083424599,0.8481664397157355,0.7591973900339349,0.8086044542741663,0.7580089493460024
5,npp_g_summ,1.0,2,2,['0'],[1.0],[0],0.6695208272937712,0.6016202640777427,0.8363479758828595,0.32668439716312053,0.9134306720513617
6,npp_m_nort,0.9940119760479044,3,3,['0'],[0.997080291970803],[2],0.8596431594125065,0.8973855021813915,0.826883590837579,0.8948511824558358,0.8194523621752193
7,npp_m_rabb,0.914089347079038,2,1,['1'],[0.9529190207156308],[2],0.7920027711972751,0.7457223067590723,0.8360067174946355,0.7802882059418076,0.8059938545935849
8,npp_m_well,0.8994708994708994,4,2,['2'],[0.9437869822485208],[2],0.7849265588080957,0.7880158113820489,0.7713783082187379,0.7645284415987277,0.8157836740328689
9,npp_p_coll,1.0,1,1,['0'],[1.0],[0],0.839417780745345,0.8921840052046481,0.8424263394555122,0.7704902490249025,0.8525705292963172
10,npp_p_smal,0.8527131782945736,3,1,['0'],[0.8639618138424822],[4],0.8400511449802336,0.8407167979711002,0.840133900409116,0.8352786362894281,0.8440752452512911
11,npp_p_tobo,0.8342541436464088,4,1,['1'],[0.9029126213592232],[16],0.7871621230294336,0.7838342695547612,0.8008545169689748,0.7642963998570967,0.7996633057369018
12,npp_t_east,1.0,2,1,['0'],[1.0],[0],0.7817405001955754,0.7268813547104974,0.8316172280878164,0.8368050475813207,0.7316583704026672
13,npp_t_tayl,1.0,1,2,['0'],[1.0],[0],0.8378863004516598,0.8891515151515152,0.7984922163846049,0.8822836645323967,0.7816178057381227
14,npp_t_west,1.0,3,1,['0'],[1.0],[0],0.76575332518782,0.7262645107794361,0.7771908318477542,0.8352333009387571,0.7243246571853331
