,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,2_avg_f1,3_avg_f1,4_avg_f1
0,npp_c_cali,0.8372093023255813,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9498806682577564, 0.9498806682577564]","[0, 0]",0.3778635194762632,0.2374454716611787,0.2399155327319846,0.23660838765511075,0.7974846858567789
1,npp_c_grav,0.6548672566371682,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8138424821002387, 0.8138424821002387]","[0, 0]",0.33172278015458173,0.30122227752889774,0.4215645091187012,0.300406229214422,0.3036981047563058
2,npp_c_sand,0.6416666666666667,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.7947494033412887, 0.7947494033412887]","[0, 0]",0.3432302309644188,0.31583940497874924,0.42192863595302627,0.3111136556958713,0.32403922723002837
3,npp_g_basn,0.4490566037735849,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3031026252983294, 0.3031026252983294]","[0, 0]",0.4439682055647569,0.4434786032593086,0.44542981134522736,0.4426537812760321,0.44431062637845903
4,npp_g_ibpe,0.6984924623115576,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.7136038186157518, 0.7136038186157518]","[1, 1]",0.5181098111031857,0.5014928945911692,0.5679594862402978,0.5014939689901069,0.5014928945911692
5,npp_g_summ,0.8470588235294119,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9689737470167064, 0.9689737470167064]","[1, 1]",0.7036386690701852,0.7150440400040612,0.8117043895230486,0.617580905506602,0.6702253412470293
6,npp_m_nort,0.46296296296296297,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.30787589498806683, 0.30787589498806683]","[0, 0]",0.4607614474609198,0.4604061975377635,0.46154299845494434,0.460124086534983,0.46097250731598827
7,npp_m_rabb,0.49360146252285203,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3389021479713604, 0.3389021479713604]","[0, 0]",0.48899108062977836,0.4873646209386282,0.4903205331640749,0.48765839105372083,0.49062077736268983
8,npp_m_well,0.4805914972273567,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.32935560859188545, 0.32935560859188545]","[0, 0]",0.47525563588853625,0.47590241703949604,0.47445572035735967,0.4741655372518201,0.4764988689054693
9,npp_p_coll,0.6887417218543047,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.6634844868735084, 0.6634844868735084]","[0, 0]",0.5551018265675021,0.5432389031964854,0.5913197043862176,0.542608695652174,0.5432400030351316
10,npp_p_smal,0.5817555938037866,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4200477326968974, 0.4200477326968974]","[0, 0]",0.5746791741735666,0.5748299319727891,0.5758454925624151,0.5740206360795311,0.5740206360795311
11,npp_p_tobo,0.554006968641115,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3890214797136039, 0.3890214797136039]","[0, 0]",0.550969811741757,0.5504908457419057,0.5527245451025938,0.5504908457419057,0.5501730103806228
12,npp_t_east,0.4904214559386973,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3651551312649165, 0.3651551312649165]","[0, 0]",0.4706629843634469,0.46915333892428196,0.4763390012823581,0.46857979862357363,0.46857979862357363
13,npp_t_tayl,0.7109004739336493,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.7088305489260143, 0.7088305489260143]","[0, 0]",0.5432424746419261,0.5893900057062285,0.5284795190898477,0.5272407732864675,0.5278596004851605
14,npp_t_west,0.4626865671641791,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3126491646778043, 0.3126491646778043]","[0, 0]",0.4576405593884492,0.457283688858988,0.4575656140442288,0.4570028020722196,0.45871013257836046
