,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.0,1,1,"['ensemble_avg', 'ensemble_uniq_avg', 'ensemble_or', 'ensemble_uniq_or']","[0.9006024096385542, 0.9006024096385542, 0.9006024096385542, 0.9006024096385542]","[66, 66, 66, 66]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,npp_c_grav,0.24085365853658536,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.2611275964391692, 0.2611275964391692]","[9, 9]",0.24057871143779921,0.2404870624048706,0.2404870624048706,0.2404870624048706,0.2404870624048706,0.24073145982601377,0.24085365853658536,0.2406092611154422,0.24085365853658536
2,npp_c_sand,0.249609984399376,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.2723146747352496, 0.2723146747352496]","[11, 11]",0.24960998439937607,0.249609984399376,0.249609984399376,0.249609984399376,0.249609984399376,0.249609984399376,0.249609984399376,0.249609984399376,0.249609984399376
3,npp_g_basn,0.4027586206896552,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3669590643274854, 0.3669590643274854]","[15, 15]",0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552
4,npp_g_ibpe,0.4389574759945131,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4002932551319648, 0.4002932551319648]","[24, 24]",0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131
5,npp_g_summ,0.04166666666666667,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.932748538011696, 0.932748538011696]","[44, 44]",0.0034722222222222225,0.0,0.0,0.0,0.0,0.0,0.0,0.01388888888888889,0.04166666666666667
6,npp_m_nort,0.4153005464480874,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3751824817518248, 0.3751824817518248]","[16, 16]",0.41148724712885265,0.4111405835543767,0.4111405835543767,0.4111405835543767,0.4111405835543767,0.41252723785228024,0.4153005464480874,0.4111405835543767,0.4111405835543767
7,npp_m_rabb,0.4522968197879858,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.4172932330827068, 0.4172932330827068]","[7, 7]",0.45216386951761894,0.4520309192472522,0.4522968197879858,0.4522968197879858,0.4522968197879858,0.4522968197879858,0.4522968197879858,0.4520309192472522,0.4522968197879858
8,npp_m_well,0.4186046511627907,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.33628318584070804, 0.33628318584070804]","[12, 12]",0.4178955313953528,0.417496728476402,0.41806451612903217,0.41764634025084874,0.41806451612903217,0.41839957343833317,0.4186046511627907,0.4180394834158275,0.41806451612903217
9,npp_p_coll,0.4974358974358974,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4269005847953216, 0.4269005847953216]","[13, 13]",0.4953850448825323,0.4949748743718592,0.4949748743718593,0.49579521539320526,0.4974358974358974,0.49579521539320526,0.4974358974358974,0.4949748743718592,0.4949748743718593
10,npp_p_smal,0.5977443609022556,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4892601431980907, 0.4892601431980907]","[10, 10]",0.5965795328217155,0.5977443609022556,0.5977443609022556,0.5977443609022556,0.5977443609022556,0.595908373186953,0.5977443609022556,0.5949210362953977,0.5959780621572213
11,npp_p_tobo,0.46351931330472107,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4028662420382166, 0.4028662420382166]","[11, 11]",0.4496105110462902,0.4611710091925358,0.4621968616262483,0.4416561949026782,0.4596100278551533,0.4331966279334701,0.4342105263157895,0.462418212156477,0.46351931330472107
12,npp_t_east,0.4173441734417344,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3704245973645681, 0.3704245973645681]","[17, 17]",0.4074096602259319,0.41222763260469514,0.41453566621803495,0.3967451639856041,0.4004975124378109,0.4086928967020909,0.4173441734417344,0.4119729476113371,0.4126984126984127
13,npp_t_tayl,0.4670967741935485,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3944281524926686, 0.3944281524926686]","[16, 16]",0.454304630355355,0.46293487088223007,0.4637305699481866,0.4461281654195553,0.4567901234567902,0.4427902965237149,0.4428739693757362,0.46536518859591997,0.4670967741935485
14,npp_t_west,0.4076607387140903,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3660322108345535, 0.3660322108345535]","[17, 17]",0.40737932731076315,0.4076607387140903,0.4076607387140903,0.4076607387140903,0.4076607387140903,0.40653509310078134,0.4076607387140903,0.4076607387140903,0.4076607387140903
