,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.24137931034482754,1,2,['8'],[0.2649164677804296],[5],0.2157792337290305,0.16091954022988503,0.24137931034482754,0.2352941176470588,0.2352941176470588,0.22958076182619638,0.2352941176470588,0.23732251521298173,0.24137931034482754
1,npp_c_grav,0.3218390804597701,1,1,['3'],[0.29594272076372313],[4],0.3215995166782341,0.3218390804597701,0.3218390804597701,0.32180114563180456,0.3218390804597701,0.32095669498955726,0.3218390804597701,0.32180114563180456,0.3218390804597701
2,npp_c_sand,0.3341523341523341,1,1,['4'],[0.3532219570405728],[9],0.3341523341523342,0.3341523341523341,0.3341523341523341,0.3341523341523341,0.3341523341523341,0.3341523341523341,0.3341523341523341,0.3341523341523341,0.3341523341523341
3,npp_g_basn,0.4713375796178344,1,2,['0'],[0.40572792362768495],[8],0.46971922574208674,0.47116949752300075,0.4713375796178344,0.47050517394355346,0.4713375796178344,0.466032733978792,0.4708333333333333,0.47116949752300075,0.4713375796178344
4,npp_g_ibpe,0.532520325203252,1,3,['2'],[0.4510739856801909],[9],0.5312285367027997,0.5303726744746107,0.532520325203252,0.5319929247196663,0.532520325203252,0.5319929247196663,0.532520325203252,0.5305556228972553,0.5309381237524949
5,npp_g_summ,0.05,2,2,['9'],[0.909307875894988],[36],0.004166666666666667,0.0,0.0,0.016666666666666666,0.05,0.0,0.0,0.0,0.0
6,npp_m_nort,0.4863731656184487,1,1,['0'],[0.4152744630071599],[9],0.4860098190302189,0.4856962370650479,0.4863731656184487,0.4858555270854363,0.4863731656184487,0.48611434635194245,0.4863731656184487,0.4863731656184487,0.4863731656184487
7,npp_m_rabb,0.5174537987679672,1,1,['2'],[0.4391408114558473],[9],0.5167698778979775,0.5174537987679672,0.5174537987679672,0.5160428817979114,0.5174537987679672,0.5165706210946986,0.5174537987679672,0.5170122099313329,0.5174537987679672
8,npp_m_well,0.508695652173913,1,1,['3'],[0.4606205250596659],[13],0.5086956521739129,0.508695652173913,0.508695652173913,0.508695652173913,0.508695652173913,0.508695652173913,0.508695652173913,0.508695652173913,0.508695652173913
9,npp_p_coll,0.5764705882352941,1,2,['0'],[0.4844868735083532],[9],0.5737331862798364,0.5738460954981606,0.5764705882352941,0.5692570989032607,0.5764705882352941,0.5753589624826309,0.5764705882352941,0.5764705882352941,0.5764705882352941
10,npp_p_smal,0.615678776290631,1,1,['0'],[0.5202863961813843],[8],0.6155558328409478,0.615678776290631,0.615678776290631,0.615678776290631,0.615678776290631,0.615678776290631,0.615678776290631,0.6151870024918985,0.615678776290631
11,npp_p_tobo,0.5847953216374269,1,1,['0'],[0.4916467780429594],[9],0.5837180396841535,0.5842536325593283,0.5847953216374269,0.5829116022699296,0.5847953216374269,0.5842536325593283,0.5847953216374269,0.5834532913480281,0.5847953216374269
12,npp_t_east,0.4937759336099585,1,2,['1'],[0.4176610978520287],[9],0.4931366542953474,0.49221161221741044,0.4937759336099585,0.4937759336099585,0.4937759336099585,0.4937759336099585,0.4937759336099585,0.4927831377440623,0.4937759336099585
13,npp_t_tayl,0.5555555555555556,1,2,['0'],[0.4653937947494034],[10],0.554804843826838,0.5543234036384722,0.5555555555555556,0.5549653238896267,0.5555555555555556,0.5543750922236977,0.5555555555555556,0.5555555555555556,0.5555555555555556
14,npp_t_west,0.4831932773109243,1,1,['0'],[0.4128878281622912],[9],0.4828450372514101,0.4829535938086575,0.4831932773109243,0.4829535938086574,0.4831932773109243,0.4829535938086574,0.4831932773109243,0.4825193675796678,0.4831932773109243
