,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.0,1,1,"['ensemble_avg', 'ensemble_uniq_avg', 'ensemble_or', 'ensemble_uniq_or']","[0.9006024096385542, 0.9006024096385542, 0.9006024096385542, 0.9006024096385542]","[66, 66, 66, 66]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,npp_c_grav,0.24085365853658536,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.2611275964391692, 0.2611275964391692]","[9, 9]",0.12039627959064976,0.0,0.0,0.24085365853658536,0.24085365853658536,0.0,0.0,0.24073145982601377,0.24085365853658536
2,npp_c_sand,0.249609984399376,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.2723146747352496, 0.2723146747352496]","[11, 11]",0.124804992199688,0.0,0.0,0.249609984399376,0.249609984399376,0.0,0.0,0.249609984399376,0.249609984399376
3,npp_g_basn,0.4027586206896552,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3669590643274854, 0.3669590643274854]","[15, 15]",0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552
4,npp_g_ibpe,0.4389574759945131,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4002932551319648, 0.4002932551319648]","[24, 24]",0.43890736669360053,0.43875703879086264,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131
5,npp_g_summ,0.0,1,1,"['ensemble_avg', 'ensemble_uniq_avg', 'ensemble_or', 'ensemble_uniq_or']","[0.9342105263157896, 0.9342105263157896, 0.932748538011696, 0.932748538011696]","[45, 45, 45, 45]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,npp_m_nort,0.4153005464480874,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3751824817518248, 0.3751824817518248]","[16, 16]",0.4118339107033285,0.41252723785228024,0.4153005464480874,0.4111405835543767,0.4111405835543767,0.4111405835543767,0.4111405835543767,0.41252723785228024,0.4153005464480874
7,npp_m_rabb,0.4522968197879858,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4172932330827068, 0.4172932330827068]","[7, 7]",0.45229681978798575,0.4522968197879858,0.4522968197879858,0.4522968197879858,0.4522968197879858,0.4522968197879858,0.4522968197879858,0.4522968197879858,0.4522968197879858
8,npp_m_well,0.4186046511627907,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.33628318584070804, 0.33628318584070804]","[12, 12]",0.4184058316166343,0.4186046511627907,0.4186046511627907,0.41839957343833317,0.4186046511627907,0.41839957343833317,0.4186046511627907,0.41821952842708027,0.4186046511627907
9,npp_p_coll,0.4974358974358974,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4269005847953216, 0.4269005847953216]","[13, 13]",0.4951799596271958,0.49579521539320526,0.4974358974358974,0.4949748743718592,0.4949748743718593,0.4949748743718592,0.4949748743718593,0.4949748743718592,0.4949748743718593
10,npp_p_smal,0.5977443609022556,1,1,"['ensemble_uniq_avg', 'ensemble_or', 'ensemble_uniq_or']","[0.4892601431980907, 0.4892601431980907, 0.4892601431980907]","[10, 10, 10]",0.5977443609022555,0.5977443609022556,0.5977443609022556,0.5977443609022556,0.5977443609022556,0.5977443609022556,0.5977443609022556,0.5977443609022556,0.5977443609022556
11,npp_p_tobo,0.4633093525179856,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4060509554140128, 0.4060509554140128]","[12, 12]",0.4572049716418955,0.4630874610656302,0.4633093525179856,0.44521042185959264,0.4570637119113573,0.46156476314005457,0.4633093525179856,0.45895724050230485,0.4606580829756795
12,npp_t_east,0.4173441734417344,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3704245973645681, 0.3704245973645681]","[17, 17]",0.41385985288424315,0.4142469996128533,0.4173441734417344,0.4142469996128533,0.4173441734417344,0.4142469996128533,0.4173441734417344,0.41269841269841273,0.4126984126984127
13,npp_t_tayl,0.4670967741935485,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3944281524926686, 0.3944281524926686]","[16, 16]",0.45967148981399036,0.463135908897403,0.4635416666666666,0.44709873823732615,0.4539877300613498,0.4635416666666666,0.4635416666666666,0.46490964545456576,0.4670967741935485
14,npp_t_west,0.4076607387140903,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3660322108345535, 0.3660322108345535]","[17, 17]",0.4073793273107631,0.40653509310078134,0.4076607387140903,0.4076607387140903,0.4076607387140903,0.4076607387140903,0.4076607387140903,0.4076607387140903,0.4076607387140903
