,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.0,1,1,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']","[0.9006024096385542, 0.9006024096385542, 0.9006024096385542, 0.9006024096385542, 0.9006024096385542, 0.9006024096385542, 0.9006024096385542, 0.9006024096385542, 0.9006024096385542, 0.9006024096385542]","[66, 66, 66, 66, 66, 66, 66, 66, 66, 66]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,npp_c_grav,0.24085365853658536,2,1,['0'],[0.2611275964391692],[9],0.12042682926829266,0.0,0.0,0.24085365853658536,0.24085365853658536,0.0,0.0,0.24085365853658536,0.24085365853658536
2,npp_c_sand,0.249609984399376,2,1,['0'],[0.2723146747352496],[11],0.124804992199688,0.0,0.0,0.249609984399376,0.249609984399376,0.0,0.0,0.249609984399376,0.249609984399376
3,npp_g_basn,0.4027586206896552,1,1,['0'],[0.3669590643274854],[15],0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552,0.4027586206896552
4,npp_g_ibpe,0.4389574759945131,1,1,['0'],[0.4002932551319648],[24],0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131,0.4389574759945131
5,npp_g_summ,0.0,1,1,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']","[0.932748538011696, 0.9342105263157896, 0.9342105263157896, 0.9342105263157896, 0.9342105263157896, 0.9342105263157896, 0.9342105263157896, 0.9342105263157896, 0.9342105263157896, 0.9342105263157896]","[45, 45, 45, 45, 45, 45, 45, 45, 45, 45]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,npp_m_nort,0.4153005464480874,1,2,['0'],[0.3751824817518248],[16],0.4118339107033285,0.41252723785228024,0.4153005464480874,0.4111405835543767,0.4111405835543767,0.4111405835543767,0.4111405835543767,0.41252723785228024,0.4153005464480874
7,npp_m_rabb,0.4522968197879858,1,1,['0'],[0.4172932330827068],[7],0.45229681978798575,0.4522968197879858,0.4522968197879858,0.4522968197879858,0.4522968197879858,0.4522968197879858,0.4522968197879858,0.4522968197879858,0.4522968197879858
8,npp_m_well,0.4186046511627907,1,1,['0'],[0.33628318584070804],[12],0.4184508428694475,0.4186046511627907,0.4186046511627907,0.41839957343833317,0.4186046511627907,0.41839957343833317,0.4186046511627907,0.41839957343833317,0.4186046511627907
9,npp_p_coll,0.4974358974358974,1,1,['0'],[0.4269005847953216],[13],0.4951799596271958,0.49579521539320526,0.4974358974358974,0.4949748743718592,0.4949748743718593,0.4949748743718592,0.4949748743718593,0.4949748743718592,0.4949748743718593
10,npp_p_smal,0.5977443609022556,1,1,['0'],[0.4892601431980907],[10],0.5977443609022555,0.5977443609022556,0.5977443609022556,0.5977443609022556,0.5977443609022556,0.5977443609022556,0.5977443609022556,0.5977443609022556,0.5977443609022556
11,npp_p_tobo,0.4879356568364612,2,2,['1'],[0.695859872611465],[82],0.4642195211003434,0.4633093525179856,0.4633093525179856,0.4699954226985685,0.4879356568364612,0.4617866545924099,0.4633093525179856,0.4617866545924099,0.4633093525179856
12,npp_t_east,0.4173441734417344,1,3,['0'],[0.3704245973645681],[17],0.41385985288424315,0.4142469996128533,0.4173441734417344,0.4142469996128533,0.4173441734417344,0.4142469996128533,0.4173441734417344,0.41269841269841273,0.4126984126984127
13,npp_t_tayl,0.4923076923076923,2,1,['3'],[0.7096774193548387],[101],0.4683357649687226,0.463135908897403,0.4635416666666666,0.4835295754134176,0.4923076923076923,0.4635416666666666,0.4635416666666666,0.463135908897403,0.4635416666666666
14,npp_t_west,0.4076607387140903,1,1,['0'],[0.3660322108345535],[17],0.4073793273107631,0.40653509310078134,0.4076607387140903,0.4076607387140903,0.4076607387140903,0.4076607387140903,0.4076607387140903,0.4076607387140903,0.4076607387140903
