,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.23394495412844035,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.20286396181384247, 0.20286396181384247]","[3, 3]",0.11793109829452941,0.0,0.0,0.22862857000059353,0.23394495412844035,0.011904761904761904,0.03571428571428571,0.2311910612727622,0.23394495412844035
1,npp_c_grav,0.3111111111111111,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.2601431980906921, 0.2601431980906921]","[4, 4]",0.152674385496654,0.0,0.0,0.3036799981269668,0.3111111111111111,0.0,0.0,0.30701754385964913,0.30701754385964913
2,npp_c_sand,0.3207126948775056,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.2720763723150358, 0.2720763723150358]","[5, 5]",0.15785728167024227,0.0,0.0,0.31796465060662144,0.3207126948775056,0.0,0.0,0.31346447607434763,0.318082788671024
3,npp_g_basn,0.4593495934959349,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3651551312649165, 0.3651551312649165]","[6, 6]",0.4531585954350164,0.4544338339296677,0.4574898785425101,0.45248483789838945,0.4574898785425101,0.4543198768237646,0.4593495934959349,0.45139583308824394,0.4550898203592814
4,npp_g_ibpe,0.5193798449612403,2,3,['ensemble_uniq_or'],[0.4081145584725537],[6],0.5102474761048118,0.5072826913779633,0.5124282982791587,0.5142021538027319,0.5193798449612403,0.5112141784858059,0.5134099616858238,0.5082908807527456,0.5105566218809982
5,npp_g_summ,0.052631578947368425,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9140811455847256, 0.9140811455847256]","[36, 36]",0.013045434098065677,0.017094017094017096,0.05128205128205129,0.0,0.0,0.01754385964912281,0.052631578947368425,0.01754385964912281,0.052631578947368425
6,npp_m_nort,0.468503937007874,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3556085918854415, 0.3556085918854415]","[6, 6]",0.46573959092818223,0.4678036786903614,0.468503937007874,0.46741127724549253,0.468503937007874,0.4670978627671541,0.468503937007874,0.46064554500972116,0.4612403100775194
7,npp_m_rabb,0.5058823529411764,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3985680190930788, 0.3985680190930788]","[6, 6]",0.49522002109933716,0.4938843876138402,0.4990328820116053,0.5006737830267243,0.5058823529411764,0.4945856988132264,0.4980694980694981,0.4917362149435578,0.4990328820116053
8,npp_m_well,0.508695652173913,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.4606205250596659, 0.4606205250596659]","[13, 13]",0.4834046452767597,0.48090235962667466,0.484375,0.48029317527911886,0.483430799220273,0.4805706293297587,0.485207100591716,0.49185241687148634,0.508695652173913
9,npp_p_coll,0.5612052730696799,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4439140811455847, 0.4439140811455847]","[7, 7]",0.5537100337863471,0.5572759688532392,0.5576208178438662,0.5455653576163301,0.5484460694698354,0.5554125378038335,0.5612052730696799,0.5565862708719851,0.5565862708719851
10,npp_p_smal,0.6014760147601476,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.4844868735083532, 0.4844868735083532]","[6, 6]",0.5926476831968327,0.5975828367934898,0.6014760147601476,0.5885552747194682,0.5952813067150635,0.5908912415487996,0.5977859778597786,0.5935613797255732,0.6007326007326007
11,npp_p_tobo,0.5666666666666667,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.44152744630071605, 0.44152744630071605]","[6, 6]",0.5633288848782694,0.5616486076621628,0.565619223659889,0.5621987381398315,0.5666666666666667,0.5643862375543978,0.5645756457564576,0.5650819561566854,0.565619223659889
12,npp_t_east,0.4803149606299213,1,2,['ensemble_uniq_or'],[0.369928400954654],[6],0.47755947773395996,0.47837476197828216,0.4803149606299213,0.4774951076320939,0.4774951076320939,0.47900353654919403,0.4793713163064833,0.4753645047762694,0.4784313725490196
13,npp_t_tayl,0.5514563106796116,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.4486873508353222, 0.4486873508353222]","[8, 8]",0.5346954701607727,0.5342407270226549,0.5384615384615385,0.5361510049140971,0.5399239543726235,0.5359274114608239,0.5514563106796116,0.532462737245515,0.5365853658536586
14,npp_t_west,0.4710578842315368,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3675417661097852, 0.3675417661097852]","[6, 6]",0.4623732367275284,0.46270204500226914,0.4682539682539683,0.46177846715561427,0.465483234714004,0.4603772814086262,0.4664031620553361,0.464635153343604,0.4710578842315368
