,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.2457831325301205,2,1,['8'],[0.2529832935560859],[3],0.12503823418018994,0.0,0.0,0.2443151918016895,0.2457831325301205,0.012121212121212121,0.03636363636363636,0.2437165327978581,0.2457831325301205
1,npp_c_grav,0.3218390804597701,2,3,['1'],[0.29594272076372313],[4],0.16091005652289367,0.0,0.0,0.32180114563180456,0.3218390804597701,0.0,0.0,0.3218390804597701,0.3218390804597701
2,npp_c_sand,0.3341523341523341,2,1,['1'],[0.3532219570405728],[9],0.1662989714033797,0.0,0.0,0.3341523341523341,0.3341523341523341,0.0,0.0,0.33104355146118486,0.3341523341523341
3,npp_g_basn,0.4713375796178344,1,3,['1'],[0.40572792362768495],[8],0.47054719446726184,0.4700089324589398,0.4713375796178344,0.4698408503641061,0.4708333333333333,0.47133757961783446,0.4713375796178344,0.47100141542816704,0.4713375796178344
4,npp_g_ibpe,0.532520325203252,1,1,['3'],[0.4510739856801909],[9],0.5318037497932901,0.532520325203252,0.532520325203252,0.5319929247196663,0.532520325203252,0.5309000749581964,0.532520325203252,0.5318016742920465,0.532520325203252
5,npp_g_summ,0.052631578947368425,1,3,['9'],[0.9140811455847256],[36],0.013157894736842106,0.01754385964912281,0.052631578947368425,0.0,0.0,0.01754385964912281,0.052631578947368425,0.01754385964912281,0.052631578947368425
6,npp_m_nort,0.4863731656184487,1,2,['1'],[0.4152744630071599],[9],0.48604964153531593,0.48611434635194245,0.4863731656184487,0.48611434635194245,0.4863731656184487,0.4858555270854363,0.4863731656184487,0.48611434635194245,0.4863731656184487
7,npp_m_rabb,0.5174537987679672,1,2,['1'],[0.4391408114558473],[9],0.5161189994319396,0.5141448264187881,0.5174537987679672,0.5170122099313329,0.5174537987679672,0.5158651626096709,0.5161290322580645,0.5174537987679672,0.5174537987679672
8,npp_m_well,0.508695652173913,1,1,['3'],[0.4606205250596659],[13],0.5075041283728924,0.508695652173913,0.508695652173913,0.506136544762242,0.508695652173913,0.5064886643815022,0.508695652173913,0.508695652173913,0.508695652173913
9,npp_p_coll,0.5764705882352941,1,3,['0'],[0.4844868735083532],[9],0.5756368689207966,0.5753589624826309,0.5764705882352941,0.5748031496062992,0.5748031496062992,0.5759147753589625,0.5764705882352941,0.5764705882352941,0.5764705882352941
10,npp_p_smal,0.615678776290631,1,1,['0'],[0.5202863961813843],[8],0.6153099459415816,0.615678776290631,0.615678776290631,0.615678776290631,0.615678776290631,0.6146952286931661,0.615678776290631,0.6151870024918985,0.615678776290631
11,npp_p_tobo,0.5847953216374269,1,1,['0'],[0.4916467780429594],[9],0.5843243917955524,0.5847953216374269,0.5847953216374269,0.5834532913480281,0.5847953216374269,0.5842536325593283,0.5847953216374269,0.5847953216374269,0.5847953216374269
12,npp_t_east,0.4937759336099585,1,1,['1'],[0.4176610978520287],[9],0.49292799118646174,0.492080048762965,0.4937759336099585,0.4930728446288612,0.4937759336099585,0.4927831377440623,0.4937759336099585,0.4937759336099585,0.4937759336099585
13,npp_t_tayl,0.5555555555555556,1,3,['0'],[0.4653937947494034],[10],0.5550999596598024,0.5537331719725432,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
14,npp_t_west,0.4831932773109243,1,1,['1'],[0.4128878281622912],[9],0.48278511637584337,0.4822796840774009,0.4831932773109243,0.48319327731092426,0.4831932773109243,0.4829535938086575,0.4831932773109243,0.4827139103063906,0.4831932773109243
