,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.12820512820512822,3,1,['6'],[0.8975903614457831],[61],0.046125558910896924,0.048941798941798946,0.08333333333333334,0.01975417032484636,0.02985074626865672,0.09527400703871293,0.12820512820512822,0.020532259338229487,0.031746031746031744
1,npp_c_grav,0.25421133231240434,2,2,['0'],[0.2720478325859492],[5],0.13479755507687247,0.24151472350624895,0.24431818181818185,0.2473387367870616,0.25421133231240434,0.04301075268817203,0.1290322580645161,0.007326007326007327,0.02197802197802198
2,npp_c_sand,0.2507836990595611,2,1,['0'],[0.2735562310030395],[9],0.15111502076807018,0.24577208637829276,0.24712643678160925,0.24733541787019245,0.2507836990595611,0.11135257882379535,0.24417009602194786,0.0,0.0
3,npp_g_basn,0.3979591836734695,3,2,['0'],[0.30994152046783624],[5],0.39247544361741055,0.3901607461767502,0.3911439114391144,0.3946666299607477,0.3977591036414566,0.3936366950894796,0.3979591836734695,0.3914377032426648,0.3979591836734695
4,npp_g_ibpe,0.4345738295318128,2,3,['0'],[0.3093841642228739],[3],0.4219578112939786,0.42018275893873985,0.4273907910271547,0.4263904485322927,0.4345738295318128,0.4157315234416837,0.41748942172073344,0.42552651426319804,0.4291609353507566
5,npp_g_summ,0.13815789473684212,1,3,['3'],[0.2248520710059172],[1],0.07306885139580173,0.1263359845895731,0.13815789473684212,0.1239747095010253,0.13815789473684212,0.04196471149260848,0.12589413447782544,0.0,0.0
6,npp_m_nort,0.4153005464480874,3,3,['0'],[0.3751824817518248],[16],0.41222871244467135,0.4126363919310596,0.41475826972010177,0.41446723989350803,0.41475826972010177,0.4088346461307401,0.4153005464480874,0.41297657182337794,0.4153005464480874
7,npp_m_rabb,0.5564304461942258,2,3,['2'],[0.6817325800376648],[29],0.45603302670718276,0.42759447004392964,0.4596050269299821,0.530765421809242,0.5564304461942258,0.41972029321300425,0.4272151898734178,0.4460519217625549,0.5199063231850117
8,npp_m_well,0.5822784810126583,1,2,['1'],[0.7566371681415929],[59],0.46171330203189714,0.4650021876332063,0.5822784810126583,0.5456546704142905,0.5567010309278351,0.417737699205539,0.4204993429697767,0.418458650874553,0.41939711664482304
9,npp_p_coll,0.4974358974358974,1,2,['0'],[0.4269005847953216],[13],0.4818669975913474,0.48644239139624884,0.4974358974358974,0.4833981347645672,0.4844868735083532,0.4765901528612919,0.4844868735083532,0.48103731134328154,0.4844868735083532
10,npp_p_smal,0.5977443609022556,3,2,['0'],[0.4892601431980907],[10],0.5851415623488582,0.5842945021145715,0.5847750865051904,0.5851063829787234,0.5851063829787234,0.586417757703548,0.5977443609022556,0.5847476065985894,0.5873873873873873
11,npp_p_tobo,0.7258883248730964,4,2,"['2', '3']","[0.8280254777070064, 0.8280254777070064]","[30, 30]",0.5999341582011674,0.5587439171679507,0.6258064516129032,0.6524279930943143,0.6893203883495145,0.49342142929437866,0.5566343042071197,0.6951432932480254,0.7258883248730964
12,npp_t_east,0.4961240310077519,1,1,['1'],[0.7144948755490483],[75],0.4397944998449568,0.4541106136043742,0.4961240310077519,0.45790369336749154,0.4922600619195046,0.41258262639361676,0.41457286432160795,0.4345810660143445,0.4843492586490939
13,npp_t_tayl,0.6371308016877636,2,1,['2'],[0.7451851851851852],[39],0.5520115661723982,0.5362893891195778,0.5567567567567567,0.625748881180411,0.6371308016877636,0.4641933424346774,0.4682539682539682,0.5818146519549267,0.594704684317719
14,npp_t_west,0.5606469002695417,2,2,['1'],[0.7592319054652881],[56],0.41421942197402734,0.4016892031783635,0.404494382022472,0.4540827163780355,0.5606469002695417,0.3998603439743911,0.4005602240896358,0.40124542436531946,0.40304182509505704
