,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.0,1,1,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']","[0.8679706601466992, 0.8692493946731235, 0.8686131386861314, 0.8698795180722891, 0.8658536585365854, 0.8705035971223022, 0.8708133971291866, 0.8676470588235294, 0.8686131386861314, 0.8682926829268293]","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,npp_c_grav,0.3217821782178218,2,1,['0'],[0.34292565947242204],[9],0.1317874796389022,0.3080079584305775,0.31308411214953275,0.21025307123614242,0.3217821782178218,0.0,0.0,0.008888888888888887,0.02666666666666666
2,npp_c_sand,0.33796296296296297,1,1,['0'],[0.3024390243902439],[4],0.13764723117776465,0.324147305825853,0.33796296296296297,0.21789461033819701,0.32779097387173395,0.0,0.0,0.00854700854700855,0.025641025641025647
3,npp_g_basn,0.4708333333333333,1,1,['1'],[0.3923444976076555],[6],0.3844265373680085,0.46091164924087646,0.4708333333333333,0.45772388617552534,0.4663865546218487,0.30492769049848284,0.4499054820415879,0.3141429235571495,0.4686192468619247
4,npp_g_ibpe,0.539553752535497,3,3,['0'],[0.44634146341463415],[6],0.5149469402898058,0.5148390573090925,0.5233265720081136,0.5169594058865212,0.5201612903225806,0.514694793985876,0.539553752535497,0.5132945039777338,0.5183673469387755
5,npp_g_summ,0.18701298701298705,1,3,['7'],[0.2384428223844282],[1],0.023816122901488757,0.07859782493928837,0.18701298701298705,0.0,0.0,0.016666666666666666,0.05,0.0,0.0
6,npp_m_nort,0.4989339019189765,2,3,['0'],[0.4226044226044226],[8],0.4340631380063545,0.4626819454294908,0.4646840148698885,0.480777828941053,0.4989339019189765,0.3218933218933218,0.4826254826254826,0.4708994557615524,0.4784313725490196
7,npp_m_rabb,0.5260960334029228,1,2,['0'],[0.4422604422604423],[9],0.46611913339717675,0.5097796967188054,0.5260960334029228,0.4973220974556181,0.5020080321285141,0.49272062113661635,0.4989939637826962,0.364654118277667,0.5201612903225806
8,npp_m_well,0.4857142857142857,2,3,['0'],[0.3927710843373494],[11],0.48064367117151696,0.4767783025619006,0.4779411764705882,0.48361589149766493,0.4857142857142857,0.4804781774537617,0.48373983739837395,0.4817023131727404,0.483271375464684
9,npp_p_coll,0.5753968253968255,4,1,['0'],[0.4818401937046005],[9],0.5549079675748995,0.5489626904731956,0.5586592178770949,0.5556043702632629,0.56640625,0.5512315255720364,0.5630712979890311,0.5638332839911033,0.5753968253968255
10,npp_p_smal,0.5945945945945945,2,3,['1'],[0.4552058111380145],[1],0.5826957438412612,0.5788534926165588,0.5833333333333333,0.5871735096932479,0.5945945945945945,0.5902281830553773,0.5921985815602837,0.5745277899998612,0.5748299319727891
11,npp_p_tobo,0.5793650793650794,3,2,['0'],[0.4841849148418492],[12],0.5598557747182878,0.555519377757232,0.5626204238921002,0.5673546402446659,0.5760869565217391,0.561302219041841,0.5793650793650794,0.5552468618294127,0.5573192239858907
12,npp_t_east,0.4947589098532494,4,3,['0'],[0.4150485436893204],[10],0.40456011977815387,0.4809198056770112,0.4843750000000001,0.48189175378890625,0.4904214559386973,0.1632304188220414,0.474187380497132,0.49219850082465655,0.4947589098532494
13,npp_t_tayl,0.5511811023622047,1,1,['0'],[0.4492753623188406],[9],0.5378205937639737,0.5469001169475293,0.5511811023622047,0.5380375531715664,0.5430711610486892,0.5362307094032635,0.547244094488189,0.530113995533536,0.5338078291814946
14,npp_t_west,0.4968421052631578,3,3,['0'],[0.4127764127764128],[6],0.4697768987448328,0.4630135019389341,0.4679245283018868,0.46273849607182943,0.4696969696969697,0.47718113591480704,0.4968421052631578,0.47617446105376066,0.4957264957264957
