,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.0,1,1,[0],[0.8987915407854985],[66],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,npp_c_grav,0.25421133231240434,2,2,[0],[0.2720478325859492],[5],0.24455135354461163,0.2427866042425486,0.2503863987635239,0.24874259384888806,0.25421133231240434,0.24593628229494824,0.2488479262672811,0.24073993379206163,0.2442748091603053
2,npp_c_sand,0.2515923566878981,3,2,[0],[0.2791411042944785],[6],0.2075707314592767,0.24925791790865479,0.2507936507936508,0.16522711669213566,0.2485549132947977,0.25052909514560684,0.2515923566878981,0.1652687960907095,0.249609984399376
3,npp_g_basn,0.4027586206896552,2,2,[0],[0.3669590643274854],[15],0.3953781610381579,0.39634625348911073,0.3979591836734695,0.39529508949265235,0.4027586206896552,0.3936366950894796,0.3979591836734695,0.3962346060813889,0.4011142061281338
4,npp_g_ibpe,0.4352201257861635,1,1,[0],[0.3416422287390029],[11],0.4211862402784972,0.4261644524696366,0.4352201257861635,0.42038133379712644,0.4227848101265823,0.41504192641605836,0.4204413472706156,0.42315724843116714,0.4307304785894207
5,npp_g_summ,0.0,1,1,[0],[0.9346210995542348],[43],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,npp_m_nort,0.4153005464480874,4,2,[0],[0.3751824817518248],[16],0.3781568476125683,0.4120202593794029,0.4149377593360996,0.2737076729340364,0.41475826972010177,0.41475826972010177,0.41475826972010177,0.41214118841673225,0.4153005464480874
7,npp_m_rabb,0.4615384615384616,1,1,[0],[0.4244741873804971],[6],0.3986644674417324,0.2956986352646787,0.4615384615384616,0.42124151918360325,0.4411764705882353,0.4373390223990336,0.4596050269299821,0.44037869291961423,0.4596050269299821
8,npp_m_well,0.417989417989418,4,2,[0],[0.35103244837758113],[16],0.4129504452026698,0.412611129130178,0.41635687732342014,0.41339015967145015,0.41635687732342014,0.4088994344636318,0.4139784946236559,0.41690105754541945,0.417989417989418
9,npp_p_coll,0.4878671775223499,3,2,[0],[0.4068047337278107],[9],0.4824220929749108,0.4810373113432815,0.4844868735083532,0.47974842940087575,0.4876140808344198,0.486656043955041,0.4878671775223499,0.48224658720044467,0.4848484848484849
10,npp_p_smal,0.5977443609022556,1,1,[0],[0.4892601431980907],[10],0.5855161821743835,0.5928989139515454,0.5977443609022556,0.5851063829787234,0.5851063829787234,0.5790557185138949,0.5797598627787307,0.5850037132533704,0.5904761904761904
11,npp_p_tobo,0.4610951008645533,2,3,[0],[0.4035087719298245],[12],0.449475485663037,0.4503560060950602,0.4536082474226804,0.45394159820207697,0.4610951008645533,0.4488742612341881,0.4527296937416778,0.44473007712082263,0.4447300771208226
12,npp_t_east,0.4173441734417344,3,2,[0],[0.3704245973645681],[17],0.40984473558061046,0.4081537319222752,0.41457286432160795,0.4096969696969697,0.4096969696969697,0.41329884004911893,0.4173441734417344,0.40822940065407787,0.4173441734417344
13,npp_t_tayl,0.4628501827040194,1,3,[0],[0.3533724340175953],[7],0.45654868708708096,0.45984032775188166,0.4628501827040194,0.4589257278434496,0.4601063829787234,0.4530551592242478,0.4580873671782763,0.4543735335287448,0.4628501827040194
14,npp_t_west,0.40304182509505704,1,2,[0],[0.3103953147877013],[7],0.4010355500121326,0.4010464496482484,0.40304182509505704,0.40064964297339795,0.40304182509505704,0.4015718217541404,0.40304182509505704,0.4008742856727434,0.40304182509505704
