,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.25365853658536586,4,1,[0],[0.2554744525547445],[2],0.08238198176188194,0.07871485943775101,0.23614457831325306,0.08415841584158416,0.2524752475247525,0.0,0.0,0.16665465176819258,0.25365853658536586
1,npp_c_grav,0.3517587939698493,3,3,[0],[0.3722627737226277],[4],0.20995728533957794,0.20587028704024204,0.31308411214953275,0.10109289617486339,0.30327868852459017,0.32731040258765093,0.3517587939698493,0.20555555555555552,0.3083333333333333
2,npp_c_sand,0.3418013856812933,1,2,[0],[0.30656934306569344],[3],0.2739402013362961,0.2202139884638127,0.3418013856812933,0.3247451377290567,0.3403263403263403,0.3355335170550197,0.34123222748815163,0.2152681620972953,0.326963906581741
3,npp_g_basn,0.4786324786324786,3,1,[0],[0.4077669902912621],[7],0.46132558772495447,0.45720025699479155,0.4628450106157112,0.4598262292193593,0.4753747323340472,0.4679719282766596,0.4786324786324786,0.46030393640900774,0.4753747323340472
4,npp_g_ibpe,0.5363825363825364,1,3,[0],[0.4520884520884521],[10],0.513568030097371,0.5173734296191417,0.5363825363825364,0.5039995558469218,0.508411214953271,0.5163861344035898,0.5233265720081136,0.5165130005198303,0.5346938775510204
5,npp_g_summ,0.0,1,1,[0],[0.9106280193236715],[37],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,npp_m_nort,0.4814814814814815,1,1,[0],[0.3956834532374101],[8],0.46744314082997235,0.47173443810399435,0.4814814814814815,0.4644677427120096,0.4725897920604914,0.4651058444271692,0.4688090737240075,0.46846453807671584,0.4708520179372197
7,npp_m_rabb,0.5254582484725051,1,2,[0],[0.4344660194174757],[6],0.5047093128562415,0.5054457709144282,0.5254582484725051,0.501775526503709,0.5182186234817814,0.513735847256178,0.5245901639344263,0.49788010675065114,0.5112474437627813
8,npp_m_well,0.5072765072765073,1,2,[0],[0.4176904176904177],[8],0.4876208667598589,0.496815918211267,0.5072765072765073,0.4811771207946071,0.4884615384615384,0.47946367121709327,0.4859813084112149,0.4930267568164679,0.4959016393442622
9,npp_p_coll,0.5725646123260437,4,1,[0],[0.4806763285024155],[10],0.5558697444993831,0.5519007974200463,0.5708737864077671,0.5478349575451023,0.552212389380531,0.5604385806373878,0.5685884691848906,0.5633046423949958,0.5725646123260437
10,npp_p_smal,0.5945945945945946,3,2,[0],[0.4939759036144578],[12],0.5797062605382851,0.5708956080110065,0.5851063829787234,0.581324133197073,0.5851063829787234,0.5839922051093334,0.5945945945945946,0.5826130958357277,0.592734225621415
11,npp_p_tobo,0.5753424657534247,3,1,[0],[0.4681372549019608],[11],0.5575000058437904,0.5573046050681039,0.5667870036101084,0.5533123636233811,0.5667870036101084,0.5638631284854921,0.5753424657534247,0.5555199261981847,0.5622775800711743
12,npp_t_east,0.4907975460122699,4,3,[0],[0.4028776978417266],[8],0.479664469002492,0.48135329735021654,0.487603305785124,0.4774347456646942,0.4843423799582464,0.47808821316089595,0.4884615384615385,0.4817816198341611,0.4907975460122699
13,npp_t_tayl,0.5593561368209254,2,2,[0],[0.4671532846715328],[10],0.5376512458081831,0.5330457216653635,0.5412667946257197,0.55054994723392,0.5593561368209254,0.5241760852341489,0.5272407732864675,0.5428332290992995,0.5477941176470589
14,npp_t_west,0.4968421052631578,1,2,[0],[0.4127764127764128],[6],0.46897622550946844,0.4703761987314552,0.4968421052631578,0.4620349296120039,0.4650205761316872,0.47623661564778286,0.4865979381443298,0.46725715804663176,0.4696969696969697
