,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.08333333333333334,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9006024096385542, 0.9006024096385542]","[63, 63]",0.04069803673145659,0.06587301587301587,0.08333333333333334,0.04803312629399586,0.05797101449275361,0.03893575600259571,0.05797101449275361,0.009950248756218907,0.02985074626865672
1,npp_c_grav,0.25806451612903225,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.28125, 0.28125]","[4, 4]",0.12547080985213005,0.2420892435885754,0.24431818181818185,0.0,0.0,0.2523033591158249,0.25806451612903225,0.00749063670411985,0.02247191011235955
2,npp_c_sand,0.2507836990595612,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.27575757575757576, 0.27575757575757576]","[11, 11]",0.12448429058581027,0.24873035134436697,0.2507836990595612,0.0,0.0,0.24920681099887407,0.2507836990595612,0.0,0.0
3,npp_g_basn,0.4027586206896552,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3669590643274854, 0.3669590643274854]","[15, 15]",0.3976931132129473,0.3995589960121981,0.4027586206896552,0.39529508949265235,0.4027586206896552,0.3979591836734695,0.3979591836734695,0.3979591836734695,0.3979591836734695
4,npp_g_ibpe,0.4389574759945131,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.4002932551319648, 0.4002932551319648]","[24, 24]",0.4308732050804153,0.4302938662809808,0.4352201257861635,0.4231895666379208,0.4389574759945131,0.4352201257861635,0.4352201257861635,0.4347892616165964,0.4352201257861635
5,npp_g_summ,0.1416803953871499,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.23830409356725146, 0.23830409356725146]","[2, 2]",0.06506436206146483,0.13510857186139807,0.1416803953871499,0.0,0.0,0.12514887638446123,0.1416803953871499,0.0,0.0
6,npp_m_nort,0.4153005464480874,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3751824817518248, 0.3751824817518248]","[16, 16]",0.4141146325931022,0.41475826972010177,0.41475826972010177,0.4151116876275107,0.4153005464480874,0.4140998318329307,0.41475826972010177,0.41248874119186557,0.4153005464480874
7,npp_m_rabb,0.4976303317535545,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.6007532956685501, 0.6007532956685501]","[30, 30]",0.4389401719954911,0.43799821375618303,0.4976303317535545,0.4386538500792654,0.4582593250444049,0.4262601838734243,0.44333333333333336,0.4528484402730921,0.4615384615384616
8,npp_m_well,0.43096774193548376,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3495575221238938, 0.3495575221238938]","[7, 7]",0.41828299760171256,0.4196352272940623,0.4254215304798963,0.4127031095517559,0.417989417989418,0.42449758397346105,0.43096774193548376,0.4162960695875711,0.417989417989418
9,npp_p_coll,0.4886649874055416,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.4055636896046852, 0.4055636896046852]","[13, 13]",0.48275441604063957,0.48212605008706744,0.4844868735083532,0.48351875471946365,0.4886649874055416,0.4844868735083532,0.4844868735083532,0.4808859858476741,0.4844868735083532
10,npp_p_smal,0.5923076923076923,1,1,"['ensemble_uniq_avg', 'ensemble_uniq_or']","[0.4816625916870416, 0.4816625916870416]","[12, 12]",0.5829194688942515,0.587506819421713,0.5923076923076923,0.5742111424951023,0.5793103448275861,0.5848535306814678,0.5851063829787234,0.5851063829787234,0.5851063829787234
11,npp_p_tobo,0.4544253632760898,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.34235668789808915, 0.34235668789808915]","[1, 1]",0.4478445282310664,0.44570482329555555,0.4514435695538058,0.44532563825963595,0.4544253632760898,0.4486102366479334,0.4534731323722149,0.451737414721141,0.4544253632760898
12,npp_t_east,0.41457286432160795,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3177159590043924, 0.3177159590043924]","[6, 6]",0.4099443939384015,0.4108617634673435,0.4137931034482759,0.40928741997688706,0.41457286432160795,0.4063783561455498,0.4093711467324291,0.41325003616382566,0.41457286432160795
13,npp_t_tayl,0.4778761061946902,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3944281524926686, 0.3944281524926686]","[8, 8]",0.46597389090346825,0.4655466836207498,0.4778761061946902,0.4655633326235564,0.468599033816425,0.4663814178066668,0.4701492537313433,0.4664041295629,0.475095785440613
14,npp_t_west,0.40304182509505704,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3103953147877013, 0.3103953147877013]","[7, 7]",0.3984053132944243,0.399349190607935,0.4,0.39934720522235817,0.4,0.39456371042669325,0.3966142684401451,0.4003611469207106,0.40304182509505704
