,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.08333333333333334,1,3,['8'],[0.9006024096385542],[63],0.03224071344955893,0.04877645502645503,0.08333333333333334,0.03943355119825708,0.05714285714285715,0.0308025988173047,0.031746031746031744,0.009950248756218907,0.02985074626865672
1,npp_c_grav,0.2584615384615385,3,3,['0'],[0.2773613193403298],[3],0.12566449807222269,0.2420892435885754,0.24431818181818185,0.0,0.0,0.25307811199619545,0.2584615384615385,0.00749063670411985,0.02247191011235955
2,npp_c_sand,0.2523659305993691,1,1,['0'],[0.2774390243902439],[7],0.12520792105928188,0.24978517237090558,0.2523659305993691,0.0,0.0,0.251046511866222,0.2523659305993691,0.0,0.0
3,npp_g_basn,0.4027586206896552,1,2,['0'],[0.3669590643274854],[15],0.3976931132129473,0.3995589960121981,0.4027586206896552,0.39529508949265235,0.4027586206896552,0.3979591836734695,0.3979591836734695,0.3979591836734695,0.3979591836734695
4,npp_g_ibpe,0.4389574759945131,2,3,['0'],[0.4002932551319648],[24],0.43138160662097724,0.4302938662809808,0.4352201257861635,0.4252231728001686,0.4389574759945131,0.4352201257861635,0.4352201257861635,0.4347892616165964,0.4352201257861635
5,npp_g_summ,0.14214876033057852,1,1,['5'],[0.2288261515601783],[0],0.06518029521773719,0.13541618283867798,0.14214876033057852,0.0,0.0,0.12530499803227077,0.14214876033057852,0.0,0.0
6,npp_m_nort,0.4153005464480874,2,1,['0'],[0.3751824817518248],[16],0.4142536993133907,0.41475826972010177,0.41475826972010177,0.4153005464480874,0.4153005464480874,0.41446723989350803,0.41475826972010177,0.41248874119186557,0.4153005464480874
7,npp_m_rabb,0.5242165242165242,1,2,['1'],[0.6860902255639098],[43],0.4707090350598424,0.5010434261433239,0.5242165242165242,0.4386538500792654,0.4582593250444049,0.4902904237436882,0.5177111716621253,0.4528484402730921,0.4615384615384616
8,npp_m_well,0.5546666666666666,3,3,['2'],[0.7536873156342183],[70],0.45456468950080997,0.4543033119795586,0.4906832298136645,0.41306103611399564,0.417989417989418,0.5342484361036639,0.5546666666666666,0.416645973806022,0.417989417989418
9,npp_p_coll,0.4892268694550064,2,2,['0'],[0.406480117820324],[10],0.4828012395447616,0.48212605008706744,0.4844868735083532,0.48370604873595185,0.4892268694550064,0.4844868735083532,0.4844868735083532,0.4808859858476741,0.4844868735083532
10,npp_p_smal,0.5923076923076923,1,1,['0'],[0.4816625916870416],[12],0.5831640872895548,0.587506819421713,0.5923076923076923,0.5751896160763156,0.5793103448275861,0.5848535306814678,0.5851063829787234,0.5851063829787234,0.5851063829787234
11,npp_p_tobo,0.6605504587155965,2,2,['2'],[0.8232484076433121],[65],0.6017107277140838,0.5957523397667072,0.6340057636887608,0.61763953115398,0.6605504587155965,0.5885144510749812,0.6329113924050633,0.6049365888606671,0.6345733041575492
12,npp_t_east,0.5251641137855579,1,3,['1'],[0.6822840409956076],[51],0.4520177500640279,0.4891598675005187,0.5251641137855579,0.41091822750114204,0.41457286432160795,0.47088040209940624,0.5131313131313131,0.4371125031550445,0.4821917808219178
13,npp_t_tayl,0.5707434052757794,3,1,['2'],[0.7375366568914956],[78],0.521166373727248,0.5502208061196995,0.5692695214105793,0.49405806486971365,0.556473829201102,0.5513337746092718,0.5707434052757794,0.4890528493103065,0.5423728813559322
14,npp_t_west,0.4549549549549549,3,2,['1'],[0.6451612903225806],[64],0.41080753486776084,0.39934720522235817,0.4,0.39934720522235817,0.4,0.4441745821056166,0.4549549549549549,0.4003611469207106,0.40304182509505704
