,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,2_avg_f1,3_avg_f1,4_avg_f1
0,npp_c_cali,0.5610859728506788,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8539156626506024, 0.8539156626506024]","[4, 4]",0.21434724294543847,0.17945247005907597,0.30917240837358206,0.18403883489183373,0.18472525845726204
1,npp_c_grav,0.5225225225225225,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.7640949554896143, 0.7640949554896143]","[1, 1]",0.2806771323355159,0.23128312652690852,0.32862121697073154,0.32890321238490366,0.23390097345951988
2,npp_c_sand,0.2486338797814208,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.16792738275340394, 0.16792738275340394]","[0, 0]",0.2444282293110922,0.24222519109939142,0.24437935844138758,0.24762301270853349,0.2434853549950563
3,npp_g_basn,0.3833333333333333,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.2426900584795321, 0.2426900584795321]","[0, 0]",0.3813580279394571,0.3816692347562191,0.38197166992281834,0.3812155883975061,0.38057561868128525
4,npp_g_ibpe,0.4249422632794457,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.2697947214076246, 0.2697947214076246]","[0, 0]",0.4246795942657337,0.4249422632794457,0.4243353046140428,0.4249422632794457,0.4244985458900008
5,npp_g_summ,0.6526315789473685,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9517543859649122, 0.9517543859649122]","[14, 14]",0.1400931441157005,0.01388888888888889,0.12565699964196206,0.02777777777777778,0.39304891015417337
6,npp_m_nort,0.40287769784172656,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.272992700729927, 0.272992700729927]","[0, 0]",0.3964335933339376,0.39576081672338365,0.39623081277261685,0.39782234245904363,0.39592040138070644
7,npp_m_rabb,0.4122137404580153,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.27631578947368424, 0.27631578947368424]","[0, 0]",0.40822895209131377,0.4095147714144249,0.40703538134438205,0.4107570394715161,0.40560861613493193
8,npp_m_well,0.4084507042253521,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.2566371681415929, 0.2566371681415929]","[0, 0]",0.40728274829768735,0.40782730066257317,0.40673792182970153,0.40782730066257317,0.40673847003590163
9,npp_p_coll,0.4775086505190311,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.33771929824561403, 0.33771929824561403]","[0, 0]",0.4659704383252438,0.465411112469936,0.4646464646464646,0.46454226646100233,0.4692819097235721
10,npp_p_smal,0.5874125874125874,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.43675417661097854, 0.43675417661097854]","[1, 1]",0.575814765832804,0.575198516877543,0.5746729461015175,0.5795239501438961,0.5738636502082596
11,npp_p_tobo,0.4341279799247177,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.2818471337579618, 0.2818471337579618]","[0, 0]",0.43214071076983945,0.431960049937578,0.431960049937578,0.431960049937578,0.43268269326662456
12,npp_t_east,0.4018801410105758,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.2547584187408492, 0.2547584187408492]","[0, 0]",0.4002727643042943,0.4004683840749415,0.39905882525410696,0.4009389697201529,0.4006248781679758
13,npp_t_tayl,0.44874715261959,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.2903225806451613, 0.2903225806451613]","[0, 0]",0.4481970671105187,0.4482366325369738,0.4479873734634385,0.44840680589784593,0.4481574565438165
14,npp_t_west,0.3915094339622642,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.2445095168374817, 0.2445095168374817]","[0, 0]",0.3900015380120885,0.39039707536581686,0.39103061496007757,0.3899344800028959,0.38864398171956344
