,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.05714285714285715,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9006024096385542, 0.9006024096385542]","[64, 64]",0.01939881944558053,0.01960784313725491,0.029411764705882363,0.028709454796411318,0.05714285714285715,0.009803921568627454,0.029411764705882363,0.01947405828002843,0.02985074626865672
1,npp_c_grav,0.25806451612903225,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.28338278931750743, 0.28338278931750743]","[4, 4]",0.18464546486656008,0.2448111557270348,0.25421133231240434,0.0074074074074074086,0.022222222222222227,0.2465347074254323,0.25806451612903225,0.23982858890636585,0.2538699690402477
2,npp_c_sand,0.2507836990595611,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.2746585735963581, 0.2746585735963581]","[10, 10]",0.16476455116191535,0.08359456635318703,0.2507836990595611,0.08174386920980926,0.2452316076294278,0.24756420107363328,0.25,0.2461555680110318,0.249609984399376
3,npp_g_basn,0.4027586206896552,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3669590643274854, 0.3669590643274854]","[15, 15]",0.3914852600949931,0.3886927254956605,0.4027586206896552,0.391479271513419,0.3979591836734695,0.3899804011191141,0.3988919667590028,0.3957886422517787,0.4027586206896552
4,npp_g_ibpe,0.4345738295318128,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3093841642228739, 0.3093841642228739]","[3, 3]",0.38704364707876554,0.2777260640633397,0.4237074401008827,0.4230675267746112,0.4305882352941177,0.4197077429964244,0.42857142857142855,0.427673254480687,0.4345738295318128
5,npp_g_summ,0.1419141914191419,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.23976608187134504, 0.23976608187134504]","[2, 2]",0.06742830488850408,0.0,0.0,0.0,0.0,0.1379417762548437,0.1419141914191419,0.13177144329917265,0.1377049180327869
6,npp_m_nort,0.41746248294679406,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.37664233576642336, 0.37664233576642336]","[15, 15]",0.41241103897738185,0.4137688810008479,0.4153005464480874,0.41006399370360297,0.41746248294679406,0.4129682671749511,0.41746248294679406,0.4128430140301254,0.4153005464480874
7,npp_m_rabb,0.4607142857142856,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.4323308270676692, 0.4323308270676692]","[6, 6]",0.4331436645724311,0.4373141572563512,0.460431654676259,0.4396283208961261,0.4587813620071684,0.44035048328385135,0.4607142857142856,0.41528169685339583,0.421875
8,npp_m_well,0.4269081500646831,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.345642540620384, 0.345642540620384]","[8, 8]",0.41418177262396744,0.412746165753705,0.41635687732342014,0.4139103149755801,0.41635687732342014,0.4156760202435108,0.4269081500646831,0.414394589523074,0.417437252311757
9,npp_p_coll,0.4974358974358974,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.4269005847953216, 0.4269005847953216]","[13, 13]",0.4841270302814726,0.4844868735083532,0.4844868735083532,0.47752081067789914,0.4852374839537869,0.49001356343128494,0.4974358974358974,0.4844868735083532,0.4844868735083532
10,npp_p_smal,0.5973025048169557,3,2,"['ensemble_uniq_avg', 'ensemble_uniq_or']","[0.4902439024390244, 0.4902439024390244]","[11, 11]",0.5851602351832915,0.5846860626503703,0.5886792452830188,0.5843933554162717,0.5847750865051904,0.5865655718456454,0.5973025048169557,0.5849959508208791,0.5851063829787234
11,npp_p_tobo,0.4648493543758968,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.4060509554140128, 0.4060509554140128]","[11, 11]",0.4502563697419322,0.4542825189659871,0.4633093525179856,0.44570132980465393,0.4527296937416778,0.4563953153965394,0.4648493543758968,0.44464631480054856,0.4623803009575924
12,npp_t_east,0.4210526315789474,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3718887262079063, 0.3718887262079063]","[15, 15]",0.41070003662464066,0.4147420973366344,0.4168937329700272,0.40953163597231396,0.4096969696969697,0.4137382613697465,0.4210526315789474,0.4047881518198677,0.4086021505376344
13,npp_t_tayl,0.4714459295261239,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3621700879765396, 0.3621700879765396]","[3, 3]",0.45826192982389585,0.4596726884022709,0.462324393358876,0.45657175805167355,0.4580873671782763,0.46445026765628733,0.4714459295261239,0.45235300518535154,0.4540162980209546
14,npp_t_west,0.4076607387140903,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3660322108345535, 0.3660322108345535]","[17, 17]",0.39922522640520697,0.40110823178455224,0.4076607387140903,0.3953835554388249,0.4,0.40547345950902725,0.4076607387140903,0.39493565888842386,0.4
