,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.6956521739130435,3,2,['0'],[0.9262048192771084],[10],0.2716405986336142,0.009950248756218907,0.02985074626865672,0.019607843137254905,0.05882352941176471,0.4835444589735207,0.6956521739130435,0.5734598436674623,0.64
1,npp_c_grav,0.7106598984771573,1,2,['0'],[0.9154302670623146],[18],0.4027899844280863,0.2520401047788811,0.7106598984771573,0.09210950080515297,0.2318840579710145,0.6050682198938012,0.6339285714285714,0.6619421122345098,0.7027027027027026
2,npp_c_sand,0.7441860465116279,3,3,['0'],[0.9167927382753404],[11],0.4104618369833896,0.2629731573295302,0.6827309236947791,0.01457238413760153,0.02197802197802198,0.6542354416342576,0.7441860465116279,0.7100663648321689,0.7441860465116279
3,npp_g_basn,0.7659574468085105,4,2,['4'],[0.8703976435935199],[13],0.5818858680146607,0.38452114921777986,0.3911980440097799,0.5036033330656497,0.748768472906404,0.6975577847642761,0.7104072398190046,0.7418612050109367,0.7659574468085105
4,npp_g_ibpe,0.7927927927927929,1,3,['0'],[0.8651026392961877],[8],0.6729701444911423,0.532987966929061,0.7927927927927929,0.6723268592261267,0.7787610619469028,0.7474375169554515,0.7635574837310196,0.7391282348539302,0.7447698744769874
5,npp_g_summ,0.5430463576158941,4,1,['0'],[0.8991228070175439],[4],0.09116746342328287,0.014492753623188406,0.043478260869565216,0.02930756843800322,0.04444444444444444,0.08320446272502206,0.1210287443267776,0.23766506890691783,0.5430463576158941
6,npp_m_nort,0.8181818181818182,3,3,['0'],[0.9065693430656936],[24],0.4818935923367176,0.13761037196851653,0.4004854368932039,0.27308044715018703,0.3981042654028436,0.7532643353520129,0.8181818181818182,0.7636192148761541,0.7730673316708229
7,npp_m_rabb,0.8041237113402062,3,2,['2'],[0.8928571428571429],[18],0.6190440074695531,0.405035425618836,0.7633136094674556,0.518341204912639,0.7349397590361445,0.7789469926543507,0.8041237113402062,0.7738524066923865,0.7889908256880733
8,npp_m_well,0.8009592326139089,4,3,['2'],[0.8775811209439528],[7],0.5864126683811425,0.1706627097110908,0.4009546539379475,0.6238186585199936,0.7685393258426967,0.7637536922675361,0.7880299251870325,0.7874156130259496,0.8009592326139089
9,npp_p_coll,0.8109243697478992,3,1,['1'],[0.8684210526315791],[14],0.6812795169577486,0.4675696427234716,0.4685714285714285,0.6734663488309526,0.7906976744186047,0.777728982365074,0.8109243697478992,0.8063530939114956,0.8089430894308943
10,npp_p_smal,0.845303867403315,2,3,['0'],[0.8663484486873508],[16],0.7930879241561759,0.6678173342177921,0.8423772609819122,0.827261185006882,0.845303867403315,0.8338876428856717,0.844559585492228,0.8433855345143573,0.844559585492228
11,npp_p_tobo,0.8238482384823848,3,3,['1'],[0.8964968152866242],[21],0.671836793288845,0.43522672008045044,0.4377457404980341,0.6969399689852627,0.8098765432098766,0.7847888460319777,0.8238482384823848,0.7703916380576888,0.8029925187032418
12,npp_t_east,0.8074866310160427,3,3,['1'],[0.8945827232796486],[20],0.5892283412149052,0.2685609463911351,0.4033018867924528,0.6110754301886955,0.743362831858407,0.7399063489727279,0.8074866310160427,0.7373706393070623,0.7636363636363637
13,npp_t_tayl,0.8191721132897604,3,3,['4'],[0.8782991202346041],[9],0.6165500383084631,0.31221961748277544,0.4538011695906433,0.6036009255811844,0.7677165354330707,0.7917994782853888,0.8191721132897604,0.7585801318845039,0.7775551102204408
14,npp_t_west,0.7607655502392344,4,1,['5'],[0.8535871156661786],[7],0.5840437246887522,0.37453457681550645,0.7191011235955057,0.4960738798742291,0.7038626609442059,0.723033474688393,0.7580645161290323,0.7425329673768798,0.7607655502392344
