,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.7818181818181819,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9427207637231504, 0.9427207637231504]","[11, 11]",0.22433560570770658,0.07291666666666667,0.21875,0.06977213147812059,0.10526315789473684,0.4223592466978167,0.7818181818181819,0.3322943779882225,0.5520833333333334
1,npp_c_grav,0.6484018264840182,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8162291169451074, 0.8162291169451074]","[3, 3]",0.24944445432565931,0.03508771929824562,0.052631578947368425,0.1854256854256854,0.3181818181818182,0.4727273062594084,0.6484018264840182,0.30453710631929803,0.3070539419087137
2,npp_c_sand,0.6097560975609756,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.7708830548926014, 0.7708830548926014]","[2, 2]",0.32924525736671745,0.1284248103525212,0.2888888888888889,0.21842355175688513,0.462962962962963,0.5815533815607964,0.6097560975609756,0.38857928579666723,0.5422535211267606
3,npp_g_basn,0.6822157434402333,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.7398568019093079, 0.7398568019093079]","[2, 2]",0.37514786839176595,0.4353167841791834,0.6822157434402333,0.16566605489366557,0.44781783681214427,0.45445444689246767,0.4694280078895464,0.44515418760174735,0.4490566037735849
4,npp_g_ibpe,0.7653631284916201,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.7995226730310262, 0.7995226730310262]","[3, 3]",0.46862917287180955,0.16940889701401585,0.5082266910420475,0.5890506790857577,0.7653631284916201,0.5622963784792464,0.6619385342789599,0.5537607369082187,0.6585956416464891
5,npp_g_summ,0.4255319148936171,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.935560859188544, 0.935560859188544]","[27, 27]",0.1438795861862329,0.12403100775193797,0.18604651162790695,0.0485516115871073,0.09302325581395347,0.06426635694928377,0.09523809523809523,0.3386693684566025,0.4255319148936171
6,npp_m_nort,0.6925207756232686,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.7350835322195705, 0.7350835322195705]","[0, 0]",0.49984318119197746,0.47423428224600667,0.4901185770750988,0.46691107027879863,0.4807692307692309,0.5869240112369918,0.6925207756232686,0.47130336100611275,0.4930966469428008
7,npp_m_rabb,0.7771084337349398,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8233890214797136, 0.8233890214797136]","[6, 6]",0.5561282419043784,0.5871906174841673,0.7771084337349398,0.5786409942701579,0.7514124293785308,0.4988532149139264,0.5075187969924811,0.5598281409492613,0.6801007556675063
8,npp_m_well,0.6632653061224489,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.684964200477327, 0.684964200477327]","[0, 0]",0.4054979145008976,0.13364700093792767,0.35582822085889576,0.4770781053197867,0.4797047970479705,0.5371020677692586,0.6632653061224489,0.47416448397661753,0.4744525547445256
9,npp_p_coll,0.7928388746803069,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8066825775656324, 0.8066825775656324]","[1, 1]",0.5279409940714412,0.3880126294660773,0.5464098073555166,0.5445159318407581,0.5483304042179262,0.6363116155546004,0.7928388746803069,0.5429237994243297,0.5435540069686411
10,npp_p_smal,0.8241206030150754,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8329355608591885, 0.8329355608591885]","[5, 5]",0.6117406035553249,0.6587608366956071,0.8241206030150754,0.5740206360795311,0.5748299319727891,0.638999198353544,0.7653758542141229,0.5751817430926175,0.5783132530120482
11,npp_p_tobo,0.5813528336380256,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.4534606205250597, 0.4534606205250597]","[0, 0]",0.5100033124607054,0.36773882954716414,0.5530434782608696,0.5520911162782077,0.5549738219895288,0.5533836935186871,0.5578947368421052,0.5667996104987624,0.5813528336380256
12,npp_t_east,0.6994535519125683,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.7374701670644391, 0.7374701670644391]","[0, 0]",0.5154669642431814,0.5523603431084322,0.6966292134831461,0.4893604140471453,0.4980392156862745,0.4705924758019396,0.4723247232472325,0.5495546240152084,0.6994535519125683
13,npp_t_tayl,0.8131868131868131,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8377088305489259, 0.8377088305489259]","[2, 2]",0.5107003593428708,0.35336130256717607,0.5319148936170213,0.6228655335192625,0.8131868131868131,0.537162469988343,0.5504587155963303,0.5294121312967014,0.5300353356890459
14,npp_t_west,0.6375321336760926,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.6634844868735084, 0.6634844868735084]","[0, 0]",0.47849304089420713,0.46137274932071354,0.463276836158192,0.46798765594676733,0.4862745098039215,0.5221410682429696,0.6375321336760926,0.4624706900663778,0.4705882352941176
