,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.7889908256880734,3,2,['1'],[0.9451073985680192],[11],0.29204787119790554,0.05649717514124294,0.1694915254237288,0.059330143540669865,0.10526315789473684,0.6039455537566709,0.7889908256880734,0.44841861235303854,0.6666666666666667
1,npp_c_grav,0.7832167832167832,4,3,['0'],[0.9260143198090692],[18],0.41567366736845185,0.026432748538011697,0.052631578947368425,0.17110125646711014,0.3181818181818182,0.7376217185495925,0.7534246575342465,0.7275389459190932,0.7832167832167832
2,npp_c_sand,0.7746478873239436,4,1,['0'],[0.9236276849642004],[22],0.4377770015048654,0.09350598962122314,0.22988505747126434,0.19196285013116696,0.4752475247524752,0.7215384411576657,0.7397260273972603,0.7441007251094062,0.7746478873239436
3,npp_g_basn,0.796812749003984,3,1,['0'],[0.8782816229116945],[19],0.5309092794882376,0.42100380707994683,0.6822157434402333,0.15832087104814377,0.4419047619047619,0.7751837837962384,0.796812749003984,0.7691286560286215,0.773972602739726
4,npp_g_ibpe,0.8262295081967215,3,1,['3'],[0.8735083532219571],[14],0.6210776014865016,0.16940889701401585,0.5082266910420475,0.7003899978482878,0.8027210884353742,0.812812517654948,0.8262295081967215,0.8016989934287547,0.8181818181818182
5,npp_g_summ,0.3181818181818182,4,1,['0'],[0.928400954653938],[30],0.10837525048051362,0.08418803418803418,0.15,0.05173189383715699,0.10256410256410256,0.052631578947368425,0.052631578947368425,0.24494949494949494,0.3181818181818182
6,npp_m_nort,0.8132780082987552,1,1,['0'],[0.8926014319809069],[27],0.7001470080226054,0.5892720203430949,0.8132780082987552,0.6379107698725971,0.7307692307692307,0.7838065350084706,0.7918088737201364,0.789598706866259,0.7973856209150327
7,npp_m_rabb,0.8235294117647058,4,1,['8'],[0.8711217183770883],[9],0.7726865800152263,0.6849599679061757,0.7911392405063291,0.7806505238565906,0.7962382445141065,0.8033998231634202,0.8138801261829653,0.8217360051347188,0.8235294117647058
8,npp_m_well,0.8402777777777779,4,3,['7'],[0.8902147971360382],[9],0.6235794727343845,0.11762789182144025,0.3225806451612904,0.777930869490924,0.7972508591065293,0.7800931612942805,0.7984189723320158,0.8186659683308936,0.8402777777777779
9,npp_p_coll,0.8338192419825073,4,3,['2'],[0.8639618138424822],[13],0.7097215317331255,0.39421669993941383,0.5563636363636363,0.7942380034270963,0.8057142857142857,0.8242281735812158,0.8304093567251462,0.826203249984776,0.8338192419825073
10,npp_p_smal,0.8548387096774195,2,3,['7'],[0.8711217183770883],[10],0.8391024928804974,0.8417625804844828,0.851063829787234,0.8397970400412916,0.8548387096774195,0.837296591422713,0.8432432432432433,0.8375537595735025,0.8398950131233596
11,npp_p_tobo,0.8470588235294118,2,2,['0'],[0.8758949880668258],[15],0.7309188247837738,0.4597461343758615,0.8244680851063829,0.8317810838044268,0.8470588235294118,0.8086737271134435,0.8201058201058201,0.823474353841363,0.8266666666666667
12,npp_t_east,0.7972972972972973,4,2,['0'],[0.8568019093078759],[10],0.7008002414971907,0.5501632487021365,0.6929577464788732,0.6825849561248335,0.7836990595611285,0.7823662462711534,0.7888446215139442,0.7880865148906385,0.7972972972972973
13,npp_t_tayl,0.8606060606060606,3,2,['0'],[0.8902147971360382],[8],0.7309779570339064,0.4345965709572332,0.7648902821316614,0.8281569779441041,0.8338368580060425,0.8413420630474894,0.8606060606060606,0.8198162161867989,0.8262108262108263
14,npp_t_west,0.7874564459930314,4,2,['0'],[0.8544152744630071],[11],0.6948453504222939,0.4854619315041106,0.5263157894736843,0.7376019121242051,0.7692307692307693,0.7720883845177631,0.7796610169491526,0.7842291735430972,0.7874564459930314
