,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.196875,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.2259036144578313, 0.2259036144578313]","[3, 3]",0.1332434546265084,0.1904744410926353,0.196875,0.09313598485892527,0.1126760563380282,0.19219651066612808,0.19534883720930235,0.05716688188834499,0.08450704225352113
1,npp_c_grav,0.6909090909090909,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.9243323442136498, 0.9243323442136498]","[31, 31]",0.21226662490190143,0.394045397987689,0.6909090909090909,0.050657108721624856,0.06451612903225806,0.2388196606872931,0.24369747899159666,0.16554433221099887,0.3148148148148148
2,npp_c_sand,0.2698650674662669,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.2632375189107413, 0.2632375189107413]","[1, 1]",0.17121001509691827,0.25527578445285687,0.2698650674662669,0.054284662337201466,0.099009900990099,0.25324924540324517,0.2615156017830609,0.12203036819436959,0.2616822429906543
3,npp_g_basn,0.4040150564617315,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3055555555555556, 0.3055555555555556]","[0, 0]",0.3867764886484936,0.38106508875739636,0.3810650887573964,0.3842712991008395,0.3884197828709288,0.3833511590988323,0.3870192307692308,0.39841840763690617,0.4040150564617315
4,npp_g_ibpe,0.4355029585798816,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.30058651026392963, 0.30058651026392963]","[0, 0]",0.4267715278580598,0.4243353046140428,0.4249422632794457,0.4262629851544401,0.4289044289044289,0.42698983991726,0.431924882629108,0.4294979817464965,0.4355029585798816
5,npp_g_summ,0.18518518518518515,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.935672514619883, 0.935672514619883]","[40, 40]",0.079564838509495,0.04256603967519786,0.043478260869565216,0.07533383723859914,0.18518518518518515,0.11869281045751634,0.15999999999999998,0.08166666666666667,0.12
6,npp_m_nort,0.7425149700598803,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8744525547445255, 0.8744525547445255]","[44, 44]",0.4383235898246342,0.39941994992162216,0.4057971014492754,0.5142355419803928,0.7425149700598803,0.41126992997088924,0.4205256570713392,0.4283689374256325,0.4456233421750663
7,npp_m_rabb,0.4576271186440678,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3984962406015037, 0.3984962406015037]","[0, 0]",0.41693792962055864,0.40724413413417987,0.4084720121028744,0.418722867030362,0.4404567699836867,0.40540540540540543,0.4054054054054054,0.43637931191228746,0.4576271186440678
8,npp_m_well,0.4152744630071599,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.27728613569321536, 0.27728613569321536]","[0, 0]",0.4093566634258092,0.40931349549269425,0.4147794994040524,0.40901250809030415,0.4152744630071599,0.4112142685046278,0.4133016627078385,0.4078863816156104,0.4114149821640904
9,npp_p_coll,0.4993939393939394,2,1,['ensemble_uniq_or'],[0.3961988304093567],[1],0.47544039520260034,0.46834663402556687,0.4726027397260274,0.48655028629996,0.4993939393939394,0.46639220925582703,0.4672686230248307,0.4804724512290474,0.4993939393939394
10,npp_p_smal,0.6014492753623187,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.4749403341288783, 0.4749403341288783]","[3, 3]",0.579707639527323,0.5746734809767178,0.575809199318569,0.586345942674921,0.6014492753623187,0.5754838909397662,0.5767918088737202,0.5823272435178869,0.5888501742160279
11,npp_p_tobo,0.4505208333333333,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.32802547770700635, 0.32802547770700635]","[0, 0]",0.43727894044687377,0.4325698067382187,0.4332493702770781,0.4342120844041832,0.43654822335025373,0.4385522141150333,0.4407643312101911,0.4437816565300601,0.4505208333333333
12,npp_t_east,0.4161566707466339,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.30161054172767204, 0.30161054172767204]","[1, 1]",0.40297673188008504,0.4004683840749415,0.4004683840749415,0.39968719484795817,0.4004683840749415,0.40109656977545116,0.4023529411764706,0.41065477882198903,0.4161566707466339
13,npp_t_tayl,0.476997578692494,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3665689149560117, 0.3665689149560117]","[0, 0]",0.4564220145160672,0.45334506615789194,0.4565469293163384,0.46253824315131736,0.476997578692494,0.4491876492070069,0.4518348623853211,0.4606170995480528,0.4653937947494034
14,npp_t_west,0.4039167686658507,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.2869692532942899, 0.2869692532942899]","[1, 1]",0.393072278466621,0.39041584253765066,0.3910482921083628,0.39625038843316246,0.4039167686658507,0.39242345462515277,0.3933649289099526,0.3931994282705184,0.3952380952380953
