,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.5714285714285714,1,1,['1'],[0.8825301204819277],[14],0.2712581918424953,0.4842796092796093,0.5714285714285714,0.0683876811594203,0.08695652173913045,0.48348371353989333,0.5568181818181818,0.04888176339105835,0.05882352941176471
1,npp_c_grav,0.6666666666666667,3,3,['3'],[0.9154302670623146],[31],0.3694514524749372,0.6399955680826854,0.6624203821656051,0.03729246487867178,0.04444444444444445,0.6386643563248631,0.6666666666666667,0.16185342061352845,0.3018867924528302
2,npp_c_sand,0.7246376811594202,1,2,['1'],[0.9137670196671709],[16],0.3492239514823377,0.6060568258256755,0.7246376811594202,0.043159689505092656,0.08421052631578947,0.6590054554731347,0.6666666666666667,0.08867383512544802,0.17999999999999994
3,npp_g_basn,0.75,2,3,['0'],[0.8567251461988304],[14],0.7153232041303904,0.7106036345210757,0.7192982456140351,0.716430354258867,0.75,0.7246596865918602,0.7379134860050891,0.7095991411497589,0.7359050445103857
4,npp_g_ibpe,0.7813267813267813,4,2,['1'],[0.8695014662756598],[25],0.7614146822632893,0.7517913118466414,0.7594339622641508,0.7714781870634254,0.7746835443037975,0.7605324055028685,0.7659574468085106,0.7618568246402219,0.7813267813267813
5,npp_g_summ,0.0851063829787234,2,3,['0'],[0.9371345029239766],[43],0.05083668943520931,0.0447957839262187,0.04545454545454545,0.042861547949429535,0.0851063829787234,0.07123034227567067,0.0851063829787234,0.04445908358951837,0.04545454545454545
6,npp_m_nort,0.7591240875912408,1,1,['1'],[0.8554744525547445],[12],0.721082157622314,0.7440320828053553,0.7591240875912408,0.7077533205170767,0.7331670822942643,0.7227276803947555,0.7461928934010151,0.7098155467720684,0.7499999999999999
7,npp_m_rabb,0.8208469055374592,1,2,['2'],[0.8966165413533834],[9],0.7804829727050753,0.77351756711992,0.8208469055374592,0.7973249294816909,0.8083623693379791,0.7827614071208869,0.8039867109634552,0.7683279870978033,0.7969924812030075
8,npp_m_well,0.8009592326139089,1,3,['2'],[0.8775811209439528],[7],0.753682155567691,0.7737872153315678,0.8009592326139089,0.7660021331759225,0.7771739130434783,0.7527684047325011,0.7546174142480211,0.7221708690307723,0.7456790123456789
9,npp_p_coll,0.7991169977924945,2,1,['2'],[0.8669590643274854],[26],0.7548206950796957,0.7507844478110771,0.7835990888382689,0.7777079938358199,0.7991169977924945,0.7532645506295227,0.7706422018348625,0.7375257880423637,0.7708779443254816
10,npp_p_smal,0.8328611898016997,3,1,['1'],[0.8591885441527446],[22],0.7571228310570332,0.7389053959102269,0.7597402597402597,0.75122104725486,0.8023952095808383,0.8001583472786619,0.8328611898016997,0.7382065337843834,0.7590759075907592
11,npp_p_tobo,0.7828571428571429,3,3,['2'],[0.8789808917197452],[36],0.7609214872503158,0.7567005776181563,0.7718309859154929,0.7570214287481325,0.7717391304347826,0.7726961472047268,0.7828571428571429,0.7572677954302479,0.7682926829268292
12,npp_t_east,0.7481296758104738,1,1,['1'],[0.8521229868228404],[21],0.7119247760061627,0.7217836331866966,0.7481296758104738,0.6984616166148792,0.7353760445682451,0.71304283868405,0.7294685990338164,0.7144110155390253,0.7240356083086054
13,npp_t_tayl,0.8148148148148149,2,2,['1'],[0.8826979472140762],[21],0.7638432176983708,0.7696385102608819,0.7756097560975609,0.7811280653198848,0.8148148148148149,0.7559702054493656,0.7752293577981652,0.7486360897633512,0.7853881278538812
14,npp_t_west,0.7573333333333333,4,3,['1'],[0.8667642752562226],[24],0.7055570552426865,0.6939067477153983,0.6990291262135921,0.6888238270801706,0.7044025157232704,0.7274361740381158,0.7378640776699028,0.7120614721370614,0.7573333333333333
