,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.5542168674698795,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9116945107398567, 0.9116945107398567]","[31, 31]",0.18255718743873053,0.3159795092473136,0.5542168674698795,0.0822890559732665,0.10526315789473684,0.2424865003238157,0.2512562814070352,0.08947368421052632,0.16666666666666666
1,npp_c_grav,0.33181818181818185,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.29832935560859186, 0.29832935560859186]","[1, 1]",0.23315001317188477,0.31094467656828517,0.33181818181818185,0.13004642416407122,0.2352941176470588,0.3006104471425483,0.3014256619144603,0.19099850481263436,0.25287356321839083
2,npp_c_sand,0.7044025157232705,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8878281622911695, 0.8878281622911695]","[21, 21]",0.25746581160759563,0.36289478618056625,0.7044025157232705,0.1824660633484163,0.3076923076923077,0.311953377293557,0.31300813008130085,0.1725490196078431,0.18823529411764706
3,npp_g_basn,0.7604562737642586,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8496420047732697, 0.8496420047732697]","[19, 19]",0.4758090741642937,0.44404226178829975,0.4473684210526315,0.5708390685546334,0.7604562737642586,0.44237918215613387,0.44237918215613387,0.4459757841581075,0.4473684210526315
4,npp_g_ibpe,0.8181818181818182,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8663484486873508, 0.8663484486873508]","[14, 14]",0.5311972089987976,0.5014928945911692,0.5017921146953406,0.6141767746182007,0.8181818181818182,0.5008944543828264,0.5008944543828264,0.5082247124029942,0.5137614678899083
5,npp_g_summ,0.1951219512195122,1,2,['ensemble_or'],[0.9212410501193318],[33],0.08384712264910493,0.1732657586316123,0.1951219512195122,0.09413067552602437,0.13953488372093026,0.03418803418803419,0.05128205128205129,0.03380402225074883,0.052631578947368425
6,npp_m_nort,0.4708097928436912,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.32935560859188545, 0.32935560859188545]","[0, 0]",0.46207022915497914,0.4598409345321923,0.4604051565377532,0.4650175437476638,0.4708097928436912,0.45955882352941185,0.4595588235294118,0.4638636148106485,0.4699248120300752
7,npp_m_rabb,0.48824593128390603,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.324582338902148, 0.324582338902148]","[0, 0]",0.4875115059961744,0.4873646209386282,0.4873646209386282,0.48765839105372083,0.48824593128390603,0.4873646209386282,0.4873646209386282,0.48765839105372083,0.48824593128390603
8,npp_m_well,0.4914933837429112,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.35799522673031026, 0.35799522673031026]","[0, 0]",0.47727521907028153,0.47358834244080156,0.4735883424408015,0.4779615455720429,0.4805914972273567,0.47358834244080156,0.4735883424408015,0.4839626458274801,0.4914933837429112
9,npp_p_coll,0.5473684210526316,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3842482100238663, 0.3842482100238663]","[0, 0]",0.5437944751063387,0.5429237994243298,0.5435540069686411,0.5448254783299712,0.5473684210526316,0.542608695652174,0.542608695652174,0.5448199270188799,0.5454545454545454
10,npp_p_smal,0.5767918088737202,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4081145584725537, 0.4081145584725537]","[0, 0]",0.5747931752399116,0.5748299319727891,0.5748299319727891,0.5743564825926858,0.5767918088737202,0.5748299319727891,0.5748299319727891,0.5751563544213824,0.575809199318569
11,npp_p_tobo,0.554006968641115,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3890214797136039, 0.3890214797136039]","[0, 0]",0.5508106181623643,0.5504908457419057,0.5511265164644714,0.5524056061463066,0.554006968641115,0.5501730103806228,0.5501730103806228,0.5501730103806228,0.5501730103806228
12,npp_t_east,0.7692307692307693,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8424821002386634, 0.8424821002386634]","[18, 18]",0.4999400377578768,0.4691512361237131,0.4697247706422018,0.5914281123498831,0.7692307692307693,0.46829303136432937,0.4688644688644688,0.47088777119358155,0.4740740740740741
13,npp_t_tayl,0.5398550724637681,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3937947494033413, 0.3937947494033413]","[1, 1]",0.5288350815874997,0.5272407732864675,0.5272407732864675,0.5326897656925563,0.5398550724637681,0.5278596004851605,0.528169014084507,0.527550186885814,0.528169014084507
14,npp_t_west,0.4584103512014787,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.30071599045346065, 0.30071599045346065]","[0, 0]",0.4572842080582242,0.4570028020722196,0.4575645756457565,0.45784650083099726,0.4584103512014787,0.4567219152854512,0.4567219152854512,0.4575656140442288,0.4584103512014787
