,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.7333333333333333,2,3,['0'],[0.9236276849642004],[10],0.2806907020972382,0.09236453201970445,0.13793103448275862,0.660680238124974,0.7333333333333333,0.11539441824901235,0.1694915254237288,0.2543236199952618,0.35820895522388063
1,npp_c_grav,0.7647058823529412,2,3,['0'],[0.9045346062052506],[9],0.41318893068701773,0.5339237581133646,0.6618705035971223,0.7391161592842265,0.7647058823529412,0.13800640364107855,0.25882352941176473,0.2417094017094017,0.52
2,npp_c_sand,0.7976190476190476,2,2,['0'],[0.918854415274463],[10],0.3599334995232404,0.4970375199188759,0.7231638418079096,0.7621762156244914,0.7976190476190476,0.06667708496119186,0.09876543209876544,0.1138431775884024,0.14457831325301204
3,npp_g_basn,0.7983870967741935,4,3,['0'],[0.8806682577565632],[20],0.7691947406423449,0.7545418173248292,0.7789473684210526,0.7880719904184191,0.7942238267148015,0.7415023969496732,0.7724137931034482,0.7926627578764585,0.7983870967741935
4,npp_g_ibpe,0.8198757763975155,2,3,['4'],[0.8615751789976134],[8],0.7970937824475924,0.7863549389698997,0.8070175438596492,0.8108607396303974,0.8198757763975155,0.7790920992891436,0.7972027972027972,0.812067351900929,0.8160535117056856
5,npp_g_summ,0.2790697674418605,4,2,['4'],[0.9260143198090692],[31],0.12237759860158882,0.14219114219114223,0.2727272727272728,0.10173189383715699,0.15,0.08418803418803418,0.15,0.16139932419002187,0.2790697674418605
6,npp_m_nort,0.8294573643410852,4,2,['0'],[0.8949880668257757],[18],0.7772650411881569,0.758500553687076,0.7692307692307694,0.7839143283241451,0.7947019867549668,0.7497322919946597,0.7945205479452054,0.8169129907467468,0.8294573643410852
7,npp_m_rabb,0.825082508250825,4,2,['6'],[0.8735083532219571],[10],0.7974051471217712,0.7747322348827659,0.7934426229508197,0.8082091606920628,0.8203389830508475,0.7886245783698982,0.8222996515679443,0.818054614542358,0.825082508250825
8,npp_m_well,0.8344827586206897,4,1,['1'],[0.8854415274463007],[9],0.7935327917082419,0.7813382452639525,0.7927272727272726,0.7977963823406652,0.805111821086262,0.7676926138664143,0.7782101167315175,0.8273039253619361,0.8344827586206897
9,npp_p_coll,0.8465909090909091,2,1,['6'],[0.8711217183770883],[7],0.7961320284787573,0.7732825919874987,0.7833827893175074,0.8369505169358088,0.8465909090909091,0.7559639987473892,0.7859237536656892,0.8183310062443327,0.8318584070796459
10,npp_p_smal,0.8579088471849866,2,3,['2'],[0.8735083532219571],[9],0.8028326844739645,0.7693835742616231,0.8238482384823849,0.847044545849358,0.8579088471849866,0.7577184270535003,0.7816091954022988,0.837184190731377,0.8443271767810027
11,npp_p_tobo,0.8546511627906977,4,3,['0'],[0.8806682577565632],[12],0.8134326005186926,0.7927448161768768,0.8145896656534954,0.8293811617650079,0.8472622478386167,0.787866302242989,0.7938144329896908,0.8437381218898966,0.8546511627906977
12,npp_t_east,0.8030303030303031,4,1,['0'],[0.8758949880668258],[22],0.7731954220515175,0.7623726962071046,0.7676767676767677,0.7948844882639419,0.8013029315960912,0.7424818203143326,0.7793103448275862,0.7930426834206904,0.8030303030303031
13,npp_t_tayl,0.8352941176470587,4,3,['1'],[0.8663484486873508],[8],0.8130349665731677,0.8091890593157355,0.830860534124629,0.8315264761463997,0.8333333333333333,0.7818342036191696,0.8012422360248448,0.8295901272113652,0.8352941176470587
14,npp_t_west,0.7927272727272728,4,3,['3'],[0.8639618138424822],[15],0.7616378976868495,0.7449129736784356,0.7649122807017543,0.7830064950686574,0.7889273356401383,0.7348564658958815,0.7766323024054983,0.7837756561044232,0.7927272727272728
