,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.6818181818181818,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9156626506024096, 0.9156626506024096]","[6, 6]",0.2728205418374334,0.29200930185316243,0.5095541401273885,0.30206907747718453,0.5306122448979591,0.3526463943409466,0.6818181818181818,0.14455739367844,0.19130434782608693
1,npp_c_grav,0.6604651162790698,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8916913946587537, 0.8916913946587537]","[17, 17]",0.36784938668257233,0.3319599422317387,0.5299684542586751,0.4165804002760525,0.5178571428571429,0.34646160350932825,0.5584905660377358,0.37639560071316974,0.6604651162790698
2,npp_c_sand,0.616822429906542,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.875945537065053, 0.875945537065053]","[25, 25]",0.3761985493023909,0.36846036754139017,0.616822429906542,0.43905713228687704,0.5597484276729561,0.45025709693292687,0.5559105431309905,0.24701960044836943,0.2570162481536189
3,npp_g_basn,0.7341176470588235,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8347953216374269, 0.8347953216374269]","[5, 5]",0.46705541007340096,0.3828851185741951,0.3851674641148325,0.38507962500969767,0.392204628501827,0.711777271755417,0.7341176470588235,0.3884796249542939,0.4014962593516209
4,npp_g_ibpe,0.43146603098927294,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.30058651026392963, 0.30058651026392963]","[3, 3]",0.42523113075248437,0.42543466451151923,0.4264194669756663,0.4249422632794457,0.4249422632794457,0.42439428973676224,0.43146603098927294,0.4261533054822106,0.4299065420560748
5,npp_g_summ,0.19230769230769232,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9385964912280702, 0.9385964912280702]","[40, 40]",0.0841972115746482,0.05530908015380065,0.12244897959183675,0.07644824311490979,0.19230769230769232,0.12866788666624596,0.18867924528301885,0.07636363636363637,0.12
6,npp_m_nort,0.7596153846153847,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8540145985401459, 0.8540145985401459]","[10, 10]",0.4621030495956635,0.4192920026831286,0.4320827943078913,0.39670748643930215,0.3995243757431629,0.630159257309795,0.7596153846153847,0.40225345195042866,0.4189526184538653
7,npp_m_rabb,0.7652173913043477,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8477443609022557, 0.8477443609022557]","[3, 3]",0.49241245528232197,0.40870716260320794,0.4134762633996937,0.40746539222148975,0.41158536585365857,0.7462318884709771,0.7652173913043477,0.4072453778336131,0.40909090909090906
8,npp_m_well,0.7434782608695651,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8259587020648967, 0.8259587020648967]","[3, 3]",0.489887143054106,0.4079872891875341,0.40893066980023496,0.4084507042253522,0.4084507042253521,0.738406168465661,0.7434782608695651,0.404704410337877,0.4065804935370152
9,npp_p_coll,0.7898832684824902,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8421052631578947, 0.8421052631578947]","[4, 4]",0.5501491895720029,0.46675254116236653,0.4699205448354144,0.4807555948941918,0.5012106537530266,0.7882681326918627,0.7898832684824902,0.4648204895395906,0.4651685393258426
10,npp_p_smal,0.8140703517587939,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8229665071770335, 0.8229665071770335]","[6, 6]",0.5973115920577473,0.5753330331844918,0.5787671232876713,0.5740206360795311,0.5748299319727891,0.6628607186325096,0.8140703517587939,0.5770319803344571,0.5814360770577934
11,npp_p_tobo,0.4461738002594034,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3189792663476874, 0.3189792663476874]","[0, 0]",0.43381541831557785,0.4329429122687549,0.4368686868686869,0.431960049937578,0.431960049937578,0.43694608423756814,0.4461738002594034,0.4334126268184106,0.4363177805800757
12,npp_t_east,0.7300215982721382,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8169838945827232, 0.8169838945827232]","[2, 2]",0.4368255857445879,0.4015678966342806,0.4028268551236749,0.39999926700457755,0.4004683840749415,0.5111033966623131,0.7300215982721382,0.43463178267717995,0.5029585798816568
13,npp_t_tayl,0.7235621521335808,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.7815249266862171, 0.7815249266862171]","[2, 2]",0.4753073662239615,0.4537982823575138,0.4608187134502924,0.4482366325369738,0.4482366325369739,0.5515470455461854,0.7235621521335808,0.44764750445517315,0.4482366325369739
14,npp_t_west,0.41612483745123535,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3416422287390029, 0.3416422287390029]","[5, 5]",0.3976856198080451,0.3929171011506967,0.3966547192353645,0.3935520026620778,0.3985594237695078,0.4138575328817551,0.41612483745123535,0.39041584253765066,0.3910482921083628
