,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.7480916030534351,3,3,['6'],[0.9503012048192772],[17],0.42926247016309604,0.357889320906847,0.503225806451613,0.6133611375083903,0.6206896551724137,0.5166791360277445,0.7480916030534351,0.22912028620940242,0.4719101123595506
1,npp_c_grav,0.6919431279620853,2,2,['2'],[0.9032738095238096],[15],0.5862380959456245,0.5861807693939008,0.6068965517241379,0.6438602277963715,0.6919431279620853,0.5856930188141981,0.6220472440944882,0.5292183677780276,0.6478873239436619
2,npp_c_sand,0.6854838709677421,2,2,['1'],[0.8819969742813918],[6],0.5791317228391262,0.5913056766623725,0.6042553191489362,0.6620513678719351,0.6854838709677421,0.6015836662533866,0.6339285714285714,0.4615861805688109,0.650887573964497
3,npp_g_basn,0.7570332480818414,4,1,['9'],[0.8609077598828697],[13],0.725516316913663,0.7000562715266585,0.7150537634408601,0.7233285463202183,0.7397959183673469,0.7427956493829567,0.7512437810945274,0.7358848004248184,0.7570332480818414
4,npp_g_ibpe,0.7748184019370459,1,2,['3'],[0.8634361233480177],[23],0.6707130862348981,0.7625515292520388,0.7748184019370459,0.7500477099025193,0.7604395604395605,0.4301635361584169,0.43478260869565216,0.7400895696266172,0.7566371681415929
5,npp_g_summ,0.19230769230769232,2,3,['1'],[0.9385964912280702],[40],0.07371674955393734,0.029307568438003223,0.04444444444444445,0.07859531772575251,0.19230769230769232,0.11859531772575249,0.19230769230769232,0.06836879432624114,0.12
6,npp_m_nort,0.7738693467336684,3,2,['8'],[0.8686131386861314],[14],0.7110185013597986,0.7212155608581341,0.7429906542056075,0.7557708598651222,0.7575057736720554,0.6475169233334388,0.7738693467336684,0.719570661382499,0.7342465753424657
7,npp_m_rabb,0.8052805280528053,4,2,['3'],[0.8888888888888888],[13],0.7770464477248687,0.7497294299864237,0.7677419354838709,0.7657271184462408,0.7936507936507936,0.7945862554892251,0.8036809815950919,0.7981429869775861,0.8052805280528053
8,npp_m_well,0.8173076923076924,3,2,['9'],[0.887905604719764],[4],0.7666703456450022,0.7562743293982804,0.7731958762886598,0.7810366445428746,0.7905882352941176,0.797434513660615,0.8173076923076924,0.7319358949782387,0.7478753541076486
9,npp_p_coll,0.8157894736842105,3,2,['5'],[0.8771929824561403],[21],0.7806893133112354,0.7742366654870619,0.7845528455284554,0.7997341684508781,0.8114754098360655,0.804968379699917,0.8157894736842105,0.7438180396070836,0.7908902691511388
10,npp_p_smal,0.8320413436692506,2,3,['2'],[0.8441247002398081],[7],0.8058499783909849,0.7927023218691356,0.8142493638676844,0.8224081640070273,0.8320413436692506,0.8217423235084264,0.8315217391304347,0.7865471041793503,0.7988338192419825
11,npp_p_tobo,0.7947368421052632,4,2,['7'],[0.8757961783439491],[22],0.7312981928383341,0.7427251869651051,0.7537993920972644,0.7670037564774407,0.7832167832167832,0.6340280980191769,0.7534883720930232,0.7814357298916139,0.7947368421052632
12,npp_t_east,0.7912621359223302,3,3,['5'],[0.8740849194729137],[8],0.7211656068922617,0.6678130097151508,0.6869300911854105,0.7338235997198046,0.743362831858407,0.7604933984226355,0.7912621359223302,0.7225324197114563,0.7560321715817694
13,npp_t_tayl,0.7974137931034483,3,2,['9'],[0.8621700879765396],[12],0.7459338802580828,0.731214056929757,0.7487922705314011,0.76903739539133,0.7908902691511387,0.7572628347621476,0.7974137931034483,0.7262212339490964,0.7587939698492463
14,npp_t_west,0.7409090909090909,2,1,['0'],[0.8330893118594437],[3],0.6860138845753198,0.7135350744987027,0.7375886524822695,0.7240349129729661,0.7409090909090909,0.6297818203327767,0.7223587223587224,0.676703730496834,0.7084639498432602
