,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.8113207547169811,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.9522673031026252, 0.9522673031026252]","[11, 11]",0.3823499262252785,0.33519318390538994,0.5263157894736842,0.5734946141741292,0.8113207547169811,0.4216929092460617,0.7747747747747747,0.1990189975755333,0.2517482517482518
1,npp_c_grav,0.6301369863013698,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8066825775656324, 0.8066825775656324]","[5, 5]",0.39222092482130444,0.3049830297858713,0.3076923076923077,0.44507088781446563,0.5232974910394265,0.5133704702845998,0.6301369863013698,0.30545931140028143,0.3128964059196617
2,npp_c_sand,0.7379679144385026,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8830548926014321, 0.8830548926014321]","[8, 8]",0.43276730813668524,0.33050527987414385,0.3456221198156682,0.40291800049248955,0.5877862595419848,0.5498709947925247,0.7379679144385026,0.44777495738758294,0.7000000000000001
3,npp_g_basn,0.7104477611940299,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.7684964200477327, 0.7684964200477327]","[0, 0]",0.5661625359570964,0.535386758894499,0.7104477611940299,0.5246058185965364,0.688235294117647,0.6753427594806434,0.7040498442367602,0.5293148068567063,0.7015384615384616
4,npp_g_ibpe,0.7906976744186046,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8281622911694511, 0.8281622911694511]","[4, 4]",0.554819219246928,0.5054826789893584,0.5137614678899083,0.6066575826520322,0.7393617021276595,0.6050442061478719,0.7906976744186046,0.5020924091984497,0.5026929982046678
5,npp_g_summ,0.490566037735849,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.935560859188544, 0.935560859188544]","[24, 24]",0.21500930364186074,0.17176996445289128,0.2272727272727273,0.269023569023569,0.3181818181818182,0.3359103477576492,0.490566037735849,0.08333333333333333,0.1
6,npp_m_nort,0.7272727272727273,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.7780429594272077, 0.7780429594272077]","[1, 1]",0.5056721953825085,0.45955882352941185,0.4595588235294118,0.5519326155309823,0.7272727272727273,0.467581411086609,0.4681647940074906,0.543615931383031,0.7048710601719199
7,npp_m_rabb,0.7556818181818181,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.7947494033412887, 0.7947494033412887]","[2, 2]",0.5591877767933391,0.506923183165127,0.5389221556886228,0.4903248139249088,0.4927007299270073,0.7473734833241875,0.7556818181818181,0.49212962675913346,0.4963235294117648
8,npp_m_well,0.7319884726224785,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.7780429594272077, 0.7780429594272077]","[3, 3]",0.49918987395385045,0.4741655372518201,0.4753199268738574,0.48139824777972445,0.4961538461538462,0.5649849126462962,0.7319884726224785,0.47621079813756123,0.4805914972273567
9,npp_p_coll,0.6907449209932279,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.6730310262529833, 0.6730310262529833]","[3, 3]",0.5572138690630569,0.5438713104180893,0.5445026178010471,0.5432389031964854,0.5435540069686411,0.5491265178221701,0.5621621621621622,0.592618744815483,0.6907449209932279
10,npp_p_smal,0.7636363636363637,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.7517899761336515, 0.7517899761336515]","[1, 1]",0.5928150132973309,0.5743462345120073,0.5748299319727891,0.6385952944126729,0.7636363636363637,0.5834885922918543,0.597864768683274,0.5748299319727891,0.5748299319727891
11,npp_p_tobo,0.8116710875331565,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8305489260143198, 0.8305489260143198]","[6, 6]",0.6136864894738167,0.550809784698193,0.5520833333333334,0.6215540905913409,0.7614457831325301,0.7322090722251108,0.8116710875331565,0.5501730103806228,0.5501730103806228
12,npp_t_east,0.7002967359050444,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.7589498806682577, 0.7589498806682577]","[10, 10]",0.5297328230952739,0.4688655173736434,0.4697247706422018,0.6154437459834622,0.6939890710382514,0.5593193381612513,0.7002967359050444,0.47530269086273863,0.4821092278719398
13,npp_t_tayl,0.7945945945945946,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.8186157517899761, 0.8186157517899761]","[3, 3]",0.5522299284600366,0.5289321972617199,0.5311942959001783,0.527550186885814,0.528169014084507,0.6254428919068168,0.7945945945945946,0.5269944377857957,0.5272407732864675
14,npp_t_west,0.7345679012345679,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.7947494033412887, 0.7947494033412887]","[5, 5]",0.5575326968454168,0.5569400854298704,0.7345679012345679,0.5856541385086503,0.6560846560846559,0.6267995570321152,0.7093023255813954,0.4607370064110315,0.4679245283018868
