,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,2_avg_f1,3_avg_f1,4_avg_f1
0,npp_c_cali,0.6526315789473685,2,1,['1'],[0.9006024096385542],[4],0.34165675223851993,0.17995102779990138,0.6023906353588426,0.18421499238764483,0.40007035340769104
1,npp_c_grav,0.7344632768361583,4,1,['4'],[0.93026706231454],[23],0.5127037620306516,0.2315926997061024,0.6407158340723224,0.5051049162832789,0.6734015980609027
2,npp_c_sand,0.7214611872146119,4,3,['0'],[0.907715582450832],[12],0.48561634564245465,0.34009487902842944,0.6511612039556073,0.26654019536049284,0.6846691042252888
3,npp_g_basn,0.7450000000000001,4,1,['2'],[0.8508771929824561],[12],0.7043188993744582,0.6763406365890838,0.7048682750242445,0.7081134828278465,0.7279532030566581
4,npp_g_ibpe,0.7635467980295566,3,2,['7'],[0.8584070796460177],[25],0.7268054952760842,0.7172596378865753,0.7379800541722373,0.7346695371561737,0.7173127518893501
5,npp_g_summ,0.6526315789473685,4,2,['0'],[0.9517543859649122],[14],0.1701708490947642,0.014492753623188406,0.25673758865248225,0.014814814814814814,0.3946382392885714
6,npp_m_nort,0.7677261613691931,4,2,['0'],[0.8613138686131386],[11],0.7354925134315594,0.7195108974958071,0.737417919770861,0.7289961841153305,0.7560450523442395
7,npp_m_rabb,0.8095238095238095,3,3,['4'],[0.8937381404174574],[16],0.7759638122613807,0.7444037476068788,0.7693779306742964,0.794969474969475,0.7951040957948718
8,npp_m_well,0.7790973871733966,1,1,['4'],[0.8624260355029586],[8],0.7498757163071966,0.7461603802249325,0.7606524183648288,0.7229074171642721,0.7697826494747537
9,npp_p_coll,0.8174273858921159,2,3,['0'],[0.8713450292397661],[10],0.7874717071693248,0.7909443550179124,0.7972304786158376,0.7631563352296481,0.7985556598139009
10,npp_p_smal,0.8539325842696628,2,3,['6'],[0.8740920096852299],[14],0.8291761621476296,0.8297168144883882,0.8315554323698792,0.8133772691515081,0.8420551325807427
11,npp_p_tobo,0.8071065989847716,2,3,['0'],[0.8789808917197452],[14],0.7611371041798066,0.7407243518130615,0.7648416623194899,0.7522794997547401,0.7867029028319351
12,npp_t_east,0.7678160919540229,4,1,['5'],[0.8521229868228404],[4],0.7177738113790478,0.6950104213140015,0.7186964650018837,0.7190760691980221,0.7383122900022837
13,npp_t_tayl,0.8185840707964602,4,3,['5'],[0.8797653958944281],[12],0.7553244765570688,0.7523651866093526,0.7385559850432438,0.7556649516729835,0.7747117829026956
14,npp_t_west,0.7461928934010152,4,3,['6'],[0.8529411764705882],[16],0.7046985297348055,0.6952795976268457,0.7033305031980528,0.6926317917836622,0.727552226330661
