,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,2_avg_f1,3_avg_f1,4_avg_f1
0,npp_c_cali,0.8035714285714286,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.9474940334128878, 0.9474940334128878]","[9, 9]",0.33691420867655325,0.21203085404276534,0.41143918702787824,0.20849166500940627,0.5156951286261632
1,npp_c_grav,0.3064182194616977,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.20047732696897372, 0.20047732696897372]","[0, 0]",0.301373930542867,0.2997520847419428,0.3014264954570241,0.30101722605820763,0.30329991591429345
2,npp_c_sand,0.6324786324786325,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.7947494033412887, 0.7947494033412887]","[3, 3]",0.31911807044075113,0.23219832735961768,0.42056600805056615,0.310483870967742,0.31322407538507874
3,npp_g_basn,0.4482109227871939,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.30071599045346065, 0.30071599045346065]","[0, 0]",0.4436210765894621,0.44292838039593035,0.4454235414265771,0.4426537812760321,0.4434786032593086
4,npp_g_ibpe,0.5035971223021583,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3412887828162291, 0.3412887828162291]","[0, 0]",0.501494773360735,0.5023937838976131,0.5011958175291648,0.5011936744869978,0.5011958175291648
5,npp_g_summ,0.5084745762711864,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9307875894988068, 0.9307875894988068]","[22, 22]",0.1679110560098919,0.13008130081300814,0.15486709672756185,0.06666666666666667,0.320029159832331
6,npp_m_nort,0.463821892393321,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3102625298329356, 0.3102625298329356]","[0, 0]",0.46090355266414473,0.45984093453219227,0.46182722049239994,0.4604061975377636,0.4615398580942233
7,npp_m_rabb,0.4927007299270073,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.33651551312649164, 0.33651551312649164]","[0, 0]",0.48921031161884293,0.48883988104387505,0.4900213710340293,0.4879521611688134,0.49002783322865406
8,npp_m_well,0.4761904761904762,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3174224343675417, 0.3174224343675417]","[0, 0]",0.47459843480689073,0.47445360801972813,0.4747427320628388,0.4747416787876362,0.47445572035735967
9,npp_p_coll,0.5445026178010471,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3755980861244019, 0.3755980861244019]","[0, 0]",0.5430274051288914,0.5429237994243297,0.5429237994243298,0.5432389031964854,0.5430231184704211
10,npp_p_smal,0.5748299319727891,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.4033412887828162, 0.4033412887828162]","[0, 0]",0.5729264356223601,0.5724020442930153,0.5727240490686585,0.5748299319727891,0.571749717154978
11,npp_p_tobo,0.5520833333333334,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3842482100238663, 0.3842482100238663]","[0, 0]",0.5507376734938447,0.5506071870350868,0.5512441659604762,0.5501730103806228,0.5509263305991933
12,npp_t_east,0.4705882352941176,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3126491646778043, 0.3126491646778043]","[0, 0]",0.46879435125897456,0.46915333892428196,0.46857979862357363,0.46857875011439903,0.4688655173736434
13,npp_t_tayl,0.528169014084507,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.36038186157517893, 0.36038186157517893]","[0, 0]",0.5274886030106462,0.5278596004851605,0.5273038513851422,0.5272407732864675,0.527550186885814
14,npp_t_west,0.4592592592592593,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3031026252983294, 0.3031026252983294]","[0, 0]",0.4573549503963726,0.4575645756457565,0.45813050858206306,0.4567219152854512,0.4570028020722196
