,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.19548872180451127,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.1942771084337349, 0.1942771084337349]","[1, 1]",0.11459134030166605,0.1912538840165523,0.19548872180451127,0.06550027449456183,0.0821917808219178,0.15410226849332173,0.19093851132686085,0.04750893420222831,0.1126760563380282
1,npp_c_grav,0.5652173913043479,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8516320474777448, 0.8516320474777448]","[23, 23]",0.18452184948533656,0.3532135531393869,0.5652173913043479,0.04309706917805751,0.06382978723404255,0.23963252611123145,0.24963289280469894,0.10214424951267054,0.22222222222222215
2,npp_c_sand,0.2632375189107413,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.2632375189107413, 0.2632375189107413]","[4, 4]",0.15803363094796782,0.2452769407157134,0.2517882689556509,0.08042553191489361,0.16,0.2570106252560757,0.2632375189107413,0.049421425905188505,0.06382978723404255
3,npp_g_basn,0.6876404494382022,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.7967836257309941, 0.7967836257309941]","[8, 8]",0.4128185678346825,0.38136608803761557,0.3815165876777252,0.4913961612189359,0.6876404494382022,0.3822737416470287,0.3833333333333333,0.3962382804351498,0.4020100502512562
4,npp_g_ibpe,0.4316037735849056,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.2932551319648094, 0.2932551319648094]","[1, 1]",0.4264867943130257,0.42593050110102587,0.4279069767441861,0.4246631921628696,0.4259259259259259,0.4269156852674542,0.4279069767441861,0.42843779872075344,0.4316037735849056
5,npp_g_summ,0.19607843137254904,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.9400584795321636, 0.9400584795321636]","[40, 40]",0.10145891690009338,0.108843537414966,0.12244897959183675,0.08108843537414966,0.12244897959183675,0.13423702814459118,0.19607843137254904,0.08166666666666667,0.125
6,npp_m_nort,0.4444444444444445,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3868613138686132, 0.3868613138686132]","[0, 0]",0.417672629847905,0.4128994924642278,0.4280254777070063,0.42788203677819436,0.4444444444444445,0.4069503761562507,0.4087591240875912,0.4229586139929468,0.4318766066838046
7,npp_m_rabb,0.4455445544554456,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3684210526315789, 0.3684210526315789]","[0, 0]",0.4165030141092294,0.40540540540540543,0.4054054054054054,0.42190108737081,0.4393442622950819,0.40581243894496905,0.4066265060240964,0.43289312471573355,0.4455445544554456
8,npp_m_well,0.4163658243080625,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.28466076696165193, 0.28466076696165193]","[1, 1]",0.408317362281474,0.4104656740234766,0.4163658243080625,0.40659199064036095,0.4084507042253521,0.40720389709979415,0.4084507042253521,0.40900788736226446,0.4147794994040524
9,npp_p_coll,0.5048780487804878,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4064327485380117, 0.4064327485380117]","[0, 0]",0.473143126555958,0.4674100001366996,0.4703196347031963,0.47302441373279497,0.4802784222737818,0.46604337246952804,0.4667418263810597,0.4860947198848094,0.5048780487804878
10,npp_p_smal,0.5992779783393501,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.4701670644391408, 0.4701670644391408]","[3, 3]",0.5810092918941546,0.5727240490686585,0.5748299319727891,0.5844224678430612,0.5925925925925926,0.5756815427837919,0.5783132530120482,0.5912091078811069,0.5992779783393501
11,npp_p_tobo,0.4390862944162437,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.2961783439490446, 0.2961783439490446]","[0, 0]",0.43427296740305815,0.433674340788542,0.4371029224904702,0.4334849934096954,0.43599493029150815,0.43304674188710646,0.4352201257861635,0.43688579352688883,0.4390862944162437
12,npp_t_east,0.4151404151404152,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.2986822840409956, 0.2986822840409956]","[1, 1]",0.40416070540397925,0.3998433228729387,0.4004683840749415,0.4054740964415404,0.4145454545454545,0.40062672145876604,0.4009433962264151,0.4106986808426714,0.4151404151404152
13,npp_t_tayl,0.4781553398058252,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.36950146627565983, 0.36950146627565983]","[0, 0]",0.45528092672271886,0.44943212827096984,0.4508009153318078,0.4563807894300589,0.4635294117647058,0.4485769792587179,0.44874715261959,0.4667338099311284,0.4781553398058252
14,npp_t_west,0.39618138424821,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.2591508052708638, 0.2591508052708638]","[0, 0]",0.3925129279586677,0.3919760460635427,0.3938315539739027,0.3917984522766485,0.39618138424821,0.3927475389362671,0.3942992874109264,0.3935296745582124,0.3957091775923719
