,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.6091954022988506,1,3,['1'],[0.8975903614457831],[13],0.20016315172607393,0.43553019653242925,0.6091954022988506,0.04916593503072871,0.05882352941176471,0.286105729072481,0.5818181818181818,0.029850746268656716,0.059701492537313425
1,npp_c_grav,0.6696832579185521,1,3,['1'],[0.8916913946587537],[14],0.3400817126455669,0.6251509901688969,0.6696832579185521,0.037120266333749485,0.04444444444444445,0.6017300194931773,0.631578947368421,0.09632557458644414,0.202020202020202
2,npp_c_sand,0.6909090909090911,3,3,['1'],[0.9228441754916792],[34],0.31682757540203904,0.5333899808300441,0.6528497409326426,0.05654098317141795,0.10416666666666666,0.641459125669652,0.6909090909090911,0.035920211937042236,0.04301075268817205
3,npp_g_basn,0.7371428571428572,1,2,['1'],[0.8654970760233918],[32],0.6975876656189892,0.7173585756141537,0.7371428571428572,0.6803935318319628,0.7147540983606556,0.7014753492038631,0.7139364303178484,0.6911232058259772,0.7272727272727272
4,npp_g_ibpe,0.7887323943661971,2,3,['1'],[0.8680351906158358],[16],0.7453664366239597,0.7211184221270491,0.7468671679197996,0.7739346031914853,0.7887323943661971,0.7250223572485783,0.7279999999999999,0.7613903639287263,0.7842227378190255
5,npp_g_summ,0.0851063829787234,1,2,['0'],[0.9370424597364568],[43],0.06745939973275773,0.07123034227567067,0.0851063829787234,0.05735430157261794,0.0851063829787234,0.08451536643026004,0.0851063829787234,0.05673758865248227,0.0851063829787234
6,npp_m_nort,0.7570332480818414,2,3,['1'],[0.8613138686131386],[20],0.7195850251677256,0.73081785198429,0.7506297229219143,0.7189492970899929,0.7570332480818414,0.7280290646488403,0.7526315789473683,0.7005438869477795,0.7298850574712644
7,npp_m_rabb,0.8100358422939068,4,3,['3'],[0.900375939849624],[22],0.7806937997319076,0.7889725120061764,0.8028169014084506,0.7830006794523593,0.8095238095238095,0.7694933681235051,0.8,0.7813086393455898,0.8100358422939068
8,npp_m_well,0.8009708737864079,4,3,['1'],[0.8790560471976401],[9],0.7635972182134285,0.7738306380741135,0.7823834196891192,0.7594696912699912,0.8009592326139089,0.774601680443209,0.7819148936170213,0.7464868630664001,0.8009708737864079
9,npp_p_coll,0.7837837837837838,3,2,['2'],[0.8596491228070176],[33],0.7353161642269116,0.7116406584095087,0.7419354838709679,0.6975461634147853,0.7321063394683026,0.7680912022137995,0.7837837837837838,0.7639866328695534,0.7831858407079646
10,npp_p_smal,0.8041775456919059,4,3,['3'],[0.8210023866348448],[15],0.7507557028259505,0.7400805919949484,0.7741935483870968,0.7232702207486258,0.7643312101910827,0.7696699568204804,0.7964071856287426,0.7700020417397474,0.8041775456919059
11,npp_p_tobo,0.7859078590785907,3,2,['1'],[0.8742038216560509],[28],0.758740307822385,0.7532507066753643,0.7835616438356164,0.7698494664160096,0.7826086956521741,0.7497869147923732,0.7859078590785907,0.7620741434057932,0.7853107344632768
12,npp_t_east,0.7399103139013453,4,3,['1'],[0.8301610541727672],[6],0.7058742606216072,0.7012592305021074,0.7315914489311163,0.7152053858334549,0.7381703470031546,0.7070515593423753,0.720626631853786,0.699980866808492,0.7399103139013453
13,npp_t_tayl,0.8159645232815964,4,1,['1'],[0.8782991202346041],[13],0.7523324889224314,0.7657796757984396,0.7838983050847458,0.7193408720838272,0.7563451776649746,0.7430834913658056,0.7818181818181819,0.7811259164416532,0.8159645232815964
14,npp_t_west,0.7575757575757577,3,1,['2'],[0.8594436310395315],[16],0.7113414771831338,0.7431051637893323,0.7487179487179487,0.6764205223121009,0.6923076923076923,0.7298584380716946,0.7575757575757577,0.6959817845594074,0.7348066298342542
