,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,1_best_f1,2_avg_f1,2_best_f1,3_avg_f1,3_best_f1,4_avg_f1,4_best_f1
0,npp_c_cali,0.5567010309278351,3,2,['2'],[0.8973747016706444],[27],0.18906440416528866,0.2042261904761905,0.28125,0.08210180623973727,0.10344827586206896,0.3882383227366883,0.5567010309278351,0.08169129720853859,0.13793103448275862
1,npp_c_grav,0.7005649717514123,1,2,['4'],[0.8735083532219571],[12],0.3690470943391657,0.6289378399837267,0.7005649717514123,0.07672400735691876,0.12658227848101267,0.6599563688129452,0.6993006993006994,0.1105701612030726,0.12658227848101267
2,npp_c_sand,0.6794258373205742,3,1,['6'],[0.8397129186602871],[6],0.32072662484560877,0.622530864197531,0.6749999999999999,0.05854700854700856,0.07500000000000001,0.5270291788075054,0.6794258373205742,0.07479944783039018,0.09876543209876544
3,npp_g_basn,0.7769784172661871,1,3,['8'],[0.8520286396181385],[11],0.7627563591697876,0.7742994185966107,0.7769784172661871,0.7616805469009401,0.7652173913043478,0.7577616916599967,0.7627118644067797,0.757283779521603,0.7704918032786885
4,npp_g_ibpe,0.8013468013468013,2,2,['8'],[0.8588516746411483],[21],0.773914131246923,0.7824389201925644,0.7911392405063291,0.7831715239220758,0.8013468013468013,0.7412789542219663,0.792332268370607,0.7887671266510857,0.7986348122866893
5,npp_g_summ,0.10256410256410256,1,3,['0'],[0.9164677804295944],[35],0.0648897885739991,0.0692757534862798,0.10256410256410256,0.0692757534862798,0.10256410256410256,0.0692757534862798,0.10256410256410256,0.05173189383715699,0.10256410256410256
6,npp_m_nort,0.7918088737201364,2,3,['6'],[0.8544152744630071],[9],0.7568261670906323,0.7604260127172932,0.7631578947368421,0.7623848793083664,0.7918088737201364,0.7591657106366051,0.7741935483870969,0.7453280657002651,0.758364312267658
7,npp_m_rabb,0.8116883116883117,2,3,['7'],[0.8615751789976134],[10],0.7685252394904571,0.7753746587117,0.7931034482758621,0.7908808668415298,0.8116883116883117,0.7364797618721525,0.7985865724381624,0.7713656705364459,0.7785714285714287
8,npp_m_well,0.8197879858657244,4,1,['4'],[0.8779904306220095],[14],0.7749646871210616,0.7809611667817228,0.8156028368794327,0.7791950280118605,0.7944250871080141,0.7520814015404995,0.7896678966789668,0.7876211521501629,0.8197879858657244
9,npp_p_coll,0.7880597014925372,4,2,['9'],[0.8305489260143198],[24],0.7656585186518323,0.7699345726563674,0.7848101265822786,0.7686957228471006,0.7865853658536586,0.7499240890271573,0.7867867867867867,0.7740796900767037,0.7880597014925372
10,npp_p_smal,0.8415584415584416,3,1,['9'],[0.8544152744630071],[7],0.7754207806483046,0.7942117019511553,0.8097826086956521,0.7832502711034911,0.7869822485207101,0.7407537012850106,0.8415584415584416,0.7834674482535607,0.7988165680473372
11,npp_p_tobo,0.8206686930091186,4,2,['1'],[0.8591885441527446],[24],0.793331450653772,0.7991986086226412,0.8157099697885195,0.7996442478726985,0.8181818181818182,0.7833292454425619,0.797427652733119,0.7911537006771865,0.8206686930091186
12,npp_t_east,0.7571428571428572,1,3,['8'],[0.8377088305489259],[22],0.7438706593245897,0.7538504973287582,0.7571428571428572,0.7400434878178954,0.7569444444444445,0.7530104498892927,0.7565789473684211,0.7285782022624128,0.75
13,npp_t_tayl,0.8220858895705522,3,2,['8'],[0.8615751789976134],[16],0.7806984748760247,0.7828960724205235,0.8023598820058997,0.7846644180460549,0.7987616099071208,0.7890128569861883,0.8220858895705522,0.7662205520513324,0.7898089171974522
14,npp_t_west,0.7844522968197879,3,1,['6'],[0.8544152744630071],[13],0.7558628283469254,0.7469014310883839,0.7732342007434945,0.7677930422116469,0.7751937984496124,0.7644389218947522,0.7844522968197879,0.7443179181929183,0.7545787545787546
