,Air_TempC_Avg,Air_TempC_Max,Air_TempC_Min,Relative_Humidity_Avg,Relative_Humidity_Max,Relative_Humidity_Min,Ppt_mm_Tot,WS_ms_300cm_Avg,WS_ms_300cm_Max,WS_ms_150cm_Avg,WS_ms_150cm_Max,WS_ms_75cm_Avg,WS_ms_75cm_Max,WinDir_mean_Resultant,WinDir_Std_Dev,Date_datetime,frost
0,21.05,27.23,16.86,73.95,93.8,44.01,2.4,1.778,10.13,,,,,13.0,51.3,2013-09-16,0
1,22.49,28.62,16.3,67.47,92.5,39.41,0.1,1.122,7.105,,,,,131.0,33.3,2013-09-17,0
2,23.87,29.14,18.93,59.95,79.24,41.36,0.0,2.158,8.62,,,,,128.0,25.29,2013-09-18,0
3,23.5,30.77,17.12,63.03,90.8,36.51,0.0,1.819,10.88,,,,,121.0,58.97,2013-09-19,0
4,22.49,29.05,16.01,64.2,95.7,36.03,0.0,1.639,7.105,,,,,115.0,52.9,2013-09-20,0
5,20.72,26.51,16.67,64.75,87.6,43.28,0.0,2.1319999999999997,7.86,,,,,155.0,28.65,2013-09-21,0
6,23.14,28.19,17.15,47.2,70.27,33.01,0.0,3.3930000000000002,11.64,,,,,139.0,28.23,2013-09-22,0
7,20.62,26.97,13.02,38.9,78.45,17.46,0.0,1.875,7.86,,,,,249.0,51.53,2013-09-23,0
8,20.38,29.47,11.57,35.26,64.8,14.31,0.0,1.734,7.105,,,,,251.0,53.21,2013-09-24,0
9,23.04,30.88,11.45,35.0,67.91,20.89,0.0,2.065,8.62,,,,,174.0,35.91,2013-09-25,0
10,24.51,29.97,19.78,27.57,41.48,19.07,0.0,2.745,9.37,,,,,180.0,20.27,2013-09-26,0
11,22.65,28.04,16.53,39.35,64.11,22.72,0.0,3.55,13.9,,,,,210.0,42.35,2013-09-27,0
12,16.46,24.38,10.27,25.57,39.36,5.89,0.0,2.8289999999999997,9.37,,,,,286.0,42.29,2013-09-28,0
13,16.67,26.94,4.89,35.31,65.57,16.46,0.0,1.459,7.86,,,,,238.0,53.08,2013-09-29,0
14,20.61,30.33,8.22,31.54,71.39,10.28,0.0,1.705,7.105,,,,,210.0,41.23,2013-09-30,0
15,21.19,30.42,10.12,24.17,50.26,9.63,0.0,1.422,8.62,,,,,207.0,40.97,2013-10-01,0
16,21.49,29.91,8.95,24.87,53.73,13.88,0.0,1.916,8.62,,,,,203.0,36.61,2013-10-02,0
