,Air_TempC_Avg,Air_TempC_Max,Air_TempC_Min,Relative_Humidity_Avg,Relative_Humidity_Max,Relative_Humidity_Min,Ppt_mm_Tot,WS_ms_300cm_Avg,WS_ms_300cm_Max,WS_ms_150cm_Avg,WS_ms_150cm_Max,WS_ms_75cm_Avg,WS_ms_75cm_Max,WinDir_mean_Resultant,WinDir_Std_Dev,Date_datetime,frost
0,30.74,34.27,24.38,30.36,48.35,21.76,0.4,4.1339999999999995,10.89,3.383,9.31,2.6260000000000003,8.6,190.0,22.22,2013-08-06,0
1,25.03,32.84,19.58,53.47,90.7,26.36,0.4,3.2539999999999996,10.89,2.5140000000000002,9.31,2.019,8.6,174.0,36.8,2013-08-07,0
2,25.79,35.38,15.4,49.99,99.4,16.1,0.0,1.7180000000000002,9.38,1.131,8.57,0.953,7.099,239.0,48.54,2013-08-08,0
3,27.39,36.69,16.08,29.19,59.58,11.37,0.0,1.8519999999999999,7.87,1.103,7.82,0.977,7.85,171.0,57.14,2013-08-09,0
4,26.1,30.73,21.01,42.71,78.46,30.45,0.6,3.14,10.13,2.2159999999999997,9.31,1.9569999999999999,8.6,66.0,35.24,2013-08-10,0
5,21.19,30.09,16.06,78.01,98.8,42.51,41.6,2.355,11.64,2.022,9.31,1.46,9.35,297.0,36.41,2013-08-11,0
6,25.58,33.92,19.1,61.55,94.6,24.58,0.0,2.127,8.62,1.7519999999999998,7.82,1.3,7.099,283.0,40.54,2013-08-12,0
7,28.87,33.99,23.03,44.87,73.98,23.41,0.0,1.306,6.362,0.6709999999999999,7.0729999999999995,0.588,6.348,144.0,40.19,2013-08-13,0
8,26.51,35.42,19.86,54.71,90.0,24.23,0.1,2.272,13.9,1.614,11.56,1.335,11.61,115.0,60.5,2013-08-14,0
9,25.9,33.46,19.4,55.5,90.3,26.3,0.0,1.48,6.362,0.6920000000000001,6.3260000000000005,0.6920000000000001,4.846,169.0,36.28,2013-08-15,0
10,26.92,35.57,18.51,47.86,85.4,12.84,0.0,1.381,6.362,0.588,4.832,0.6459999999999999,4.846,150.0,38.0,2013-08-16,0
11,28.24,36.86,17.5,41.33,84.5,15.01,0.0,1.305,10.13,0.674,8.57,0.708,7.85,147.0,46.4,2013-08-17,0
12,27.09,36.3,19.06,39.48,68.11,18.44,0.0,1.476,7.87,0.775,7.0729999999999995,0.747,5.597,253.0,54.88,2013-08-18,0
13,25.73,37.16,16.98,50.31,80.7,16.32,2.0,1.525,18.43,0.88,15.29,0.8320000000000001,13.86,212.0,57.2,2013-08-19,0
14,25.71,33.92,18.37,52.06,89.0,24.76,0.0,2.0709999999999997,12.39,1.236,9.31,1.176,8.6,262.0,61.86,2013-08-20,0
15,26.12,34.54,17.01,47.72,91.6,18.55,0.0,1.4380000000000002,8.62,0.7,7.82,0.777,7.099,150.0,43.12,2013-08-21,0
16,25.26,33.94,14.45,34.54,65.62,19.01,0.0,1.51,7.1160000000000005,0.6559999999999999,6.3260000000000005,0.774,5.597,100.0,52.94,2013-08-22,0
17,24.87,32.71,16.25,47.54,70.15,24.47,0.3,1.574,9.38,0.784,7.82,0.866,7.85,109.0,47.74,2013-08-23,0
18,24.66,31.72,16.34,55.61,89.9,28.27,0.6,1.484,10.13,0.7959999999999999,9.31,0.843,7.85,86.0,51.91,2013-08-24,0
19,25.21,31.8,18.08,58.96,97.5,28.24,2.7,1.902,8.62,1.11,7.82,1.083,6.348,88.0,48.56,2013-08-25,0
20,26.53,33.94,17.9,43.52,78.91,22.59,0.0,2.6460000000000004,10.13,1.7890000000000001,9.31,1.5759999999999998,7.099,77.0,19.64,2013-08-26,0
21,25.49,31.57,19.13,47.59,67.43,27.33,0.0,2.302,12.39,1.3730000000000002,10.81,1.253,9.35,91.0,29.95,2013-08-27,0
22,22.04,28.11,17.99,74.57,97.7,41.62,1.3,0.746,7.1160000000000005,0.44799999999999995,7.0729999999999995,0.34600000000000003,5.597,177.0,31.41,2013-08-28,0
23,22.16,28.75,19.02,83.2,98.2,47.16,4.8,0.7959999999999999,4.854,0.5329999999999999,4.832,0.273,4.846,139.0,46.47,2013-08-29,0
24,24.32,32.59,16.12,68.71,99.9,33.91,0.0,0.9059999999999999,6.362,0.348,6.3260000000000005,0.371,6.348,153.0,35.81,2013-08-30,0
25,26.28,35.66,16.67,53.52,96.8,21.98,0.0,1.354,7.1160000000000005,0.6779999999999999,6.3260000000000005,0.5770000000000001,5.597,194.0,45.51,2013-08-31,0
26,27.26,36.92,16.98,40.62,82.7,12.99,0.0,1.5230000000000001,8.62,0.7440000000000001,7.0729999999999995,0.6759999999999999,7.099,74.0,51.5,2013-09-01,0
27,27.18,35.36,18.16,40.56,70.82,20.04,0.0,2.338,10.89,1.411,9.31,1.181,8.6,48.0,57.89,2013-09-02,0
28,26.48,34.38,17.11,40.21,79.48,19.2,0.0,1.8880000000000001,10.89,1.043,13.05,0.978,9.35,81.0,29.16,2013-09-03,0
29,25.76,34.01,15.3,34.27,61.84,15.62,0.0,1.946,11.64,1.0090000000000001,10.81,0.934,10.85,78.0,34.31,2013-09-04,0
30,25.89,34.27,15.15,31.06,57.21,14.61,0.0,1.682,7.87,0.862,7.0729999999999995,0.7609999999999999,6.348,80.0,43.89,2013-09-05,0
31,26.3,35.15,15.64,35.09,55.72,16.17,0.0,1.609,8.62,0.7979999999999999,7.0729999999999995,0.7190000000000001,6.348,58.0,40.24,2013-09-06,0
32,27.44,34.6,20.1,35.36,58.86,20.76,0.0,1.791,11.64,1.008,10.06,0.706,8.6,95.0,28.97,2013-09-07,0
