,Air_TempC_Avg,Air_TempC_Max,Air_TempC_Min,Relative_Humidity_Avg,Relative_Humidity_Max,Relative_Humidity_Min,Ppt_mm_Tot,WS_ms_300cm_Avg,WS_ms_300cm_Max,WS_ms_150cm_Avg,WS_ms_150cm_Max,WS_ms_75cm_Avg,WS_ms_75cm_Max,WinDir_mean_Resultant,WinDir_Std_Dev,Date_datetime,frost
0,24.4,30.66,18.75,61.53,92.1,38.82,1.6,1.671,10.12,1.351,9.35,0.932,8.59,158.0,50.45,2013-07-25,0
1,24.77,33.52,17.14,62.87,95.8,31.76,24.1,1.709,18.37,1.385,13.84,1.014,12.33,247.0,60.4,2013-07-26,0
2,22.41,28.21,16.87,71.72,98.8,43.21,24.3,1.556,7.87,1.163,6.352,0.897,7.0920000000000005,251.0,60.29,2013-07-27,0
3,25.61,32.11,20.47,55.08,83.6,29.23,0.0,2.7239999999999998,11.62,2.2680000000000002,10.1,1.2770000000000001,6.343999999999999,187.0,41.8,2013-07-28,0
4,28.15,34.83,20.12,43.58,86.3,20.66,0.0,1.466,9.37,1.209,9.35,0.496,8.59,320.0,49.5,2013-07-29,0
5,29.19,36.32,20.69,34.01,71.89,19.36,0.0,1.676,11.62,1.337,10.1,0.45399999999999996,8.59,2.0,60.15,2013-07-30,0
6,29.46,36.66,22.9,35.35,64.96,16.86,2.4,1.671,14.62,1.331,11.6,0.642,8.59,142.0,49.41,2013-07-31,0
7,28.29,34.69,20.14,40.96,86.3,21.26,1.5,2.06,10.12,1.621,8.6,0.11,8.59,147.0,49.58,2013-08-01,0
8,28.12,35.14,22.92,42.53,68.81,21.45,10.1,1.6780000000000002,16.87,1.475,12.34,0.31,9.34,329.0,57.48,2013-08-02,0
9,28.68,35.33,21.99,39.18,61.71,22.55,0.0,1.791,8.62,1.6540000000000001,9.35,0.654,9.34,313.0,57.71,2013-08-03,0
10,30.26,36.88,24.25,32.88,53.21,16.0,1.0,1.237,8.62,1.192,7.101,0.27,6.343999999999999,255.0,56.12,2013-08-04,0
11,29.08,35.25,23.69,36.16,58.34,18.84,0.0,2.04,13.12,1.831,10.85,0.054000000000000006,7.0920000000000005,342.0,59.72,2013-08-05,0
12,27.48,33.18,21.79,40.6,62.59,23.46,0.0,2.333,11.62,2.053,10.85,0.261,9.34,126.0,63.38,2013-08-06,0
13,25.69,31.93,21.43,45.61,65.13,27.08,0.0,1.97,13.12,1.74,12.34,0.251,10.08,44.0,56.98,2013-08-07,0
14,27.55,33.94,18.09,34.43,81.4,17.56,0.0,1.526,10.12,1.3969999999999998,9.35,0.052000000000000005,7.84,341.0,37.74,2013-08-08,0
15,29.21,34.95,22.02,23.74,42.41,11.31,0.0,2.415,10.12,1.984,9.35,0.066,6.343999999999999,144.0,54.59,2013-08-09,0
16,25.42,29.98,19.25,45.26,87.2,31.91,3.7,2.9360000000000004,10.87,2.344,10.1,0.20199999999999999,7.84,145.0,39.62,2013-08-10,0
17,21.71,28.66,15.79,73.52,98.1,45.47,25.1,2.39,13.12,2.028,11.6,0.006,8.59,301.0,53.35,2013-08-11,0
18,28.54,32.68,24.54,44.63,59.36,26.86,0.0,1.913,8.62,1.713,8.6,,,275.0,51.42,2013-08-12,0
19,26.66,32.91,20.44,49.85,87.7,24.92,9.4,1.546,10.87,1.341,10.1,,,209.0,47.17,2013-08-13,0
20,27.3,34.2,21.55,44.3,74.63,24.73,0.2,1.786,18.37,1.5290000000000001,16.09,,,159.0,51.29,2013-08-14,0
21,29.31,32.09,25.28,35.94,50.03,26.35,0.0,1.3330000000000002,7.12,1.153,7.101,,,138.0,43.63,2013-08-15,0
