,Air_TempC_Avg,Air_TempC_Max,Air_TempC_Min,Relative_Humidity_Avg,Relative_Humidity_Max,Relative_Humidity_Min,Ppt_mm_Tot,Date_datetime,frost
0,28.81,35.67,21.9,48.21,80.9,24.24,1.3,2013-07-23,0
1,,,,59.32,89.1,25.29,0.4,2013-07-24,0
2,24.67,31.96,19.36,65.92,95.8,33.53,1.8,2013-07-25,0
3,24.06,36.06,19.88,73.83,94.3,27.75,3.0,2013-07-26,0
4,22.79,30.22,17.28,74.69,98.5,39.43,19.2,2013-07-27,0
5,25.77,33.5,19.16,59.66,92.1,26.07,0.0,2013-07-28,0
6,27.53,36.53,19.65,49.63,90.8,18.38,0.0,2013-07-29,0
7,27.86,38.75,18.74,45.78,82.8,16.36,0.0,2013-07-30,0
8,28.22,38.62,20.51,45.35,79.0,16.51,1.2,2013-07-31,0
9,27.49,35.67,19.45,50.19,91.0,18.36,2.2,2013-08-01,0
10,27.88,36.91,19.47,48.18,87.4,20.92,0.0,2013-08-02,0
11,27.83,37.2,19.02,45.94,84.3,20.28,0.0,2013-08-03,0
12,28.54,38.69,20.05,41.09,73.05,17.01,0.0,2013-08-04,0
13,28.59,37.29,21.37,39.47,69.52,18.67,0.0,2013-08-05,0
14,27.26,34.84,18.63,43.29,77.77,20.8,0.0,2013-08-06,0
15,24.78,33.74,18.85,55.92,95.8,25.47,1.1,2013-08-07,0
16,25.85,35.68,15.28,47.97,98.4,16.56,0.0,2013-08-08,0
17,27.46,37.04,14.86,28.63,59.83,10.4,0.0,2013-08-09,0
18,25.98,30.98,18.27,43.67,93.2,28.75,2.4,2013-08-10,0
19,21.64,31.35,16.22,77.4,98.2,38.31,22.7,2013-08-11,0
20,26.09,34.13,19.31,59.61,94.7,25.93,0.0,2013-08-12,0
21,27.07,34.98,21.71,51.85,82.8,20.3,0.0,2013-08-13,0
22,26.63,36.27,19.92,52.43,84.6,21.42,0.0,2013-08-14,0
23,26.3,34.11,19.47,52.05,85.3,23.53,0.0,2013-08-15,0
24,27.4,36.49,18.26,42.87,79.1,10.26,0.0,2013-08-16,0
25,28.86,37.74,18.3,36.91,74.02,12.58,0.0,2013-08-17,0
26,27.65,36.87,19.72,35.99,60.28,15.42,0.0,2013-08-18,0
27,25.84,37.74,17.79,49.28,89.4,15.84,7.4,2013-08-19,0
28,25.61,34.0,19.28,54.5,85.8,24.49,0.0,2013-08-20,0
29,26.94,35.31,17.81,45.79,93.0,16.89,0.0,2013-08-21,0
30,26.05,35.16,16.29,32.55,62.93,17.31,0.0,2013-08-22,0
31,25.46,33.77,17.32,43.92,67.14,23.34,0.0,2013-08-23,0
32,25.09,31.07,18.83,50.88,87.2,30.2,4.2,2013-08-24,0
33,25.86,33.86,18.54,56.59,97.8,24.65,0.9,2013-08-25,0
34,27.66,34.56,20.57,38.48,63.74,21.73,0.0,2013-08-26,0
35,25.89,31.81,19.12,46.04,68.59,28.53,0.0,2013-08-27,0
36,22.54,29.02,19.02,71.58,97.9,40.65,0.9,2013-08-28,0
37,22.53,29.77,19.14,81.6,98.3,46.87,3.4,2013-08-29,0
38,24.67,33.61,16.7,67.85,99.4,33.01,0.0,2013-08-30,0
39,26.84,36.55,16.87,52.01,95.7,19.49,0.0,2013-08-31,0
40,28.12,38.03,17.7,37.96,76.68,12.22,0.0,2013-09-01,0
41,27.41,36.18,17.79,39.08,65.91,20.32,0.0,2013-09-02,0
42,27.0,35.05,18.38,38.03,68.13,19.38,0.0,2013-09-03,0
43,26.3,34.46,16.34,32.58,56.91,14.13,0.0,2013-09-04,0
44,26.33,34.84,16.5,29.87,52.93,14.2,0.0,2013-09-05,0
45,26.59,35.11,16.24,35.22,54.91,15.56,0.0,2013-09-06,0
46,27.65,35.43,20.86,34.51,56.03,19.95,0.0,2013-09-07,0
47,26.81,34.16,16.81,36.37,63.17,19.06,0.0,2013-09-08,0
48,23.72,32.96,17.53,58.23,95.4,24.67,9.1,2013-09-09,0
49,20.23,23.92,18.74,91.0,98.4,69.57,7.2,2013-09-10,0
50,21.34,26.75,18.58,87.1,99.5,57.52,6.0,2013-09-11,0
51,20.79,23.89,18.63,84.3,98.6,65.89,5.8,2013-09-12,0
52,,,,,,,,2013-09-13,0
53,,,,,,,,2013-09-14,0
54,,,,,,,,2013-09-15,0
55,,,,,,,,2013-09-16,0
56,,,,,,,,2013-09-17,0
57,,,,,,,,2013-09-18,0
58,,,,,,,,2013-09-19,0
59,,,,,,,,2013-09-20,0
60,,,,,,,,2013-09-21,0
61,,,,,,,,2013-09-22,0
62,,,,,,,,2013-09-23,0
63,,,,,,,,2013-09-24,0
64,,,,,,,,2013-09-25,0
65,,,,,,,,2013-09-26,0
66,,,,,,,,2013-09-27,0
67,,,,,,,,2013-09-28,0
68,,,,,,,,2013-09-29,0
69,,,,,,,,2013-09-30,0
70,,,,,,,,2013-10-01,0
71,,,,,,,,2013-10-02,0
72,,,,,,,,2013-10-03,0
73,,,,,,,,2013-10-04,0
74,,,,,,,,2013-10-05,0
75,,,,,,,,2013-10-06,0
76,,,,,,,,2013-10-07,0
77,,,,,,,,2013-10-08,0
78,,,,,,,,2013-10-09,0
79,,,,,,,,2013-10-10,0
80,,,,,,,,2013-10-11,0
81,,,,,,,,2013-10-12,0
82,,,,,,,,2013-10-13,0
83,,,,,,,,2013-10-14,0
84,,,,,,,,2013-10-15,0
85,,,,,,,,2013-10-16,0
86,,,,,,,,2013-10-17,0
87,,,,,,,,2013-10-18,0
88,,,,,,,,2013-10-19,0
89,,,,,,,,2013-10-20,0
90,,,,,,,,2013-10-21,0
91,,,,,,,,2013-10-22,0
92,,,,,,,,2013-10-23,0
93,,,,,,,,2013-10-24,0
94,,,,,,,,2013-10-25,0
95,,,,,,,,2013-10-26,0
96,,,,,,,,2013-10-27,0
97,,,,,,,,2013-10-28,0
98,,,,,,,,2013-10-29,0
99,,,,,,,,2013-10-30,0
100,,,,,,,,2013-10-31,0
