,Air_TempC_Avg,Air_TempC_Max,Air_TempC_Min,Relative_Humidity_Avg,Relative_Humidity_Max,Relative_Humidity_Min,Ppt_mm_Tot,WS_ms_300cm_Avg,WS_ms_300cm_Max,WS_ms_150cm_Avg,WS_ms_150cm_Max,WS_ms_75cm_Avg,WS_ms_75cm_Max,WinDir_mean_Resultant,WinDir_Std_Dev,Date_datetime,frost
0,27.12,30.86,21.32,41.4,66.01,28.57,0.0,2.347,11.58,,,,,124.0,30.79,2013-08-27,0
1,21.95,27.68,18.23,73.86,97.9,42.04,1.2,0.89,7.0920000000000005,,,,,220.0,44.2,2013-08-28,0
2,22.08,28.12,18.92,82.7,98.6,47.11,3.6,0.871,5.596,,,,,154.0,48.12,2013-08-29,0
3,24.51,32.53,16.3,66.97,99.3,33.38,0.0,1.102,6.343999999999999,,,,,169.0,32.45,2013-08-30,0
4,26.45,35.76,16.61,52.09,95.5,20.97,0.0,1.555,7.0920000000000005,,,,,217.0,49.79,2013-08-31,0
5,27.16,37.27,17.23,40.16,78.39,13.91,0.0,1.662,8.59,,,,,90.0,55.34,2013-09-01,0
6,27.3,35.87,18.51,40.0,69.54,20.03,0.0,2.582,10.83,,,,,65.0,56.34,2013-09-02,0
7,26.32,33.9,18.15,40.08,73.65,19.67,0.0,1.9269999999999998,9.34,,,,,100.0,35.52,2013-09-03,0
8,25.67,33.72,15.67,34.12,59.73,16.73,0.0,2.0469999999999997,10.08,,,,,97.0,36.13,2013-09-04,0
9,25.61,33.64,15.39,31.33,55.94,15.32,0.0,1.758,10.83,,,,,91.0,46.51,2013-09-05,0
10,25.96,34.08,15.58,35.43,54.79,17.94,0.0,1.857,8.59,,,,,74.0,42.47,2013-09-06,0
11,27.09,34.21,19.8,35.97,59.9,20.97,0.0,1.933,10.08,,,,,111.0,31.75,2013-09-07,0
12,25.88,33.06,16.2,38.47,67.01,22.18,0.0,2.237,10.08,,,,,113.0,44.17,2013-09-08,0
13,23.52,31.71,17.25,56.19,95.4,27.48,1.0,1.871,16.07,,,,,108.0,58.7,2013-09-09,0
14,19.95,23.45,18.19,90.8,98.1,71.36,7.5,1.163,7.0920000000000005,,,,,159.0,25.97,2013-09-10,0
15,20.92,26.53,18.45,88.7,99.1,56.04,9.2,0.773,10.08,,,,,85.0,27.56,2013-09-11,0
16,20.42,23.71,18.32,85.1,99.1,66.64,4.7,2.665,9.34,,,,,95.0,26.01,2013-09-12,0
17,19.1,22.75,17.13,90.3,99.1,71.03,20.3,1.83,9.34,,,,,42.0,40.66,2013-09-13,0
18,21.69,27.71,17.58,72.14,97.5,40.23,0.0,1.345,7.84,,,,,41.0,49.23,2013-09-14,0
