,Air_TempC_Avg,Air_TempC_Max,Air_TempC_Min,Relative_Humidity_Avg,Relative_Humidity_Max,Relative_Humidity_Min,Ppt_mm_Tot,Date_datetime,frost
0,18.11,28.72,7.24,19.23,33.96,9.23,0.0,2017-03-14,0
1,16.07,29.49,0.94,22.7,49.33,8.39,0.0,2017-03-15,0
2,16.73,28.82,1.26,20.6,42.29,7.79,0.0,2017-03-16,0
3,15.83,29.68,-0.3,25.12,55.1,8.47,0.0,2017-03-17,1
4,16.86,30.67,3.06,25.13,51.74,9.42,0.0,2017-03-18,0
5,17.65,30.91,4.67,26.1,48.39,9.97,0.0,2017-03-19,0
6,18.11,30.49,3.99,25.09,49.66,8.57,0.0,2017-03-20,0
7,17.98,30.48,3.96,27.34,54.98,9.1,0.0,2017-03-21,0
8,21.16,31.05,5.19,15.94,41.08,4.6,0.0,2017-03-22,0
9,15.35,23.13,8.27,25.49,41.75,14.83,0.0,2017-03-23,0
10,13.94,23.65,5.97,32.7,54.49,12.81,0.0,2017-03-24,0
11,14.17,25.09,-1.09,28.88,65.91,8.7,0.0,2017-03-25,1
12,15.96,23.35,5.2,22.9,44.53,11.92,0.0,2017-03-26,0
13,15.69,24.75,0.57,24.79,47.63,11.91,0.0,2017-03-27,0
14,11.48,18.05,4.79,53.79,91.7,30.25,4.1,2017-03-28,0
15,11.35,19.37,4.57,63.34,97.0,30.52,0.1,2017-03-29,0
16,14.58,25.63,0.99,45.62,98.7,10.53,0.0,2017-03-30,0
17,15.8,22.32,5.81,21.38,41.15,11.83,0.0,2017-03-31,0
18,11.3,17.47,5.56,36.02,53.02,20.12,0.0,2017-04-01,0
19,12.81,20.37,2.57,41.65,83.5,18.19,0.0,2017-04-02,0
20,16.76,24.15,4.54,29.3,61.21,15.59,0.0,2017-04-03,0
21,14.2,21.0,1.95,22.9,39.43,8.68,0.0,2017-04-04,0
22,12.49,21.62,3.28,20.17,36.59,7.55,0.0,2017-04-05,0
23,13.17,25.2,-1.8,23.35,41.53,10.95,0.0,2017-04-06,1
24,16.33,29.7,-0.44,24.22,53.28,8.7,0.0,2017-04-07,1
25,20.35,29.46,4.83,16.48,38.52,7.99,0.0,2017-04-08,0
26,18.32,25.41,8.89,16.03,24.71,6.23,0.0,2017-04-09,0
27,13.5,26.0,-2.73,18.0,45.0,3.57,0.0,2017-04-10,1
28,16.72,28.82,-0.81,25.07,46.68,12.49,0.0,2017-04-11,1
29,20.71,29.63,10.99,44.56,84.3,6.68,0.0,2017-04-12,0
30,17.86,29.08,3.85,45.68,91.4,13.08,0.0,2017-04-13,0
31,21.89,29.51,14.91,23.27,59.11,4.67,0.0,2017-04-14,0
32,17.84,28.64,2.9,18.16,39.0,6.32,0.0,2017-04-15,0
33,16.25,29.41,0.77,18.83,40.32,6.17,0.0,2017-04-16,0
34,17.19,30.17,1.14,17.46,38.6,5.36,0.0,2017-04-17,0
35,18.49,30.89,1.68,17.1,36.13,6.36,0.0,2017-04-18,0
