,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.9382530120481928,598,0,41,25,1.0,0.3787878787878788,0.5494505494505494
1,1,0.9487951807228916,597,1,33,33,0.9705882352941176,0.5,0.6599999999999999
2,2,0.9201807228915663,598,0,53,13,1.0,0.19696969696969696,0.3291139240506329
3,3,0.9171686746987951,598,0,55,11,1.0,0.16666666666666666,0.2857142857142857
4,4,0.9216867469879518,598,0,52,14,1.0,0.21212121212121213,0.35
5,5,0.9201807228915663,598,0,53,13,1.0,0.19696969696969696,0.3291139240506329
6,6,0.9066265060240963,598,0,62,4,1.0,0.06060606060606061,0.1142857142857143
7,7,0.9367469879518072,597,1,41,25,0.9615384615384616,0.3787878787878788,0.5434782608695652
8,8,0.9171686746987951,598,0,55,11,1.0,0.16666666666666666,0.2857142857142857
9,9,0.9036144578313253,598,0,64,2,1.0,0.030303030303030304,0.05882352941176471
10,All,0.9171686746987951,598,0,55,11,1.0,0.16666666666666666,0.2857142857142857
