,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.93026706231454,586,0,47,41,1.0,0.4659090909090909,0.6356589147286822
1,1,0.9272997032640949,586,0,49,39,1.0,0.4431818181818182,0.6141732283464567
2,2,0.9198813056379822,586,0,54,34,1.0,0.38636363636363635,0.5573770491803279
3,3,0.9124629080118695,586,0,59,29,1.0,0.32954545454545453,0.4957264957264957
4,4,0.9154302670623146,575,11,46,42,0.7924528301886793,0.4772727272727273,0.5957446808510639
5,5,0.913946587537092,575,11,47,41,0.7884615384615384,0.4659090909090909,0.5857142857142857
6,6,0.9050445103857567,574,12,52,36,0.75,0.4090909090909091,0.5294117647058824
7,7,0.9065281899109793,575,11,52,36,0.7659574468085106,0.4090909090909091,0.5333333333333333
8,8,0.9035608308605341,574,12,53,35,0.7446808510638298,0.3977272727272727,0.5185185185185186
9,9,0.8976261127596439,586,0,69,19,1.0,0.2159090909090909,0.3551401869158879
10,All,0.913946587537092,575,11,47,41,0.7884615384615384,0.4659090909090909,0.5857142857142857
