,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.9561270801815431,570,0,29,62,1.0,0.6813186813186813,0.8104575163398693
1,1,0.9515885022692889,570,0,32,59,1.0,0.6483516483516484,0.7866666666666667
2,2,0.9364599092284418,570,0,42,49,1.0,0.5384615384615384,0.7000000000000001
3,3,0.9304084720121029,570,0,46,45,1.0,0.4945054945054945,0.6617647058823529
4,4,0.9319213313161876,570,0,45,46,1.0,0.5054945054945055,0.6715328467153284
5,5,0.9304084720121029,570,0,46,45,1.0,0.4945054945054945,0.6617647058823529
6,6,0.9288956127080181,570,0,47,44,1.0,0.4835164835164835,0.6518518518518518
7,7,0.9258698940998488,570,0,49,42,1.0,0.46153846153846156,0.631578947368421
8,8,0.9304084720121029,570,0,46,45,1.0,0.4945054945054945,0.6617647058823529
9,9,0.9304084720121029,570,0,46,45,1.0,0.4945054945054945,0.6617647058823529
10,All,0.9515885022692889,570,0,32,59,1.0,0.6483516483516484,0.7866666666666667
