,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8830409356725146,523,0,80,81,1.0,0.5031055900621118,0.6694214876033058
1,1,0.8450292397660819,523,0,106,55,1.0,0.3416149068322981,0.5092592592592593
2,2,0.8464912280701754,523,0,105,56,1.0,0.34782608695652173,0.5161290322580645
3,3,0.8391812865497076,523,0,110,51,1.0,0.3167701863354037,0.48113207547169806
4,4,0.8304093567251462,523,0,116,45,1.0,0.2795031055900621,0.4368932038834951
5,5,0.8260233918128655,523,0,119,42,1.0,0.2608695652173913,0.41379310344827586
6,6,0.804093567251462,523,0,134,27,1.0,0.16770186335403728,0.2872340425531915
7,7,0.7719298245614035,523,0,156,5,1.0,0.031055900621118012,0.060240963855421686
8,8,0.7777777777777778,523,0,152,9,1.0,0.055900621118012424,0.10588235294117647
9,9,0.77046783625731,523,0,157,4,1.0,0.024844720496894408,0.04848484848484848
10,All,0.8070175438596491,523,0,132,29,1.0,0.18012422360248448,0.30526315789473685
