,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8372434017595308,498,0,111,73,1.0,0.3967391304347826,0.5680933852140078
1,1,0.8343108504398827,498,0,113,71,1.0,0.3858695652173913,0.5568627450980392
2,2,0.8035190615835777,497,1,133,51,0.9807692307692307,0.27717391304347827,0.4322033898305085
3,3,0.8020527859237536,497,1,134,50,0.9803921568627451,0.2717391304347826,0.42553191489361697
4,4,0.8181818181818182,493,5,119,65,0.9285714285714286,0.3532608695652174,0.5118110236220472
5,5,0.8196480938416423,493,5,118,66,0.9295774647887324,0.358695652173913,0.5176470588235295
6,6,0.7727272727272727,498,0,155,29,1.0,0.15760869565217392,0.2723004694835681
7,7,0.7873900293255132,498,0,145,39,1.0,0.21195652173913043,0.34977578475336324
8,8,0.7844574780058651,498,0,147,37,1.0,0.20108695652173914,0.334841628959276
9,9,0.7844574780058651,498,0,147,37,1.0,0.20108695652173914,0.334841628959276
10,All,0.7917888563049853,498,0,142,42,1.0,0.22826086956521738,0.37168141592920356
