,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.9357664233576642,636,4,40,5,0.5555555555555556,0.1111111111111111,0.18518518518518515
1,1,0.9386861313868613,640,0,42,3,1.0,0.06666666666666667,0.125
2,2,0.9401459854014599,640,0,41,4,1.0,0.08888888888888889,0.163265306122449
3,3,0.9343065693430657,638,2,43,2,0.5,0.044444444444444446,0.0816326530612245
4,4,0.9357664233576642,636,4,40,5,0.5555555555555556,0.1111111111111111,0.18518518518518515
5,5,0.9328467153284672,628,12,34,11,0.4782608695652174,0.24444444444444444,0.32352941176470584
6,6,0.9328467153284672,628,12,34,11,0.4782608695652174,0.24444444444444444,0.32352941176470584
7,7,0.9226277372262773,617,23,30,15,0.39473684210526316,0.3333333333333333,0.36144578313253006
8,8,0.9357664233576642,639,1,43,2,0.6666666666666666,0.044444444444444446,0.08333333333333334
9,9,0.9328467153284672,628,12,34,11,0.4782608695652174,0.24444444444444444,0.32352941176470584
10,All,0.9372262773722628,637,3,40,5,0.625,0.1111111111111111,0.18867924528301885
