,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8379562043795621,517,0,111,57,1.0,0.3392857142857143,0.5066666666666666
1,1,0.8379562043795621,515,2,109,59,0.9672131147540983,0.35119047619047616,0.5152838427947597
2,2,0.8335766423357664,517,0,114,54,1.0,0.32142857142857145,0.4864864864864865
3,3,0.8233576642335766,517,0,121,47,1.0,0.27976190476190477,0.4372093023255814
4,4,0.8233576642335766,517,0,121,47,1.0,0.27976190476190477,0.4372093023255814
5,5,0.8160583941605839,517,0,126,42,1.0,0.25,0.4
6,6,0.8379562043795621,511,6,105,63,0.9130434782608695,0.375,0.5316455696202531
7,7,0.7883211678832117,517,0,145,23,1.0,0.13690476190476192,0.24083769633507857
8,8,0.8321167883211679,511,6,109,59,0.9076923076923077,0.35119047619047616,0.5064377682403434
9,9,0.7883211678832117,517,0,145,23,1.0,0.13690476190476192,0.24083769633507857
10,All,0.8291970802919708,517,0,117,51,1.0,0.30357142857142855,0.4657534246575342
